Week,dengue,dengue.symptoms,dengue.mosqito,treatment.for.dengue,dengue.mosquito,Dengue.fever,Dengue.Fever.band,dengue.ke.lakshan,how.to.cure.dengue.at.home,dengue.fever.prevention,butterscotch
2012-02-26,2,0,0,0,0,2,0,0,0,0,39
2012-03-04,2,1,0,6,1,3,58,0,0,0,46
2012-03-11,2,0,0,6,1,2,0,0,0,0,44
2012-03-18,2,0,0,6,1,2,0,0,0,0,49
2012-03-25,2,1,0,6,1,2,0,0,0,15,60
2012-04-01,2,0,0,6,2,2,0,0,0,15,68
2012-04-08,2,1,0,6,2,2,0,0,0,15,35
2012-04-15,2,0,0,0,1,2,0,0,0,16,69
2012-04-22,2,0,0,0,1,3,0,0,0,16,65
2012-04-29,2,0,0,0,2,2,59,0,0,19,71
2012-05-06,2,0,0,0,3,3,54,0,0,23,57
2012-05-13,3,0,0,0,1,3,54,0,0,26,84
2012-05-20,5,1,0,6,1,5,54,0,0,29,49
2012-05-27,5,2,0,6,1,6,54,0,0,14,73
2012-06-03,4,1,0,5,3,6,53,0,0,14,67
2012-06-10,5,1,0,22,3,6,53,0,0,14,68
2012-06-17,5,2,0,8,1,6,53,0,0,29,47
2012-06-24,6,1,0,5,3,7,53,0,0,14,46
2012-07-01,5,1,0,5,1,6,53,0,0,28,42
2012-07-08,6,1,0,11,3,6,51,0,0,14,31
2012-07-15,5,1,0,8,1,6,51,0,0,14,59
2012-07-22,7,2,0,5,4,8,52,0,0,14,57
2012-07-29,8,3,0,13,4,8,53,0,0,19,45
2012-08-05,9,2,0,10,5,9,50,0,0,23,47
2012-08-12,8,3,0,16,1,10,50,0,0,28,48
2012-08-19,12,4,0,18,5,12,50,0,0,14,48
2012-08-26,18,5,0,20,8,18,50,0,0,88,48
2012-09-02,22,6,0,15,9,22,75,0,53,34,49
2012-09-09,21,6,0,38,8,21,100,0,54,40,31
2012-09-16,18,5,0,20,10,19,50,0,54,20,38
2012-09-23,21,7,0,21,7,21,50,0,53,27,40
2012-09-30,24,8,0,51,13,23,50,0,53,13,39
2012-10-07,36,13,0,54,19,36,49,13,52,66,38
2012-10-14,50,18,49,52,25,48,49,13,52,78,68
2012-10-21,81,30,48,83,53,78,49,13,53,100,39
2012-10-28,64,22,48,67,32,65,47,26,100,57,39
2012-11-04,57,19,50,51,35,54,46,14,51,61,30
2012-11-11,32,11,52,42,20,33,46,14,51,49,41
2012-11-18,32,9,100,40,17,32,46,13,51,54,49
2012-11-25,24,8,48,29,15,23,46,0,51,32,40
2012-12-02,17,5,0,26,8,16,46,0,49,26,60
2012-12-09,16,5,0,9,8,15,0,0,49,49,43
2012-12-16,11,3,0,25,4,11,0,0,53,27,62
2012-12-23,10,3,0,10,3,10,0,0,0,14,43
2012-12-30,9,2,0,8,2,9,0,0,0,14,58
2013-01-06,9,2,0,15,3,7,0,14,0,27,34
2013-01-13,7,2,0,15,2,8,0,0,0,13,20
2013-01-20,7,2,0,15,2,9,50,0,0,13,27
2013-01-27,7,2,0,10,3,7,0,0,0,27,44
2013-02-03,7,2,0,15,3,6,0,0,0,13,36
2013-02-10,6,2,0,12,2,6,0,0,0,13,44
2013-02-17,4,2,0,14,1,5,0,0,0,25,54
2013-02-24,5,2,0,5,1,5,0,0,0,12,61
2013-03-03,4,1,0,5,3,4,0,0,0,12,38
2013-03-10,4,1,0,5,2,4,0,0,0,12,48
2013-03-17,4,1,0,7,4,4,0,0,0,12,53
2013-03-24,3,1,0,8,1,4,0,13,0,12,57
2013-03-31,4,1,0,8,2,3,0,0,0,15,42
2013-04-07,3,1,0,9,4,4,0,0,0,18,56
2013-04-14,3,1,0,9,2,4,44,0,0,12,66
2013-04-21,3,1,0,9,2,4,0,0,0,12,48
2013-04-28,3,0,0,9,2,3,0,0,0,12,56
2013-05-05,3,1,0,9,3,4,0,0,0,23,84
2013-05-12,4,1,0,9,2,4,0,0,0,12,67
2013-05-19,4,1,0,4,1,5,0,0,0,12,54
2013-05-26,6,2,0,8,4,7,0,0,0,11,71
2013-06-02,9,3,0,10,4,9,0,0,0,22,55
2013-06-09,9,3,0,23,3,10,0,0,0,17,68
2013-06-16,10,3,0,19,6,10,0,0,0,22,41
2013-06-23,9,3,0,17,4,9,41,0,0,11,36
2013-06-30,8,3,0,14,5,9,0,0,0,11,68
2013-07-07,10,3,0,14,3,9,0,0,44,11,64
2013-07-14,10,3,0,19,7,9,0,0,42,33,51
2013-07-21,10,3,0,16,5,10,0,0,42,21,50
2013-07-28,10,3,0,10,6,11,0,0,42,21,58
2013-08-04,10,3,0,8,6,11,0,0,56,27,47
2013-08-11,12,3,0,14,6,11,39,0,70,32,39
2013-08-18,14,4,0,12,8,14,40,0,85,21,57
2013-08-25,16,5,40,22,12,17,40,0,42,21,47
2013-09-01,20,6,40,18,13,22,40,11,42,11,54
2013-09-08,28,8,41,29,16,29,41,10,42,27,51
2013-09-15,37,12,40,54,23,36,40,10,42,21,50
