Week,dengue,dengue fever,dengue symptoms,dengue mosqito,treatment for dengue,dengue mosquito
2012-02-26,2,1,0,0,0,0
2012-03-04,2,1,1,0,6,1
2012-03-11,2,1,0,0,6,1
2012-03-18,2,1,0,0,6,1
2012-03-25,2,1,1,0,6,1
2012-04-01,2,1,0,0,6,2
2012-04-08,2,1,1,0,6,2
2012-04-15,2,1,0,0,0,1
2012-04-22,2,1,0,0,0,1
2012-04-29,2,1,0,0,0,2
2012-05-06,2,1,0,0,0,3
2012-05-13,3,1,0,0,0,1
2012-05-20,5,2,1,0,6,1
2012-05-27,5,2,2,0,6,1
2012-06-03,4,1,1,0,5,3
2012-06-10,5,2,1,0,22,3
2012-06-17,5,3,2,0,8,1
2012-06-24,6,2,1,0,5,3
2012-07-01,5,2,1,0,5,1
2012-07-08,6,2,1,0,11,3
2012-07-15,5,2,1,0,8,1
2012-07-22,7,2,2,0,5,4
2012-07-29,8,3,3,0,13,4
2012-08-05,9,3,2,0,10,5
2012-08-12,8,3,3,0,16,1
2012-08-19,12,4,4,0,18,5
2012-08-26,18,6,5,0,20,8
2012-09-02,22,7,6,0,15,9
2012-09-09,21,6,6,0,38,8
2012-09-16,18,6,5,0,20,10
2012-09-23,21,7,7,0,21,7
2012-09-30,24,7,8,0,51,13
2012-10-07,36,11,13,0,54,19
2012-10-14,50,15,18,49,52,25
2012-10-21,81,21,30,48,83,53
2012-10-28,64,17,22,48,67,32
2012-11-04,57,14,19,50,51,35
2012-11-11,32,7,11,52,42,20
2012-11-18,32,8,9,100,40,17
2012-11-25,24,6,8,48,29,15
2012-12-02,17,4,5,0,26,8
2012-12-09,16,4,5,0,9,8
2012-12-16,11,3,3,0,25,4
2012-12-23,10,3,3,0,10,3
2012-12-30,9,2,2,0,8,2
2013-01-06,9,3,2,0,15,3
2013-01-13,7,2,2,0,15,2
2013-01-20,7,2,2,0,15,2
2013-01-27,7,1,2,0,10,3
2013-02-03,7,2,2,0,15,3
2013-02-10,6,1,2,0,12,2
2013-02-17,4,1,2,0,14,1
2013-02-24,5,1,2,0,5,1
2013-03-03,4,1,1,0,5,3
2013-03-10,4,1,1,0,5,2
2013-03-17,4,1,1,0,7,4
2013-03-24,3,1,1,0,8,1
2013-03-31,4,1,1,0,8,2
2013-04-07,3,1,1,0,9,4
2013-04-14,3,1,1,0,9,2
2013-04-21,3,1,1,0,9,2
2013-04-28,3,1,0,0,9,2
2013-05-05,3,1,1,0,9,3
2013-05-12,4,1,1,0,9,2
2013-05-19,4,1,1,0,4,1
2013-05-26,6,2,2,0,8,4
2013-06-02,9,5,3,0,10,4
2013-06-09,9,4,3,0,23,3
2013-06-16,10,4,3,0,19,6
2013-06-23,9,4,3,0,17,4
2013-06-30,8,3,3,0,14,5
2013-07-07,10,3,3,0,14,3
2013-07-14,10,3,3,0,19,7
2013-07-21,10,4,3,0,16,5
2013-07-28,10,3,3,0,10,6
2013-08-04,10,3,3,0,8,6
2013-08-11,12,4,3,0,14,6
2013-08-18,14,4,4,0,12,8
2013-08-25,16,5,5,40,22,12
2013-09-01,20,5,6,40,18,13
2013-09-08,28,8,8,41,29,16
2013-09-15,37,9,12,40,54,23
2013-09-22,45,12,14,40,76,32
2013-09-29,45,9,16,40,48,33
2013-10-06,41,9,14,40,45,32
2013-10-13,37,8,13,39,68,25
2013-10-20,36,8,12,39,36,23
2013-10-27,30,7,9,42,40,21
2013-11-03,27,6,9,42,28,15
2013-11-10,21,4,7,40,28,17
2013-11-17,16,3,5,0,26,9
2013-11-24,13,3,4,0,16,6
2013-12-01,12,3,4,0,16,7
2013-12-08,8,2,2,0,5,3
2013-12-15,7,2,2,0,5,3
2013-12-22,5,1,1,0,9,4
2013-12-29,6,1,1,0,12,2
2014-01-05,5,1,2,0,6,2
2014-01-12,5,1,1,0,3,2
2014-01-19,4,1,1,0,6,2
2014-01-26,4,1,1,0,17,1
2014-02-02,5,1,1,0,11,2
2014-02-09,3,1,1,0,6,2
2014-02-16,4,1,1,0,6,4
2014-02-23,4,1,1,28,6,3
2014-03-02,3,1,1,0,6,1
2014-03-09,4,1,1,0,3,2
