Week,Dengue fever,Dengue Fever band,dengue ke lakshan,how to cure dengue at home,dengue fever prevention
2012-02-26,2,0,0,0,0
2012-03-04,3,58,0,0,0
2012-03-11,2,0,0,0,0
2012-03-18,2,0,0,0,0
2012-03-25,2,0,0,0,15
2012-04-01,2,0,0,0,15
2012-04-08,2,0,0,0,15
2012-04-15,2,0,0,0,16
2012-04-22,3,0,0,0,16
2012-04-29,2,59,0,0,19
2012-05-06,3,54,0,0,23
2012-05-13,3,54,0,0,26
2012-05-20,5,54,0,0,29
2012-05-27,6,54,0,0,14
2012-06-03,6,53,0,0,14
2012-06-10,6,53,0,0,14
2012-06-17,6,53,0,0,29
2012-06-24,7,53,0,0,14
2012-07-01,6,53,0,0,28
2012-07-08,6,51,0,0,14
2012-07-15,6,51,0,0,14
2012-07-22,8,52,0,0,14
2012-07-29,8,53,0,0,19
2012-08-05,9,50,0,0,23
2012-08-12,10,50,0,0,28
2012-08-19,12,50,0,0,14
2012-08-26,18,50,0,0,88
2012-09-02,22,75,0,53,34
2012-09-09,21,100,0,54,40
2012-09-16,19,50,0,54,20
2012-09-23,21,50,0,53,27
2012-09-30,23,50,0,53,13
2012-10-07,36,49,13,52,66
2012-10-14,48,49,13,52,78
2012-10-21,78,49,13,53,100
2012-10-28,65,47,26,100,57
2012-11-04,54,46,14,51,61
2012-11-11,33,46,14,51,49
2012-11-18,32,46,13,51,54
2012-11-25,23,46,0,51,32
2012-12-02,16,46,0,49,26
2012-12-09,15,0,0,49,49
2012-12-16,11,0,0,53,27
2012-12-23,10,0,0,0,14
2012-12-30,9,0,0,0,14
2013-01-06,7,0,14,0,27
2013-01-13,8,0,0,0,13
2013-01-20,9,50,0,0,13
2013-01-27,7,0,0,0,27
2013-02-03,6,0,0,0,13
2013-02-10,6,0,0,0,13
2013-02-17,5,0,0,0,25
2013-02-24,5,0,0,0,12
2013-03-03,4,0,0,0,12
2013-03-10,4,0,0,0,12
2013-03-17,4,0,0,0,12
2013-03-24,4,0,13,0,12
2013-03-31,3,0,0,0,15
2013-04-07,4,0,0,0,18
2013-04-14,4,44,0,0,12
2013-04-21,4,0,0,0,12
2013-04-28,3,0,0,0,12
2013-05-05,4,0,0,0,23
2013-05-12,4,0,0,0,12
2013-05-19,5,0,0,0,12
2013-05-26,7,0,0,0,11
2013-06-02,9,0,0,0,22
2013-06-09,10,0,0,0,17
2013-06-16,10,0,0,0,22
2013-06-23,9,41,0,0,11
2013-06-30,9,0,0,0,11
2013-07-07,9,0,0,44,11
2013-07-14,9,0,0,42,33
2013-07-21,10,0,0,42,21
2013-07-28,11,0,0,42,21
2013-08-04,11,0,0,56,27
2013-08-11,11,39,0,70,32
2013-08-18,14,40,0,85,21
2013-08-25,17,40,0,42,21
2013-09-01,22,40,11,42,11
2013-09-08,29,41,10,42,27
