Week,dengue,dengue symptoms,prevent dengue,dengue fever,symptoms of dengue,dengue precautions,treatment for dengue,dengue fever,symptoms of dengue,dengue mosquito,medicine for dengue,causes of dengue,butterscotch,dengue fever band
2012-05-20,5,4,6,11,2,0,10,11,2,1,0,0,37,0
2012-05-27,6,6,6,10,3,0,10,10,3,2,0,18,44,57
2012-06-03,5,3,6,7,3,0,20,7,3,1,0,0,29,55
2012-06-10,6,6,6,8,2,0,7,8,2,2,0,9,43,0
2012-06-17,6,4,9,11,1,0,7,11,1,2,10,0,32,0
2012-06-24,5,3,12,10,2,0,10,10,2,2,5,18,18,0
2012-07-01,5,4,0,10,5,0,10,10,5,4,0,0,45,0
2012-07-08,5,4,24,9,2,0,6,9,2,1,0,9,18,0
2012-07-15,6,3,6,7,2,0,6,7,2,2,0,17,29,54
2012-07-22,8,6,6,12,7,0,25,12,7,4,10,8,26,0
2012-07-29,9,9,6,12,7,0,6,12,7,1,0,17,20,0
2012-08-05,8,7,0,12,6,0,13,12,6,5,5,26,22,54
2012-08-12,10,8,12,12,10,0,13,12,10,3,0,0,40,0
2012-08-19,11,10,12,13,10,0,31,13,10,4,0,25,30,0
2012-08-26,18,15,9,27,13,15,18,27,13,8,10,25,26,0
2012-09-02,21,17,6,26,15,30,37,26,15,13,9,16,32,52
2012-09-09,21,15,14,27,17,0,34,27,17,5,5,25,23,52
2012-09-16,18,18,6,23,14,8,25,23,14,6,0,0,39,52
2012-09-23,22,22,6,30,17,23,41,30,17,7,10,8,24,53
2012-09-30,24,29,6,41,20,15,40,41,20,12,14,34,32,52
2012-10-07,37,42,27,51,26,14,44,51,26,18,9,24,33,100
2012-10-14,47,55,27,68,47,43,59,68,47,18,14,72,21,50
2012-10-21,81,97,68,100,73,52,89,100,73,64,19,100,34,52
2012-10-28,64,72,43,72,58,35,69,72,58,46,35,70,28,0
2012-11-04,56,57,26,62,61,30,75,62,61,37,14,58,30,0
2012-11-11,32,37,9,39,36,16,48,39,36,20,10,43,38,54
2012-11-18,31,32,8,40,28,15,52,40,28,15,19,25,38,0
2012-11-25,24,22,8,28,20,7,50,28,20,9,27,24,27,49
2012-12-02,17,14,19,22,15,7,17,22,15,8,18,16,24,0
2012-12-09,14,14,13,16,15,20,11,16,15,9,13,45,19,0
2012-12-16,11,11,8,13,12,7,39,13,12,2,19,33,54,0
2012-12-23,12,10,15,12,10,0,19,12,10,3,0,26,22,0
2012-12-30,8,4,9,13,11,0,12,13,11,3,5,17,35,53
2013-01-06,8,7,6,12,9,0,28,12,9,1,0,50,17,0
2013-01-13,9,5,6,9,8,0,31,9,8,5,5,0,28,0
2013-01-20,8,4,6,8,5,0,28,8,5,3,14,17,28,0
2013-01-27,7,5,11,7,5,0,12,7,5,3,0,0,23,51
2013-02-03,6,6,0,8,7,0,21,8,7,0,0,8,19,0
2013-02-10,5,4,0,5,9,0,6,5,9,3,0,24,25,0
2013-02-17,4,6,5,7,5,7,6,7,5,5,0,8,32,0
2013-02-24,5,4,5,5,4,0,6,5,4,3,13,0,38,0
2013-03-03,4,3,5,4,4,0,0,4,4,3,4,8,22,0
2013-03-10,4,4,0,6,4,0,8,6,4,1,4,0,39,0
2013-03-17,3,3,5,2,6,0,6,2,6,4,4,0,38,0
2013-03-24,4,3,0,5,4,0,17,5,4,2,0,0,28,0
2013-03-31,3,3,0,4,2,0,5,4,2,2,4,0,32,0
2013-04-07,4,3,5,3,1,0,5,3,1,4,4,0,42,0
2013-04-14,3,2,0,5,2,0,0,5,2,2,0,0,62,0
2013-04-21,4,2,10,3,2,0,5,3,2,4,0,0,26,0
2013-04-28,3,2,5,6,1,0,0,6,1,2,4,0,34,0
2013-05-05,3,3,10,6,1,0,0,6,1,3,4,7,59,0
2013-05-12,4,3,10,7,2,0,5,7,2,0,0,0,50,0
2013-05-19,4,3,0,5,2,7,0,5,2,3,0,0,49,0
2013-05-26,6,7,9,10,4,0,5,10,4,1,0,7,55,43
2013-06-02,9,8,5,19,7,0,27,19,7,3,4,20,40,0
2013-06-09,10,8,9,20,8,6,15,20,8,6,4,0,40,0
2013-06-16,9,8,5,17,8,6,13,17,8,5,0,14,35,0
2013-06-23,9,9,7,13,8,6,18,13,8,4,4,40,24,0
2013-06-30,9,9,7,11,5,6,8,11,5,8,4,13,42,0
2013-07-07,9,10,5,12,6,0,18,12,6,4,8,14,40,0
2013-07-14,9,9,9,13,8,6,15,13,8,7,8,20,27,41
2013-07-21,10,10,9,15,7,0,17,15,7,11,7,13,30,0
2013-07-28,10,9,4,12,10,12,14,12,10,7,0,20,22,0
2013-08-04,10,8,0,15,9,6,22,15,9,10,8,7,36,0
2013-08-11,11,10,4,11,8,6,12,11,8,7,7,13,34,41
2013-08-18,13,13,4,17,10,12,15,17,10,13,0,7,29,42
2013-08-25,17,12,9,23,17,0,27,23,17,16,7,26,30,0
2013-09-01,21,20,20,26,16,12,39,26,16,14,11,13,39,0
2013-09-08,27,27,14,31,25,6,53,31,25,11,23,41,42,0
2013-09-15,36,38,23,37,32,29,56,37,32,16,22,33,37,41
2013-09-22,45,44,22,48,38,40,66,48,38,27,18,19,39,40
2013-09-29,45,47,11,46,47,47,63,46,47,24,19,46,47,41
2013-10-06,40,38,16,41,41,30,74,41,41,33,27,47,33,42
2013-10-13,36,41,12,38,34,18,58,38,34,31,39,34,33,0
2013-10-20,38,40,11,38,44,18,46,38,44,20,26,59,37,0
2013-10-27,30,28,9,31,26,31,31,31,26,23,20,28,25,0
2013-11-03,25,23,14,25,23,19,44,25,23,17,0,14,34,0
2013-11-10,19,18,14,22,19,18,44,22,19,13,22,26,27,0
2013-11-17,17,16,4,12,13,0,29,12,13,7,4,46,45,0
2013-11-24,13,13,11,15,14,17,19,15,14,5,11,13,33,0
2013-12-01,11,12,0,14,14,6,12,14,14,7,4,13,33,0
2013-12-08,7,7,0,8,7,5,4,8,7,4,3,11,28,0
2013-12-15,6,6,3,6,5,4,13,6,5,3,0,10,23,0
2013-12-22,5,5,0,5,6,4,7,5,6,1,0,0,30,0
2013-12-29,5,5,7,7,7,9,13,7,7,1,0,0,33,0
2014-01-05,4,5,10,6,4,4,9,6,4,2,3,15,31,30
2014-01-12,5,3,0,6,4,0,5,6,4,4,3,15,20,0
2014-01-19,3,3,3,4,4,4,10,4,4,2,0,9,19,0
2014-01-26,4,4,3,3,3,0,5,3,3,1,0,0,13,0
2014-02-02,4,2,4,4,5,0,8,4,5,2,3,5,20,0
2014-02-09,4,5,0,4,4,0,5,4,4,8,0,5,39,0
2014-02-16,4,3,3,4,3,0,0,4,3,2,3,9,24,30
2014-02-23,4,3,3,4,4,0,3,4,4,1,0,9,17,0
2014-03-02,3,1,3,2,1,0,3,2,1,2,0,0,32,0
