"","INDEX","YEAR","MN","HR","DT","...SLP","..MSLP","..DBT","..WBT","..DPT",".RH","..VP","DD","FFF","AW","VV","Cl","A","Cm","A.1","Ch","A.2","Dl","Dm","Dh","TC","h","c","a","Ht","..R.F",".EVP","DW","P","H",".WAT","Date"
"1",43063,2005,1,7.5,1,951.05,1014.05,20.8,17.6,15.7,76,178,14.5,3,2,96.5,2.5,1,3,4,1,1,3.5,5,6.5,2.5,15,28,1.05,13.5,NA,NA,NA,NA,NA,NA,NA
"2",43063,2005,1,7.5,2,950.05,1012.75,21.8,16.9,13.85,62.5,159,7,1,1,96.5,5,2.5,3,1.5,1,1,5,5,6,2.5,26,0,1.65,21.65,NA,NA,NA,NA,NA,NA,NA
"3",43063,2005,1,7.5,3,949.95,1012.45,22.6,17.2,13.85,64,158.5,4.5,4,2,96.5,2.5,1,0,0,0.5,0.5,0,1.5,2.5,3,5.5,13,0,50.55,13.5,NA,NA,NA,NA,NA,NA
"4",43063,2005,1,7.5,4,952.35,1015,22.7,17.2,13.65,62.5,156.5,4.5,1,3,96.5,0,0,0,0,0,0,0,0,0,0,9,0,0,99,0,1.35,21.9,NA,NA,NA,NA
"5",43063,2005,1,7.5,5,952.3,1015.05,21.9,17.4,14.75,69,165.5,0,0,1,96.5,2.5,1,0,0,0.5,1,0,2,2.5,3,5.5,13,0,50.5,13.7,NA,NA,NA,NA,NA,NA
"6",43063,2005,1,7.5,6,951.55,1014,23.2,17.8,14.55,62,165.5,0,0,1,96.5,2.5,1,1.5,0.5,0.5,1,2.5,2.5,3,1,17.5,0,1,63.6,NA,NA,NA,NA,NA,NA,NA
"7",43063,2005,1,7.5,7,951.65,1012,22,16.1,12.1,61,141.5,13.5,3,1,96.5,0,0,0,0,0,0,0,0,0,0,9,0,0,99,0,1.45,21.35,NA,NA,NA,NA
"8",43063,2005,1,7.5,8,951.5,1014.35,21.8,15.9,11.95,59,139.5,2.5,1,3,96.5,0,0,0,0,0,0,0,0,0,0,9,0,0,99,0,2,20.7,NA,NA,NA,NA
"9",43063,2005,1,7.5,9,950.85,1013.75,21.5,15.6,11.5,61,136,16,2,1.5,96.5,0,0,0,0,1,2,0,0,2,9,0,2,70,0,1.35,20.75,NA,NA,NA,NA,NA
"10",43063,2005,1,7.5,10,948.7,1011.8,19.6,13.9,9.15,60.5,117.5,0,0,4.5,96.5,0,0,0,0,0.5,1,0,0,1,4.5,4.5,1,35,49.5,1.2,13.7,NA,NA,NA,NA,NA
"11",43063,2005,1,7.5,11,950.05,1013.25,19.2,13.9,9.95,62,122.5,0,0,2.5,96,0,0,0,0,0,0,0,0,0,0,9,0,0,99,0,1.9,18.1,NA,NA,NA,NA
"12",43063,2005,1,7.5,12,951.7,1014.9,20.3,14.6,10.35,62.5,126,0,0,2,96.5,0,0,0,0,0,0,0,0,0,0,9,0,0,99,0,1.45,19.6,NA,NA,NA,NA
"13",43063,2005,1,7.5,13,951.25,1014.4,20.5,14,9,57.5,115,3.5,1,1.5,96.5,0,0,0,0,0,0,0,0,0,0,9,0,0,99,0,1.35,19.15,NA,NA,NA,NA
"14",43063,2005,1,7.5,14,949.7,1012.7,21,14,8.6,52.5,112,0,0,2,96.5,2.5,0.5,1.5,1,2,3.5,2.5,3,1.5,13,4.5,1.6,13,NA,NA,NA,NA,NA,NA,NA,NA
"15",43063,2005,1,7.5,15,948.8,1011.5,21.5,14.6,9.2,57,118,16,2,1.5,96.5,0,0,0,0,0,0,0,0,0,0,9,0,0,99,0,1.7,19.65,NA,NA,NA,NA
"16",43063,2005,1,7.5,16,949.25,1012.25,19.8,14.2,9.85,60,122,13.5,4,3.5,96.5,0,0,0,0,1,3,0,0,3,9,0,3,70,0,1.65,19.4,NA,NA,NA,NA,NA
"17",43063,2005,1,7.5,17,949.65,1012.85,19.3,13.1,7.6,57.5,106.5,13.5,2,3,96.5,0,0,0,0,0.5,0.5,0,0,0.5,4.5,4.5,0.5,35,49.5,1.15,13.7,NA,NA,NA,NA,NA
"18",43063,2005,1,7.5,18,951.15,1014.5,18.9,12.9,7.8,55.5,106.5,14.5,1,3.5,96.5,0,0,0,0,0,0,0,0,0,0,9,0,0,99,0,1.9,17.3,NA,NA,NA,NA
"19",43063,2005,1,7.5,19,951.9,1015.5,18.1,11.5,5.5,51,90.5,4.5,1,4,96.5,0,0,0,0,0,0,0,0,0,0,9,0,0,99,0,1.85,16.45,NA,NA,NA,NA
"20",43063,2005,1,7.5,20,952.35,1015.75,19.3,14,10.35,64,126,2.5,1,3,96.5,0,0,0,0,0,0,0,0,0,0,9,0,0,99,0,1.75,18.1,NA,NA,NA,NA
"21",43063,2005,1,7.5,21,953,1016.15,20.85,15.35,11.75,63.5,138,17,1,1,96.5,0,0,0,0,0,0,0,0,0,0,9,0,0,99,0,1.6,20.4,NA,NA,NA,NA
"22",43063,2005,1,7.5,22,951.15,1013.75,22.5,16.5,12.55,60,145.5,13.5,5,2.5,96.5,5,2,1.5,0.5,1,1,2,4,5.5,4,14,13,0.6,8.6,NA,NA,NA,NA,NA,NA,NA
"23",43063,2005,1,7.5,23,949.75,1012.6,21.4,14.7,9.05,59,119,16,3,2.5,96.5,0,0,0,0,0,0,0,0,0,0,9,0,0,99,0,2.1,20.5,NA,NA,NA,NA
"24",43063,2005,1,7.5,24,950.35,1013.1,21.6,15.2,10.65,57,128,0,0,3.5,96.5,0,0,0,0,1,3.5,0,0,3.5,9,0,3.5,70,0,1.95,NA,NA,NA,NA,NA,NA
"25",43063,2005,1,7.5,25,949.5,1011.75,23.3,16.2,11.25,52.5,133.5,13.5,2,1.5,96.5,2.5,1,0,0,1,3,0,2.5,5,7.5,1,13.5,35,0.7,14.9,NA,NA,NA,NA,NA,NA
"26",43063,2005,1,7.5,26,948.15,1010.6,22.1,15.4,11.15,57.5,133,13.5,3,3,96.5,2.5,1,1.5,0.5,1.5,3,2.5,3,1,13,4.5,1.15,13.65,NA,NA,NA,NA,NA,NA,NA,NA
"27",43063,2005,1,7.5,27,947.05,1009.4,22.4,16.4,12.1,57.5,143.5,13.5,3,2.5,96.5,2.5,1.5,3,3.5,2,0,3.5,7,4,4.5,29.5,13,1,9.6,NA,NA,NA,NA,NA,NA,NA
"28",43063,2005,1,7.5,28,947.3,1009.6,22.2,15.15,10.4,50,126.5,14.5,3,4.5,97,5,1,3,3,0,0,0,4,5,6,1.5,26,0,2.15,21.25,NA,NA,NA,NA,NA,NA
"29",43063,2005,1,7.5,29,946.9,1010.5,21.2,15.7,11.65,61,138.5,13.5,3,2.5,96.5,2.5,0.5,1.5,1,1,1.5,2,2.5,4,5,13,1,36.1,13.05,NA,NA,NA,NA,NA,NA,NA
"30",43063,2005,1,7.5,30,948,1011.2,18.8,13.7,9.35,60,119.5,14.5,5,3,96.5,5,3.5,3,2,1,2,7.5,5,6,3.5,26,0.15,1.8,16.05,NA,NA,NA,NA,NA,NA,NA
"31",43063,2005,1,7.5,31,950.45,1014.3,16.8,14.8,13.45,81.5,154.5,9,4,4.5,97,5,3.5,1.5,1.5,0,0,0,3.5,4,5.5,5,14.5,13,0.85,7.7,NA,NA,NA,NA,NA,NA
"32",43063,2005,2,7.5,1,952.8,1016.35,18.7,15.15,12.7,70,147,8,4,5,97,2.5,2.5,1.5,1.5,0,0,0,4,2.5,3,7,13,0,49.85,7.45,NA,NA,NA,NA,NA,NA
"33",43063,2005,2,7.5,2,952,1015.3,19.7,15,11.85,65.5,139,0,0,2.5,96.5,2.5,0.5,1.5,0.5,0.5,0.5,1.5,2.5,3,0.5,17.5,0,0.8,62.85,NA,NA,NA,NA,NA,NA,NA
"34",43063,2005,2,7.5,3,950.85,1013.8,20.6,16.1,13.3,68.5,153,0,0,2.5,96.5,2.5,1.5,1.5,0.5,0.5,0.5,2.5,2.5,3,1.5,17.5,0,1.1,63.4,NA,NA,NA,NA,NA,NA,NA
"35",43063,2005,2,7.5,4,950.3,1012.95,22.2,16.4,12.45,63.5,145,3.5,1,2.5,96.5,2.5,0.5,0,0,0,0,0,0,0.5,2.5,7.5,0.5,13,49.5,1.15,15.05,NA,NA,NA,NA,NA
"36",43063,2005,2,7.5,5,949.6,1011.75,23.7,17.6,13.75,63,158,4.5,1,1.5,96.5,2.5,1.5,1.5,0.5,0,0,0,2,2.5,3,6,13,0,50.45,14.75,NA,NA,NA,NA,NA,NA
"37",43063,2005,2,7.5,6,950.4,1012.9,22.5,16.4,12.2,58.5,143,13.5,3,4,96.5,5,1.5,1.5,1.5,0,0,0,2.5,3,5.5,4,13.5,13,1,9.75,NA,NA,NA,NA,NA,NA
