Modal Price carrot,Date
400,2006/03/01
250,2006/03/01
250,2006/03/02
425,2006/03/02
400,2006/03/03
250,2006/03/03
300,2006/03/03
400,2006/03/05
400,2006/03/05
350,2006/03/05
350,2006/03/06
300,2006/03/06
300,2006/03/06
350,2006/03/07
300,2006/03/07
375,2006/03/08
325,2006/03/08
350,2006/03/09
500,2006/03/09
425,2006/03/10
250,2006/03/11
350,2006/03/11
425,2006/03/12
350,2006/03/12
350,2006/03/12
350,2006/03/13
250,2006/03/13
350,2006/03/13
350,2006/03/14
500,2006/03/14
400,2006/03/15
350,2006/03/16
500,2006/03/16
400,2006/03/17
350,2006/03/17
375,2006/03/18
400,2006/03/19
600,2006/03/19
350,2006/03/19
325,2006/03/20
400,2006/03/21
320,2006/03/21
550,2006/03/22
350,2006/03/22
350,2006/03/23
450,2006/03/24
350,2006/03/25
400,2006/03/27
500,2006/03/27
320,2006/03/27
400,2006/03/28
400,2006/03/28
300,2006/03/28
350,2006/03/29
400,2006/03/29
400,2006/03/29
350,2006/03/30
400,2006/03/31
325,2006/04/01
400,2006/04/02
300,2006/04/02
400,2006/04/03
325,2006/04/03
400,2006/04/04
450,2006/04/04
300,2006/04/04
400,2006/04/05
600,2006/04/05
300,2006/04/05
275,2006/04/06
300,2006/04/08
350,2006/04/09
400,2006/04/09
400,2006/04/11
350,2006/04/12
600,2006/04/12
400,2006/04/13
400,2006/04/14
400,2006/04/14
300,2006/04/15
400,2006/04/16
400,2006/04/17
350,2006/04/18
400,2006/04/18
350,2006/04/19
350,2006/04/20
500,2006/04/20
400,2006/04/21
300,2006/04/21
250,2006/04/22
400,2006/04/23
300,2006/04/24
350,2006/04/25
400,2006/04/26
400,2006/04/27
400,2006/04/28
400,2006/04/30
300,2006/04/30
400,2006/05/04
600,2006/05/05
600,2006/05/07
750,2006/05/08
300,2006/05/08
750,2006/05/09
500,2006/05/09
750,2006/05/10
750,2006/05/11
750,2006/05/12
750,2006/05/14
650,2006/05/15
650,2006/05/16
600,2006/05/17
300,2006/05/17
625,2006/05/18
550,2006/05/19
550,2006/05/21
400,2006/05/22
400,2006/05/22
550,2006/05/23
500,2006/05/24
650,2006/05/25
650,2006/05/26
800,2006/05/28
500,2006/05/29
500,2006/05/30
400,2006/05/31
600,2006/06/01
600,2006/06/02
600,2006/06/04
600,2006/06/05
650,2006/06/06
750,2006/06/07
750,2006/06/08
700,2006/06/09
700,2006/06/11
650,2006/06/12
650,2006/06/13
600,2006/06/15
650,2006/06/16
650,2006/06/18
550,2006/06/19
550,2006/06/20
550,2006/06/21
500,2006/06/22
600,2006/06/23
600,2006/06/25
400,2006/06/26
300,2006/06/27
350,2006/06/28
550,2006/06/29
550,2006/06/30
500,2006/07/02
650,2006/07/03
275,2006/07/04
600,2006/07/05
650,2006/07/06
700,2006/07/07
650,2006/07/09
600,2006/07/10
650,2006/07/11
650,2006/07/12
650,2006/07/13
600,2006/07/14
800,2006/07/14
600,2006/07/16
250,2006/07/16
900,2006/07/17
300,2006/07/17
700,2006/07/18
275,2006/07/18
650,2006/07/19
500,2006/07/19
700,2006/07/20
600,2006/07/21
500,2006/07/21
700,2006/07/23
650,2006/07/24
600,2006/07/25
600,2006/07/27
600,2006/07/27
550,2006/07/30
400,2006/07/31
650,2006/08/01
700,2006/08/03
400,2006/08/04
600,2006/08/06
700,2006/08/07
950,2006/08/09
700,2006/08/10
400,2006/08/10
800,2006/08/11
800,2006/08/13
850,2006/08/14
850,2006/08/16
700,2006/08/18
600,2006/08/18
700,2006/08/20
700,2006/08/21
750,2006/08/22
400,2006/08/22
750,2006/08/23
600,2006/08/23
750,2006/08/24
700,2006/08/25
700,2006/08/25
800,2006/08/28
500,2006/08/28
700,2006/08/29
850,2006/08/30
400,2006/08/30
750,2006/08/31
800,2006/09/01
800,2006/09/03
600,2006/09/03
650,2006/09/04
800,2006/09/05
800,2006/09/06
400,2006/09/07
750,2006/09/08
700,2006/09/08
750,2006/09/10
600,2006/09/10
750,2006/09/12
600,2006/09/13
650,2006/09/14
400,2006/09/14
650,2006/09/15
700,2006/09/15
600,2006/09/18
700,2006/09/19
350,2006/09/19
550,2006/09/20
750,2006/09/20
750,2006/09/21
400,2006/09/21
600,2006/09/23
700,2006/09/24
600,2006/09/24
650,2006/09/25
450,2006/09/25
700,2006/09/26
500,2006/09/26
750,2006/09/27
400,2006/09/27
650,2006/09/28
500,2006/09/28
400,2006/09/29
600,2006/10/01
600,2006/10/02
500,2006/10/02
550,2006/10/03
400,2006/10/03
700,2006/10/04
650,2006/10/05
400,2006/10/05
700,2006/10/06
550,2006/10/06
500,2006/10/07
650,2006/10/08
550,2006/10/08
700,2006/10/09
400,2006/10/09
550,2006/10/10
700,2006/10/10
650,2006/10/11
500,2006/10/11
650,2006/10/12
800,2006/10/12
550,2006/10/13
550,2006/10/15
550,2006/10/17
500,2006/10/17
700,2006/10/18
900,2006/10/19
500,2006/10/19
700,2006/10/20
600,2006/10/20
700,2006/10/22
500,2006/10/22
650,2006/10/23
600,2006/10/23
600,2006/10/24
600,2006/10/25
500,2006/10/25
700,2006/10/26
700,2006/10/26
550,2006/10/27
550,2006/10/27
600,2006/10/29
650,2006/10/30
600,2006/10/30
600,2006/10/31
550,2006/11/01
450,2006/11/01
600,2006/11/02
600,2006/11/03
400,2006/11/03
400,2006/11/04
600,2006/11/05
700,2006/11/05
400,2006/11/06
750,2006/11/08
400,2006/11/08
800,2006/11/09
750,2006/11/10
400,2006/11/10
750,2006/11/12
400,2006/11/12
700,2006/11/13
750,2006/11/14
500,2006/11/14
600,2006/11/15
750,2006/11/16
400,2006/11/16
800,2006/11/17
550,2006/11/19
800,2006/11/20
800,2006/11/22
700,2006/11/24
400,2006/11/24
650,2006/12/05
300,2006/12/05
650,2006/12/06
400,2006/12/06
550,2006/12/07
400,2006/12/07
750,2006/12/08
300,2006/12/08
300,2006/12/09
750,2006/12/10
500,2006/12/10
650,2006/12/11
500,2006/12/11
550,2006/12/12
550,2006/12/12
600,2006/12/13
300,2006/12/13
700,2006/12/14
500,2006/12/14
700,2006/12/15
400,2006/12/15
400,2006/12/16
700,2006/12/17
500,2006/12/17
700,2006/12/18
400,2006/12/18
650,2006/12/19
600,2006/12/19
400,2006/12/19
600,2006/12/20
750,2006/12/20
700,2006/12/21
450,2006/12/21
700,2006/12/22
600,2006/12/22
550,2006/12/23
700,2006/12/24
500,2006/12/24
700,2006/12/25
400,2006/12/25
700,2006/12/26
400,2006/12/26
350,2006/12/26
600,2006/12/27
400,2006/12/27
600,2006/12/28
625,2006/12/28
550,2006/12/29
550,2006/12/29
600,2006/12/30
550,2006/12/31
600,2007/01/01
1000,2007/01/01
700,2007/01/02
250,2007/01/02
550,2007/01/03
500,2007/01/03
550,2007/01/04
550,2007/01/05
400,2007/01/05
400,2007/01/05
550,2007/01/07
550,2007/01/07
550,2007/01/08
400,2007/01/08
550,2007/01/08
650,2007/01/09
600,2007/01/09
500,2007/01/09
550,2007/01/10
600,2007/01/10
500,2007/01/10
700,2007/01/11
600,2007/01/11
500,2007/01/11
650,2007/01/12
550,2007/01/12
400,2007/01/12
450,2007/01/13
500,2007/01/13
600,2007/01/14
700,2007/01/14
700,2007/01/15
600,2007/01/16
400,2007/01/16
650,2007/01/17
600,2007/01/18
400,2007/01/18
450,2007/01/19
350,2007/01/19
500,2007/01/20
400,2007/01/20
450,2007/01/21
400,2007/01/21
500,2007/01/22
350,2007/01/22
400,2007/01/23
300,2007/01/24
500,2007/01/25
450,2007/01/28
300,2007/01/28
500,2007/01/29
550,2007/01/30
400,2007/01/30
600,2007/01/31
500,2007/01/31
450,2007/02/01
500,2007/02/01
450,2007/02/02
450,2007/02/04
450,2007/02/05
350,2007/02/05
350,2007/02/05
500,2007/02/06
500,2007/02/06
350,2007/02/06
600,2007/02/07
550,2007/02/08
400,2007/02/08
550,2007/02/09
300,2007/02/09
375,2007/02/09
650,2007/02/12
550,2007/02/13
400,2007/02/13
550,2007/02/14
400,2007/02/15
550,2007/02/16
600,2007/02/18
300,2007/02/18
650,2007/02/19
650,2007/02/20
500,2007/02/20
550,2007/02/21
600,2007/02/21
600,2007/02/22
600,2007/02/22
650,2007/02/23
650,2007/02/26
700,2007/02/27
600,2007/02/27
650,2007/02/28
350,2007/02/28
600,2007/03/01
600,2007/03/02
500,2007/03/02
600,2007/03/04
650,2007/03/04
650,2007/03/05
400,2007/03/05
600,2007/03/06
400,2007/03/06
550,2007/03/08
300,2007/03/08
550,2007/03/09
550,2007/03/11
650,2007/03/12
650,2007/03/13
300,2007/03/13
700,2007/03/14
800,2007/03/14
650,2007/03/15
600,2007/03/16
520,2007/03/16
400,2007/03/17
600,2007/03/18
500,2007/03/18
600,2007/03/19
500,2007/03/20
500,2007/03/21
300,2007/03/21
650,2007/03/22
700,2007/03/23
400,2007/03/23
700,2007/03/25
650,2007/03/28
600,2007/03/29
300,2007/03/29
600,2007/03/30
500,2007/03/30
400,2007/04/01
300,2007/04/02
800,2007/04/02
600,2007/04/03
650,2007/04/03
600,2007/04/04
500,2007/04/05
600,2007/04/06
500,2007/04/07
700,2007/04/08
600,2007/04/08
550,2007/04/09
400,2007/04/09
600,2007/04/10
600,2007/04/11
600,2007/04/12
500,2007/04/12
625,2007/04/12
600,2007/04/13
400,2007/04/13
650,2007/04/13
