Modal Price cucumber,Date
300,2005/01/04
300,2005/01/05
250,2005/01/07
300,2005/01/09
400,2005/01/11
300,2005/01/13
500,2005/01/14
550,2005/01/19
550,2005/01/21
800,2005/01/23
800,2005/01/24
900,2005/01/25
700,2005/01/27
450,2005/01/28
500,2005/01/30
500,2005/01/31
450,2005/02/01
600,2005/02/02
700,2005/02/03
1100,2005/02/06
650,2005/02/07
1000,2005/02/08
1000,2005/02/09
1000,2005/02/10
900,2005/02/14
1000,2005/02/15
1000,2005/02/16
900,2005/02/17
850,2005/02/20
900,2005/02/21
900,2005/02/23
900,2005/02/24
900,2005/02/25
800,2005/02/27
850,2005/02/28
1000,2005/03/01
900,2005/03/11
650,2005/03/13
750,2005/03/14
700,2005/03/16
650,2005/03/17
650,2005/03/20
600,2005/03/21
550,2005/03/25
500,2005/03/26
600,2005/03/27
650,2005/03/28
500,2005/03/30
450,2005/03/31
600,2005/04/01
420,2005/04/05
400,2005/04/06
600,2005/04/07
300,2005/04/08
300,2005/04/11
350,2005/04/15
350,2005/04/18
400,2005/04/19
650,2005/04/20
430,2005/04/22
350,2005/04/24
350,2005/04/25
350,2005/04/26
400,2005/04/27
350,2005/04/28
400,2005/04/29
300,2005/05/02
350,2005/05/03
350,2005/05/04
350,2005/05/05
300,2005/05/06
350,2005/05/08
350,2005/05/09
300,2005/05/10
400,2005/05/11
375,2005/05/12
400,2005/05/13
350,2005/05/15
400,2005/05/16
450,2005/05/17
400,2005/05/18
450,2005/05/19
300,2005/05/20
425,2005/05/22
350,2005/05/23
400,2005/05/24
425,2005/05/25
550,2005/05/26
700,2005/05/27
600,2005/05/29
700,2005/05/30
425,2005/05/31
700,2005/06/01
600,2005/06/02
500,2005/06/03
600,2005/06/05
900,2005/06/06
900,2005/06/07
800,2005/06/08
800,2005/06/09
950,2005/06/10
800,2005/06/12
800,2005/06/13
700,2005/06/14
650,2005/06/15
900,2005/06/16
900,2005/06/17
750,2005/06/21
650,2005/06/22
650,2005/06/23
550,2005/06/24
600,2005/06/26
550,2005/06/27
450,2005/06/28
450,2005/06/29
500,2005/06/30
400,2005/07/01
450,2005/07/03
450,2005/07/04
650,2005/07/05
850,2005/07/06
700,2005/07/07
750,2005/07/08
1000,2005/07/11
1000,2005/07/12
1050,2005/07/13
900,2005/07/14
900,2005/07/15
750,2005/07/17
600,2005/07/18
600,2005/07/19
600,2005/07/20
550,2005/07/21
550,2005/07/22
650,2005/07/24
650,2005/07/25
600,2005/07/26
450,2005/07/27
550,2005/07/29
700,2005/07/31
750,2005/08/01
650,2005/08/02
800,2005/08/04
700,2005/08/05
850,2005/08/08
800,2005/08/09
1000,2005/08/10
1000,2005/08/11
750,2005/08/12
850,2005/08/14
1150,2005/08/16
800,2005/08/17
550,2005/08/18
700,2005/08/19
800,2005/08/21
650,2005/08/22
650,2005/08/23
550,2005/08/24
550,2005/08/26
500,2005/08/28
450,2005/08/29
450,2005/08/30
500,2005/08/31
500,2005/09/02
550,2005/09/04
400,2005/09/05
400,2005/09/06
450,2005/09/07
400,2005/09/08
600,2005/09/09
700,2005/09/11
400,2005/09/12
500,2005/09/13
450,2005/09/14
500,2005/09/16
450,2005/09/20
500,2005/09/21
500,2005/09/22
600,2005/09/23
550,2005/09/25
550,2005/09/26
550,2005/09/27
