Modal Price ginger, Date
1000,2006/03/25
900,2006/05/14
850,2006/05/15
850,2006/05/16
850,2006/05/17
900,2006/05/21
850,2006/05/22
850,2006/05/23
900,2006/05/24
900,2006/05/25
950,2006/06/08
900,2006/06/09
900,2006/06/11
950,2006/06/12
3250,2006/06/26
1150,2006/07/05
1200,2006/07/27
1200,2006/07/30
1200,2006/07/31
1250,2006/08/01
1200,2006/08/02
1200,2006/08/03
1200,2006/08/09
1300,2006/08/11
1500,2006/08/13
1350,2006/08/16
1400,2006/08/31
1100,2006/09/12
1000,2006/09/13
850,2006/09/14
1100,2006/09/15
950,2006/09/18
1050,2006/09/19
950,2006/09/20
975,2006/10/01
950,2006/10/02
950,2006/10/03
1050,2006/10/23
1200,2006/10/24
1200,2006/10/25
1350,2006/10/26
1200,2006/10/27
1150,2006/10/27
1300,2006/10/29
1300,2006/10/30
1250,2006/10/31
1250,2006/11/02
1000,2006/11/03
900,2006/11/05
1000,2006/11/06
1050,2006/11/08
1150,2006/11/10
1100,2006/11/12
1100,2006/11/13
1075,2006/11/14
1000,2006/11/15
1025,2006/11/16
900,2006/11/17
1000,2006/11/19
950,2006/11/20
950,2006/11/22
950,2006/11/23
950,2006/11/24
1000,2006/12/05
950,2006/12/06
900,2006/12/07
900,2006/12/08
950,2006/12/10
950,2006/12/11
1000,2006/12/12
950,2006/12/13
950,2006/12/14
950,2006/12/15
950,2006/12/17
950,2006/12/18
900,2006/12/19
950,2006/12/20
850,2006/12/21
1300,2006/12/23
1000,2006/12/24
850,2006/12/25
950,2006/12/26
900,2006/12/27
950,2006/12/28
1000,2006/12/29
850,2006/12/31
850,2007/01/01
850,2007/01/02
800,2007/01/03
800,2007/01/04
800,2007/01/05
800,2007/01/07
850,2007/01/08
800,2007/01/09
800,2007/01/10
800,2007/01/11
850,2007/01/12
1100,2007/01/14
800,2007/01/15
800,2007/01/16
800,2007/01/17
800,2007/01/18
900,2007/01/19
850,2007/01/21
850,2007/01/22
900,2007/01/24
800,2007/01/25
800,2007/01/29
850,2007/01/30
800,2007/01/31
800,2007/02/01
900,2007/02/02
800,2007/02/04
1000,2007/02/04
900,2007/02/05
850,2007/02/06
800,2007/02/07
850,2007/02/08
800,2007/02/09
800,2007/02/12
900,2007/02/13
800,2007/02/14
800,2007/02/15
900,2007/02/16
900,2007/02/18
1100,2007/02/19
1000,2007/02/20
1000,2007/02/21
950,2007/02/22
950,2007/02/23
900,2007/02/26
950,2007/02/27
950,2007/02/28
1000,2007/03/01
950,2007/03/02
1000,2007/03/04
1100,2007/03/05
1000,2007/03/06
1150,2007/03/08
1100,2007/03/09
1250,2007/03/11
1200,2007/03/12
1300,2007/03/13
1300,2007/03/14
1250,2007/03/15
1250,2007/03/16
1200,2007/03/18
1200,2007/03/19
1150,2007/03/21
1150,2007/03/22
1150,2007/03/23
1400,2007/03/25
1100,2007/03/28
1100,2007/03/29
1050,2007/03/30
1100,2007/04/02
1050,2007/04/03
1000,2007/04/04
1000,2007/04/05
1000,2007/04/06
1150,2007/04/08
1100,2007/04/09
1100,2007/04/10
1050,2007/04/11
1050,2007/04/12
1050,2007/04/13
1050,2007/04/16
1100,2007/04/17
950,2007/04/18
1050,2007/04/19
1050,2007/04/20
1050,2007/04/23
1050,2007/04/24
1050,2007/04/25
1000,2007/04/26
1000,2007/04/27
1000,2007/04/29
1050,2007/04/30
1050,2007/05/02
1050,2007/05/03
1050,2007/05/04
1050,2007/05/06
950,2007/05/07
1050,2007/05/08
1050,2007/05/09
1200,2007/05/11
1250,2007/05/13
1300,2007/05/14
1200,2007/05/17
1100,2007/05/18
1100,2007/05/20
1100,2007/05/21
1100,2007/05/22
1050,2007/05/23
1050,2007/05/24
1050,2007/05/25
1175,2007/05/28
1150,2007/05/29
1000,2007/06/03
1300,2007/06/04
550,2007/06/04
1400,2007/06/05
1300,2007/06/07
1250,2007/06/08
1250,2007/06/10
1200,2007/06/11
1300,2007/06/12
1250,2007/06/13
1450,2007/06/17
1500,2007/06/18
1500,2007/06/19
1550,2007/06/20
1650,2007/06/21
1700,2007/06/24
1850,2007/06/25
1800,2007/06/26
2200,2007/06/29
2250,2007/07/02
2150,2007/07/04
1950,2007/07/05
2050,2007/07/06
2000,2007/07/09
1900,2007/07/10
2000,2007/07/11
1950,2007/07/12
1950,2007/07/13
1950,2007/07/15
2000,2007/07/16
1900,2007/07/17
1900,2007/07/18
1950,2007/07/20
1600,2007/07/23
1700,2007/07/24
1800,2007/07/25
1750,2007/07/26
1500,2007/07/26
1750,2007/07/27
1850,2007/07/30
1800,2007/07/31
1300,2007/08/01
1400,2007/08/01
1850,2007/08/02
1950,2007/08/05
2050,2007/08/06
1900,2007/08/07
1900,2007/08/08
2050,2007/08/09
2000,2007/08/13
2150,2007/08/14
1950,2007/08/16
1900,2007/08/17
2000,2007/08/21
1900,2007/08/23
1850,2007/08/24
1900,2007/08/26
1950,2007/08/27
1950,2007/08/28
2000,2007/08/29
1900,2007/08/30
2100,2007/08/31
1950,2007/09/02
2100,2007/09/03
2100,2007/09/05
2150,2007/09/06
2150,2007/09/07
2150,2007/09/09
2150,2007/09/10
2150,2007/09/11
2200,2007/09/12
