Modal Price jawar, Date
750,2006/03/01
787,2006/03/02
850,2006/03/03
750,2006/03/04
825,2006/03/06
800,2006/03/07
825,2006/03/08
775,2006/03/09
750,2006/03/10
800,2006/03/11
875,2006/03/13
775,2006/03/14
825,2006/03/15
875,2006/03/16
825,2006/03/17
968,2006/03/18
800,2006/03/20
825,2006/03/21
875,2006/03/22
825,2006/03/24
775,2006/03/25
775,2006/03/27
825,2006/03/28
825,2006/03/29
825,2006/03/30
825,2006/03/31
825,2006/04/01
837,2006/04/03
800,2006/04/04
825,2006/04/05
837,2006/04/08
850,2006/04/10
850,2006/04/12
850,2006/04/13
825,2006/04/14
725,2006/04/15
840,2006/04/17
900,2006/04/18
875,2006/04/19
850,2006/04/20
825,2006/04/21
850,2006/04/22
875,2006/04/25
825,2006/04/26
875,2006/04/27
810,2006/04/28
825,2006/05/04
850,2006/05/05
1750,2006/05/06
850,2006/05/08
1000,2006/05/09
900,2006/05/10
825,2006/05/12
925,2006/05/15
825,2006/05/16
900,2006/05/17
950,2006/05/18
850,2006/05/19
863,2006/05/20
925,2006/05/22
925,2006/05/23
800,2006/05/24
875,2006/05/25
825,2006/05/26
825,2006/05/27
850,2006/05/29
850,2006/05/30
825,2006/05/31
850,2006/06/01
850,2006/06/02
925,2006/06/03
825,2006/06/05
850,2006/06/06
825,2006/06/07
925,2006/06/08
825,2006/06/09
887,2006/06/10
900,2006/06/12
850,2006/06/13
825,2006/06/14
875,2006/06/15
925,2006/06/16
850,2006/06/17
950,2006/06/19
837,2006/06/20
950,2006/06/21
850,2006/06/22
850,2006/06/24
825,2006/06/26
850,2006/06/27
850,2006/06/28
850,2006/06/29
825,2006/06/30
825,2006/07/01
825,2006/07/03
800,2006/07/04
850,2006/07/06
837,2006/07/07
837,2006/07/08
825,2006/07/11
825,2006/07/12
850,2006/07/13
850,2006/07/14
887,2006/07/15
875,2006/07/17
875,2006/07/18
850,2006/07/19
850,2006/07/20
877,2006/07/21
877,2006/07/22
925,2006/07/24
825,2006/07/25
875,2006/07/27
825,2006/07/29
895,2006/07/31
825,2006/08/01
925,2006/08/04
900,2006/08/07
825,2006/08/09
850,2006/08/10
850,2006/08/11
875,2006/08/12
925,2006/08/14
813,2006/08/16
825,2006/08/18
875,2006/08/19
875,2006/08/21
925,2006/08/22
875,2006/08/23
925,2006/08/24
875,2006/08/25
900,2006/08/28
1000,2006/08/29
937,2006/08/30
950,2006/08/31
900,2006/09/01
900,2006/09/02
900,2006/09/04
875,2006/09/05
850,2006/09/06
900,2006/09/07
875,2006/09/08
850,2006/09/09
900,2006/09/11
850,2006/09/12
875,2006/09/13
950,2006/09/14
900,2006/09/15
800,2006/09/16
900,2006/09/18
950,2006/09/19
875,2006/09/20
925,2006/09/21
900,2006/09/23
900,2006/09/25
900,2006/09/26
887,2006/09/27
900,2006/09/28
900,2006/09/30
950,2006/10/02
975,2006/10/03
850,2006/10/04
708,2006/10/05
887,2006/10/06
950,2006/10/07
