Date,MAX,MIN,R.F,EVP,DR,SSH,RH,VP
2005-01-01,29.3,15.3,0,3.1,0,4.8,76,178
2005-01-02,28.1,16.3,0,3.2,0,5.8,62.5,159
2005-01-03,27.9,13.1,0,3.3,0,8.5,64,158.5
2005-01-04,30.5,14.1,0,2.9,0,8.7,62.5,156.5
2005-01-05,30.1,12.7,0,3.3,0,7.9,69,165.5
2005-01-06,31.6,13.9,0,3.2,0,8.4,62,165.5
2005-01-07,31.1,12.8,0,3.2,0,9.2,61,141.5
2005-01-08,31.5,11.1,0,3.3,0,9,59,139.5
2005-01-09,30.7,11.5,0,3.8,0,9.2,61,136
2005-01-10,31.7,10.2,0,2.9,0,9.2,60.5,117.5
2005-01-11,29.7,7.7,0,4.4,0,9.1,62,122.5
2005-01-12,27.8,9.3,0,2.8,0,9.1,62.5,126
2005-01-13,30.1,8.6,0,3,0,9,57.5,115
2005-01-14,30.8,8.9,0,3.4,0,8.2,52.5,112
2005-01-15,30.7,10.1,0,4.6,0,9,57,118
2005-01-16,31.1,11.4,0,3.4,0,9.1,60,122
2005-01-17,29.7,12.8,0,3.5,0,9.3,57.5,106.5
2005-01-18,28.9,6.7,0,3.7,0,9.5,55.5,106.5
2005-01-19,27.3,5.9,0,3.4,0,9.5,51,90.5
2005-01-20,26.8,7.4,0,3.9,0,9.2,64,126
2005-01-21,29.5,10,0,3.9,0,8.7,63.5,138
2005-01-22,31,12.3,0,2.8,0,9.2,60,145.5
2005-01-23,31.4,11.6,0,3.4,0,9.2,59,119
2005-01-24,32.1,10.5,0,4.3,0,9.5,57,128
2005-01-25,30.2,13,0,3.9,0,9.3,52.5,133.5
2005-01-26,32.9,12.2,0,3.4,0,9,57.5,133
2005-01-27,32.8,14.3,0,4.3,0,6.8,57.5,143.5
2005-01-28,30,12.8,0,3.6,0,9.8,50,126.5
2005-01-29,29.1,13.2,0,4.1,0,9,61,138.5
2005-01-30,27.8,12.9,0,4,0,4.2,60,119.5
2005-01-31,25.2,12.6,10,3.5,2,4.6,81.5,154.5
2005-02-01,21.1,13.4,0,2.1,0,5.3,70,147
2005-02-02,23,8.7,0,1.9,0,10.1,65.5,139
2005-02-03,27.8,10.3,0,2.9,0,8.8,68.5,153
2005-02-04,30,12,0,3.6,0,9.1,63.5,145
2005-02-05,30.6,13.4,0,3.5,0,10.1,63,158
2005-02-06,33.1,13.8,0,3.9,0,9.7,58.5,143
2005-02-07,31.1,13.1,0,4.9,0,10.4,62.5,153.5
2005-02-08,31.6,13.1,0,5,0,9.9,53.5,146.5
2005-02-09,31.9,11.9,0,4.9,0,10.5,50.5,125.5
2005-02-10,33.3,11.7,0,3.7,0,10.6,41.5,118.5
2005-02-11,34.5,12.5,0,0,0,0,49.5,123
2005-02-12,34.3,12.9,0,4.1,0,10.2,56.5,149.5
2005-02-13,34,13.2,0,4.2,0,10.5,49.5,136.5
2005-02-14,34.8,12.7,0,5,0,10.5,49,122
2005-02-15,35.9,10,0,5.5,0,10.9,37,101
2005-02-16,35.5,10.8,0,6.6,0,10.3,53,153
2005-02-17,32.2,13.6,0,4.7,0,10.7,62.5,156
2005-02-18,30.8,13.9,0,6.2,0,10.4,63,165
2005-02-19,28.5,11.9,0,5.8,0,10.5,54,120
2005-02-20,31.1,9.2,0,4.8,0,10.6,41,145.5
2005-02-21,31.9,9.3,0,6.1,0,10.4,36.5,78
2005-02-22,30.4,5.7,0,6.1,0,10.5,49,102.5
2005-02-23,30.2,9.6,0,4,0,10.4,53,122
2005-02-24,33.3,11.8,0,4.8,0,10.4,44,129
2005-02-25,34.4,13.4,0,6.6,0,10.2,49.5,134.5
2005-02-26,34.8,15.2,0,5.4,0,10.1,47,142
2005-02-27,35.7,16.3,0,5.2,0,6.7,54,162
2005-02-28,35.9,17.6,0,5,0,8.7,55.5,180
2005-03-01,35.5,16.4,0,5.8,0,8.5,51.5,156.5
2005-03-02,35.1,17,0,6.6,0,9.8,44.5,144.5
2005-03-03,35.8,15.4,0,5.2,0,9.6,48.5,139.5
2005-03-04,35.1,15.8,0,7.3,0,9.3,48,150.5
2005-03-05,34.1,14.8,0,5.6,0,9.5,48.5,140
2005-03-06,34.1,15.6,0,5.5,0,8.9,47,154.5
2005-03-07,34.1,15.9,0,5.7,0,9.3,45,150
2005-03-08,34.3,17.6,0,6,0,4.2,62.5,174.5
2005-03-09,30.1,16.3,0.4,4.4,0,9.4,59,162.5
2005-03-10,33.4,12.5,0,5.2,0,10.2,41.5,113.5
2005-03-11,32.5,12.2,0,5.2,0,10.1,38,115
2005-03-12,33,12.7,0,5.2,0,10.1,42,124
2005-03-13,33.8,13,0,6.3,0,10.1,35.5,114
2005-03-14,34.4,12.8,0,5.7,0,10.3,28,88.5
2005-03-15,36,12.7,0,7,0,9.9,35,107
2005-03-16,36.5,13.4,0,6.3,0,10,28,108.5
2005-03-17,37.2,15.4,0,6.4,0,9.8,30.5,111.5
2005-03-18,37.8,16.7,0,8.4,0,9.6,37.5,139.5
2005-03-19,37.4,17.4,0,7.4,0,9,34.5,132
2005-03-20,38.7,18.5,0,7.5,0,8.3,41.5,163
2005-03-21,38.5,19.1,0,7.1,0,9.6,40,146
2005-03-22,36.3,18.1,0,7.9,0,9.9,36.5,118.5
2005-03-23,35,14.2,0,9.4,0,10.1,28.5,90.5
2005-03-24,32.3,11.3,0,8.6,0,9.9,33.5,107
2005-03-25,33.6,14.1,0,6.4,0,10,42,137
2005-03-26,35.8,14.5,0,7.7,0,10.1,30,118
2005-03-27,37.5,16,0,6.4,0,9.7,37.5,131
2005-03-28,38.7,16.4,0,9,0,10.2,20,86.5
2005-03-29,36.3,15.3,0,9.7,0,10,32,125.5
2005-03-30,35.9,15.1,0,8.2,0,9.5,32,112.5
2005-03-31,36.2,17.3,0,7.7,0,9.4,37.5,134.5
2005-04-01,36.8,15.7,0,8.3,0,10,25,99
2005-04-02,37.7,17.3,0,7.5,0,9.8,40,160
2005-04-03,38.9,20.6,0,8.4,0,9,30.5,148.5
2005-04-04,38.9,22.4,7.8,0,0,0,37.5,178
2005-04-05,38.4,18.3,0,8.1,0,10.2,32,114
2005-04-06,38.6,21.4,0,9.3,0,8.4,33.5,151.5
2005-04-07,38.5,23.7,0,7.2,0,9.6,40,172
2005-04-08,37.5,22.4,0,9.3,0,9.3,39,141
2005-04-09,36.3,15.7,0,8.6,0,10.1,30,113.5
2005-04-10,36.5,15.1,0,8.2,0,10.6,23.5,88
2005-04-11,37.9,16.8,0,7,0,9.7,26,108.5
2005-04-12,38.1,17.9,0,8,0,8.8,27,127.5
2005-04-13,38.7,23.3,0,8.9,0,2.1,32,148
2005-04-14,35.9,25,0,6.5,0,8.1,47,202
2005-04-15,36.9,20.9,20.7,7.5,1,9.5,54.5,221.5
2005-04-16,36.4,19.5,0,5.5,0,10.3,40.5,169
2005-04-17,38,21.2,0,7.4,0,8.4,39.5,172.5
2005-04-18,38.4,21.5,0.3,6.7,0,7.9,38,160
2005-04-19,39.6,17.6,0,6.7,0,11.3,28,120.5
2005-04-20,39.1,17.6,0,8.8,0,11.2,29.5,127
2005-04-21,40.5,23.7,0,10.2,0,9.4,54,230
2005-04-22,38.9,23.1,0,8,0,3.6,43.5,177
2005-04-23,36.5,25.3,0,5.5,0,4.1,73.5,236.5
2005-04-24,34.5,20.7,5.6,5.6,0,2.4,80.5,240
2005-04-25,34.5,18.7,10.1,3.9,1,10.6,55,201.5
2005-04-26,36.2,18.6,0,6,0,11.1,40,166.5
2005-04-27,37.6,20,0,7.2,0,10.3,41.5,175.5
2005-04-28,38.1,18.5,0,9.6,0,11.7,29.5,128
2005-04-29,38,16.2,0,9.4,0,11.8,32,126.5
2005-04-30,37.1,15.3,0,9.4,0,11.4,26,119
2005-05-01,38.1,16.2,0,7.7,0,10.8,38.5,166
2005-05-02,38,22.6,0,8.3,0,9.6,42.5,182
2005-05-03,38.3,24.7,0,7,0,7.9,63,230
2005-05-04,36,20.6,0,7.8,0,7.7,74.5,240.5
2005-05-05,33.8,19.8,9.9,7.1,1,10.5,55.5,206.5
2005-05-06,35.2,21.9,0,7.4,0,9.9,52.5,200
2005-05-07,35.8,21.9,0,7.5,0,10.5,55,216.5
2005-05-08,36.6,21.9,0,6.6,0,11.2,55,219.5
2005-05-09,37.5,15.3,0,7.7,0,11.4,54.5,230.5
2005-05-10,35.9,23.1,0,8.2,0,11.5,52.5,214.5
2005-05-11,35.9,23,0,8.1,0,11.2,62,220
2005-05-12,35.7,21.7,0,8.5,0,11.4,43.5,185
2005-05-13,38.1,19.3,0,9,0,11.9,26,123.5
2005-05-14,37.3,16.4,0,9.8,0,11.5,24.5,112.5
2005-05-15,38.8,18.7,0,10.2,0,11.7,31.5,153
2005-05-16,39.1,20.5,0,10.6,0,11.6,34.5,166.5
2005-05-17,38.4,23.1,0,10,0,11.5,43.5,203.5
2005-05-18,38.4,22.8,0,11,0,11.7,44,181
2005-05-19,37.9,21.8,0,9.9,0,11.5,42.5,190
2005-05-20,40.7,22.5,0,9.8,0,11.2,34.5,174.5
2005-05-21,41.8,23.7,0,10.2,0,11.2,36.5,200
2005-05-22,40.8,24.8,0,12.3,0,9.7,45,210.5
2005-05-23,38.1,23.3,0,11,0,11.3,38.5,182.5
2005-05-24,39.5,23.6,0,10.7,0,11.2,40.5,206.5
2005-05-25,40.1,25.2,0,9.7,0,10.9,37,180
2005-05-26,39.4,23.9,0,10,0,11.2,50.5,227.5
2005-05-27,37.9,24.1,0,10.6,0,11.2,48.5,209
2005-05-28,37.8,24.8,0,8.2,0,11.2,44,195
2005-05-29,38,23.7,0,8.2,0,6.3,73,244
2005-05-30,38,21.3,16.1,6.6,2,10,52,212
2005-05-31,36.5,21.1,6,5.6,1,7.2,65.5,225
2005-06-01,36.4,25,0.4,6.1,0,2.8,69.5,258.5
2005-06-02,32.5,24.7,0,5,0,2.4,68.5,252.5
2005-06-03,31.4,24,0,5.2,0,9.5,63,253.5
2005-06-04,34.9,23.6,0,8.1,0,11.2,55.5,236
2005-06-05,36.2,23.3,0,8.4,0,11,52.5,229
2005-06-06,38.1,23.5,0,7.8,0,11.6,56.5,238
2005-06-07,36.9,23.8,0,9.5,0,10,54,232.5
2005-06-08,35.4,24.6,0,8.9,0,11.3,55,240
