Modal Price tomato, Date
250,2006/03/01
250,2006/03/06
250,2006/03/08
300,2006/03/10
300,2006/03/12
250,2006/03/13
250,2006/03/15
250,2006/03/17
250,2006/03/18
250,2006/03/19
350,2006/03/20
325,2006/03/21
300,2006/03/21
300,2006/03/22
350,2006/03/22
300,2006/03/23
350,2006/03/24
300,2006/03/24
350,2006/03/25
350,2006/03/27
400,2006/03/27
325,2006/03/28
350,2006/03/28
300,2006/03/29
350,2006/03/29
300,2006/03/31
275,2006/03/31
300,2006/03/31
325,2006/04/01
350,2006/04/02
300,2006/04/02
350,2006/04/03
300,2006/04/04
300,2006/04/05
300,2006/04/05
300,2006/04/06
300,2006/04/06
350,2006/04/08
300,2006/04/08
300,2006/04/09
400,2006/04/10
350,2006/04/10
350,2006/04/11
300,2006/04/11
400,2006/04/11
400,2006/04/12
400,2006/04/12
400,2006/04/12
400,2006/04/13
400,2006/04/14
325,2006/04/14
350,2006/04/14
300,2006/04/15
450,2006/04/15
400,2006/04/16
350,2006/04/16
400,2006/04/17
400,2006/04/17
450,2006/04/17
400,2006/04/18
400,2006/04/18
400,2006/04/18
400,2006/04/19
450,2006/04/19
400,2006/04/20
400,2006/04/20
400,2006/04/21
500,2006/04/21
400,2006/04/21
400,2006/04/22
400,2006/04/23
450,2006/04/23
400,2006/04/24
500,2006/04/25
430,2006/04/25
500,2006/04/26
350,2006/04/27
450,2006/04/28
350,2006/04/28
400,2006/04/28
450,2006/04/30
400,2006/04/30
450,2006/04/30
550,2006/05/01
300,2006/05/04
400,2006/05/04
600,2006/05/04
450,2006/05/05
450,2006/05/05
500,2006/05/07
500,2006/05/07
450,2006/05/07
500,2006/05/08
550,2006/05/08
700,2006/05/08
400,2006/05/09
550,2006/05/09
500,2006/05/10
550,2006/05/10
750,2006/05/11
450,2006/05/11
450,2006/05/11
450,2006/05/12
400,2006/05/12
450,2006/05/13
450,2006/05/14
450,2006/05/14
550,2006/05/14
400,2006/05/15
500,2006/05/15
650,2006/05/15
550,2006/05/16
575,2006/05/16
525,2006/05/17
650,2006/05/17
500,2006/05/17
550,2006/05/18
600,2006/05/18
550,2006/05/18
450,2006/05/19
530,2006/05/19
550,2006/05/19
600,2006/05/20
600,2006/05/20
600,2006/05/20
450,2006/05/21
650,2006/05/21
600,2006/05/21
500,2006/05/22
500,2006/05/22
700,2006/05/22
700,2006/05/23
700,2006/05/23
600,2006/05/23
600,2006/05/24
750,2006/05/25
650,2006/05/26
750,2006/05/27
800,2006/05/28
900,2006/05/29
800,2006/05/30
800,2006/05/31
750,2006/06/01
700,2006/06/02
800,2006/06/03
750,2006/06/04
950,2006/06/05
900,2006/06/06
900,2006/06/07
850,2006/06/08
750,2006/06/09
1050,2006/06/10
1300,2006/06/11
1250,2006/06/12
1500,2006/06/13
1280,2006/06/14
1050,2006/06/15
1300,2006/06/16
1100,2006/06/17
1150,2006/06/18
1000,2006/06/19
1000,2006/06/20
1000,2006/06/21
1000,2006/06/22
950,2006/06/23
1100,2006/06/24
1150,2006/06/25
750,2006/06/26
1150,2006/06/27
800,2006/06/28
900,2006/06/29
900,2006/06/30
800,2006/07/01
650,2006/07/02
650,2006/07/03
750,2006/07/04
700,2006/07/05
600,2006/07/05
650,2006/07/06
700,2006/07/06
650,2006/07/07
850,2006/07/08
700,2006/07/08
700,2006/07/09
700,2006/07/09
1050,2006/07/09
550,2006/07/10
800,2006/07/11
550,2006/07/11
800,2006/07/11
750,2006/07/12
500,2006/07/12
750,2006/07/12
600,2006/07/13
450,2006/07/14
750,2006/07/14
550,2006/07/15
500,2006/07/15
550,2006/07/15
450,2006/07/16
500,2006/07/17
450,2006/07/17
550,2006/07/17
400,2006/07/18
400,2006/07/19
350,2006/07/19
500,2006/07/19
400,2006/07/20
350,2006/07/21
300,2006/07/21
400,2006/07/21
350,2006/07/22
350,2006/07/23
300,2006/07/24
300,2006/07/24
350,2006/07/25
350,2006/07/25
350,2006/07/25
500,2006/07/27
400,2006/07/27
375,2006/07/27
400,2006/07/28
400,2006/07/29
375,2006/07/29
400,2006/07/30
500,2006/07/30
600,2006/07/31
750,2006/07/31
500,2006/07/31
450,2006/08/01
500,2006/08/01
425,2006/08/01
450,2006/08/02
380,2006/08/02
450,2006/08/02
450,2006/08/03
400,2006/08/03
500,2006/08/03
550,2006/08/04
500,2006/08/04
450,2006/08/06
500,2006/08/06
650,2006/08/07
750,2006/08/07
450,2006/08/07
600,2006/08/08
700,2006/08/09
600,2006/08/09
750,2006/08/10
800,2006/08/10
700,2006/08/10
700,2006/08/11
750,2006/08/11
600,2006/08/11
1100,2006/08/12
700,2006/08/12
700,2006/08/13
800,2006/08/14
550,2006/08/14
650,2006/08/14
700,2006/08/16
500,2006/08/16
600,2006/08/16
450,2006/08/17
650,2006/08/17
550,2006/08/18
420,2006/08/18
550,2006/08/18
400,2006/08/19
400,2006/08/19
550,2006/08/20
350,2006/08/20
450,2006/08/21
400,2006/08/21
550,2006/08/21
600,2006/08/22
450,2006/08/22
550,2006/08/22
550,2006/08/23
425,2006/08/23
550,2006/08/24
550,2006/08/24
600,2006/08/25
500,2006/08/25
450,2006/08/25
700,2006/08/28
900,2006/08/28
800,2006/08/29
700,2006/08/29
1000,2006/08/29
600,2006/08/30
650,2006/08/30
700,2006/08/31
700,2006/08/31
650,2006/09/01
700,2006/09/02
650,2006/09/03
625,2006/09/03
700,2006/09/03
850,2006/09/04
750,2006/09/04
700,2006/09/04
800,2006/09/05
650,2006/09/05
800,2006/09/06
700,2006/09/07
650,2006/09/07
800,2006/09/08
750,2006/09/08
550,2006/09/09
750,2006/09/09
800,2006/09/10
700,2006/09/10
700,2006/09/11
700,2006/09/11
900,2006/09/12
650,2006/09/12
650,2006/09/13
700,2006/09/13
1800,2006/09/13
700,2006/09/14
500,2006/09/14
700,2006/09/14
550,2006/09/15
600,2006/09/15
500,2006/09/16
700,2006/09/16
600,2006/09/18
700,2006/09/19
500,2006/09/19
650,2006/09/19
600,2006/09/20
500,2006/09/20
650,2006/09/20
500,2006/09/21
450,2006/09/21
650,2006/09/21
450,2006/09/22
450,2006/09/23
