Date,Modal.Price.bitter.guard,Modal.Price.cucumber,Modal.Price.cabbage,Modal.Price.lady,Modal.Price.potato,Modal.Price.carrot,Modal.Price.jawar,Modal.Price.tomato,Modal.Price.beetroot,Modal.Price.turmeric,Modal.Price.ginger,MAX,MIN,R.F,EVP,DR,SSH,RH,VP,petrolPrice,Modal.Price.onion
2006-03-05,1093.3333333333,588.3333333333,325,1093.3333333333,540,340.9722222222,777.4,250,250,3280,1000,34.76,16.8,0,6.18,0,8.56,46.1,149.1,49.16,264.2
2006-03-12,1095.2380952381,568.1428571429,339.2857142857,1095.2380952381,547.5,359.5238095238,796.4285714286,273.5714285714,320,3278.5714285714,1000,31.6142857143,14.4,0.5857142857,5.8285714286,0.5714285714,9.0571428571,48.5,131.8571428571,49.16,248.4285714286
2006-03-19,1060.7142857143,544.0476190476,371.4285714286,1060.7142857143,531.0714285714,395.2380952381,873,251.4285714286,264.1666666667,3321.4285714286,1000,31.6285714286,16.7285714286,0,5.7142857143,0,8.4285714286,49.3571428571,159.7142857143,49.16,240.6666666667
2006-03-26,1015.7738095238,448.0158730159,344.0476190476,1015.7738095238,548.0555555556,381.9047619048,821.4285714286,330.6547619048,313.0952380952,3300,1000,36.6714285714,17.8142857143,0,6.5428571429,0,9.5857142857,35.2142857143,135,49.16,244.2857142857
2006-04-02,932.1428571429,430.9523809524,302.380952381,932.1428571429,537.0238095238,368.8095238095,817.8571428571,327.876984127,255.4761904762,3451.4285714286,1000,36.9285714286,17.4142857143,0,7.5142857143,0,9.5285714286,35.9285714286,134.0714285714,49.16,254.8571428571
2006-04-09,992.6587301587,364.2857142857,362.5,992.6587301587,583.5119047619,350.7936507937,826.5714285714,311.9047619048,321.4285714286,3314.2857142857,1000,37.3285714286,17.8285714286,0,9.0714285714,0,10.2285714286,30.4285714286,124.7857142857,49.16,237.8333333333
2006-04-16,936.9047619048,402.380952381,347.619047619,936.9047619048,634.0476190476,394.6428571429,810.7142857143,376.1904761905,280.9523809524,3321.4285714286,1000,38.0428571429,20.4285714286,0,8.2428571429,0,9.9571428571,37.2857142857,154.5714285714,49.16,232.380952381
2006-04-23,895.2380952381,440.4761904762,397.619047619,895.2380952381,635.119047619,364.2857142857,855.7142857143,414.2857142857,350.7142857143,3157.1428571429,1000,36.0142857143,21.1714285714,0,8.8714285714,1.3285714286,8.7714285714,38.8571428571,159.3571428571,49.16,226.2142857143
2006-04-30,855.9523809524,473.4920634921,398.2142857143,855.9523809524,660.4285714286,368.5714285714,836.4285714286,425.1587301587,263.5294117647,2650,1000,36.8142857143,19.9571428571,0,7.7714285714,0,9.2714285714,39.8571428571,162.7857142857,49.16,213.2142857143
2006-05-07,942.8571428571,504.8611111111,432.1428571429,942.8571428571,801.9642857143,480.3571428571,1086.4285714286,479.3650793651,422.2222222222,3264.2857142857,1000,39.3142857143,23.7285714286,0,9.4,0,9.7714285714,41,188,49.16,224.2857142857
2006-05-14,782.1428571429,610.119047619,430,782.1428571429,817.8571428571,697.619047619,875,498.8095238095,402.380952381,3207.1428571429,985.7142857143,39.0571428571,22.6142857143,0,10.3285714286,0,10.3142857143,32.0714285714,147.5,49.16,218.5317460317
2006-05-21,854.7619047619,644.0476190476,461.5476190476,854.7619047619,835.7142857143,573.2142857143,882.2857142857,554.4047619048,327.1428571429,3271.4285714286,857.1428571429,36.6571428571,23.2857142857,0,8.7285714286,0,8.7428571429,47.7857142857,200.8571428571,49.16,252.9404761905
2006-05-28,921.4285714286,630.9523809524,485.7142857143,921.4285714286,868.4523809524,603.5714285714,857.1428571429,683.3333333333,382.1428571429,3292.8571428571,885.7142857143,35.1857142857,24.2142857143,0.2571428571,8.9428571429,0.1428571429,7.0142857143,58.9285714286,238.4285714286,49.16,241.380952381
2006-06-04,807.1428571429,657.1428571429,457.1428571429,807.1428571429,869.2857142857,542.8571428571,867.8571428571,785.7142857143,358.3333333333,3250,900,29.5,22.5428571429,11.5571428571,4.0428571429,2.7142857143,1.4,77.1428571429,257.9285714286,49.16,257.3015873016
2006-06-11,900,678.5714285714,471.4285714286,900,859.5714285714,692.8571428571,860.5714285714,957.1428571429,407.7380952381,3250,907.1428571429,31.9714285714,23,0,6.8857142857,0,9.4,64.2857142857,240.4285714286,53.5,312.35410831
2006-06-18,928.5714285714,655.9523809524,457.1428571429,928.5714285714,872.380952381,636.9047619048,867.8571428571,1232.8571428571,376.7857142857,3132.1428571429,950,33.4285714286,23.3,3.0285714286,6.6857142857,0.7142857143,7.2857142857,69.5714285714,253.5,53.5,278.5119047619
2006-06-25,957.1428571429,376.1904761905,407.1428571429,957.1428571429,873.5714285714,557.1428571429,876.7142857143,1028.5714285714,466.6666666667,3471.4285714286,950,32.4428571429,22.7714285714,11,4.4,1.1428571429,5.1714285714,76.6428571429,266.0714285714,52.8228571429,325.119047619
2006-07-02,1000,421.4285714286,357.8571428571,1000,823.9285714286,457.1428571429,835.7142857143,850,441.6666666667,3232.1428571429,3250,28.3571428571,23.2142857143,14.8,2.9428571429,4.2857142857,0.7714285714,88.8571428571,277.5,52.71,286.9318394024
2006-07-09,964.2857142857,476.1904761905,448.8095238095,964.2857142857,891.4285714286,597.619047619,826.5714285714,709.5238095238,452.380952381,3185.7142857143,1750,26.2571428571,22.5285714286,19.6285714286,2.8428571429,8.7142857143,2.5714285714,89.4285714286,267,52.71,288
2006-07-16,1094.0476190476,617.8571428571,563.0952380952,1094.0476190476,867.380952381,608.3333333333,851.5714285714,588.0952380952,526.7857142857,3200,1150,27.6428571429,22.7,2.1142857143,3.2428571429,0.1428571429,2.8714285714,81.7142857143,257.9285714286,52.71,304.0238095238
