Date,PetrolPrice,Min.Price.onion,Max.Price.onion,Modal.Price.onion,Min.Price.beetroot,Max.Price.beetroot,Modal.Price.beetroot,Min.Price.apple,Max.Price.apple,Modal.Price.apple,Min.Price.potato,Max.Price.potato,Modal.Price.potato,Min.Price.redchili,Max.Price.redchili,Modal.Price.redchili,Min.Price.soyabean,Max.Price.soyabean,Modal.Price.soyabean,MAX,MIN,R.F,EVP,DR,NRF,SSH,...SLP,..MSLP,..DBT,..WBT,..DPT,.RH,..VP,DD,FFF,AW,VV,Cl,A,Cm,A.1,Ch,A.2,Dl,Dm,Dh,TC,h,c,a,Ht
2005-01-01,43.23,412.5,450,430,366.6666666667,416.6666666667,391.6666666667,250,350,300,300,400,350,1100,3100,2100,1161,1303,1230,303.7,287.7,0,32400,9,0,0,981,1016.9,292,288,284.8,6300,13800,0,0,2,95,0,0,3,3,1,2,0,9,9,5,9,3,3,60
2005-01-02,43.23,395.4545454545,450,424.4545454545,366.6666666667,416.6666666667,391.6666666667,250,350,300,268.1818181818,381.8181818182,325,1100,3100,2100,1143,1306,1215,303.7,290.1,0,0,0,0,0,980.4,1016,293.2,290.6,288.9,7600,18100,9,6000,1,94,5,2,2,2,3,3,1,1,9,9,9,6,3,24
2005-01-03,43.23,387.5,437.5,412.5,366.6666666667,416.6666666667,391.6666666667,250,350,300,250,350,300,1100,3100,2100,1125,1309,1200,298.5,289.7,0,3600,1,5,28800,980.3,1015.9,293.4,291,289.4,7800,18600,9,4000,1,94,0,0,0,0,0,0,0,0,0,0,9,0,0,99
2005-01-04,43.23,400,487.5,456,366.6666666667,416.6666666667,391.6666666667,250,350,300,250,400,325,1200,3150,2100,1150,1306,1225,304,290.2,0,0,0,0,30240,983.2,1019.1,293.4,290.6,288.7,7400,17800,7,14000,3,94,0,0,0,0,0,0,0,0,0,0,9,0,0,99
2005-01-05,43.23,350,425,387,366.6666666667,416.6666666667,391.6666666667,250,350,300,250,400,325,1300,3200,2100,1130,1282,1212.5,304.1,288.6,0,0,0,0,29520,982.7,1008.6,291.8,289,286.9,7300,15900,0,0,2,95,0,0,0,0,0,0,0,0,0,0,9,0,0,99
2005-01-06,43.23,387.5,425,406,366.6666666667,416.6666666667,391.6666666667,250,350,300,250,400,325,1300,3200,2100,1110,1258,1200,304.1,288.5,0,0,0,0,30960,981.1,1016.9,292.2,288.6,285.8,6700,14800,2,8000,2,95,0,0,0,0,0,0,0,0,0,0,9,0,0,99
2005-01-07,43.23,361.4583333333,414.5833333333,388.6666666667,366.6666666667,416.6666666667,391.6666666667,250,350,300,258.3333333333,412.5,339.5833333333,1300,3200,2100,1100,1270,1185,304.2,288.5,0,0,0,0,29160,981.1,1016.9,292.4,289.2,286.8,7000,15800,5,12000,2,95,0,0,0,0,1,1,0,0,0,1,9,0,1,25
2005-01-08,43.23,337.5,387.5,362,366.6666666667,416.6666666667,391.6666666667,250,350,300,250,425,350,1300,3200,2250,1111,1281,1195,304.1,286.8,0,0,0,0,33480,982,1018.1,289.8,285.8,282.1,6100,11500,2,12000,3,94,0,0,0,0,0,0,0,0,0,0,9,0,0,99
2005-01-09,43.23,341.6666666667,392.7083333333,366.7083333333,366.6666666667,416.6666666667,391.6666666667,250,350,300,308.3333333333,434.3333333333,375.8333333333,1300,3200,2250,1130.5,1284,1207.5,302.2,284.4,0,0,0,0,34560,980.7,1016.7,289.6,284.8,280,5300,10000,0,0,3,95,0,0,0,0,0,0,0,0,0,0,9,0,0,99
2005-01-10,43.23,337.5,387.5,362,366.6666666667,416.6666666667,391.6666666667,250,350,300,350,450,400,1300,3200,2250,1150,1287,1220,303.2,285.1,0,0,0,0,34920,976.5,1016.5,290.6,285.6,280.8,5300,10600,0,0,2,95,0,0,0,0,0,0,0,0,0,0,9,0,0,99
2005-01-11,43.23,337.5,387.5,362,366.6666666667,416.6666666667,391.6666666667,250,350,300,350,450,400,1200,2700,1950,1011,1286,1188,303.7,286.3,0,0,0,0,34920,977.6,1013.5,290.4,285.6,281,5400,10700,32,10000,4,95,0,0,0,0,0,0,0,0,0,0,9,0,0,99
2005-01-12,43.23,337.5,412.5,374.5,366.6666666667,416.6666666667,391.6666666667,250,350,300,350,412,385,1200,2700,1950,1111,1299,1200,301.7,285.2,0,0,0,9.6,0,982.3,1018.4,289.8,285.8,282.1,6100,11500,36,12000,3,95,0,0,0,0,0,0,0,0,0,0,9,0,0,99
2005-01-13,43.23,337.5,375,356,366.6666666667,416.6666666667,391.6666666667,250,350,300,250,400,325,1200,2700,1950,1125,1294,1200,301.5,284.4,0,0,0,0,34920,981.6,1018,288,284.6,280.8,6400,10600,36,6000,2,95,0,0,0,0,0,0,0,0,0,0,9,0,0,99
