Min Price apple,Max Price apple,Modal Price apple,Price Date
250,350,300,2005/01/01
250,350,300,2005/01/03
250,350,300,2005/01/04
250,350,300,2005/01/05
250,350,300,2005/01/06
250,350,300,2005/01/07
250,350,300,2005/01/08
250,350,300,2005/01/10
250,350,300,2005/01/11
250,350,300,2005/01/12
250,350,300,2005/01/13
250,350,300,2005/01/14
250,350,300,2005/01/15
250,350,300,2005/01/17
250,350,300,2005/01/18
250,350,300,2005/01/19
250,350,300,2005/01/20
250,350,300,2005/01/21
250,350,300,2005/01/22
250,350,300,2005/01/24
250,350,300,2005/01/25
250,350,300,2005/01/27
250,350,300,2005/01/28
250,350,300,2005/01/29
250,350,300,2005/01/31
250,350,300,2005/02/01
250,350,300,2005/02/03
250,350,300,2005/02/04
250,350,300,2005/02/05
2500,3500,3000,2005/02/07
2000,2500,2250,2005/02/08
2200,3000,2600,2005/02/09
2200,2800,2500,2005/02/10
2600,3000,2800,2005/02/11
2000,2400,2200,2005/02/12
1700,2300,2000,2005/02/14
1800,3200,2500,2005/02/15
2000,3200,2600,2005/02/16
2000,4000,3000,2005/02/17
2200,3000,2600,2005/02/18
2200,3200,2700,2005/02/19
2200,3100,2650,2005/02/21
2200,3000,2600,2005/02/22
2000,2400,2200,2005/02/23
3000,3800,3400,2005/02/24
1800,2400,2100,2005/02/25
2000,3200,2600,2005/02/26
2000,3200,2600,2005/02/28
2000,3000,2500,2005/03/01
2000,3000,2500,2005/03/02
2400,3000,2700,2005/03/03
2000,2800,2400,2005/03/04
3000,4000,3500,2005/03/05
2500,3700,3000,2005/03/07
2400,3200,2600,2005/03/08
2000,3400,2600,2005/03/09
1800,3400,2600,2005/03/10
2000,3000,2500,2005/03/11
2000,4100,3100,2005/03/12
2000,3000,2500,2005/03/14
2000,3400,2700,2005/03/15
2000,3000,2500,2005/03/16
1800,3200,2500,2005/03/17
2200,3200,2700,2005/03/18
2000,4000,3000,2005/03/19
2200,3200,2700,2005/03/21
2000,3200,2600,2005/03/22
3500,6000,4750,2005/03/23
3000,6500,4750,2005/03/24
3500,6000,4750,2005/03/25
3000,6000,4500,2005/03/28
3000,6000,4500,2005/03/29
3000,6000,4500,2005/03/30
3000,6000,4500,2005/03/31
3000,6000,4500,2005/04/01
3000,6000,4500,2005/04/02
3000,6000,4500,2005/04/04
3000,6000,4500,2005/04/05
3000,6000,4500,2005/04/06
3000,6000,4500,2005/04/07
2000,6000,4000,2005/04/08
3000,6000,4500,2005/04/09
3000,6000,4500,2005/04/11
3000,6000,4500,2005/04/12
1500,3000,2250,2005/04/13
3000,6000,4500,2005/04/15
2000,6000,4500,2005/04/18
3000,6000,4500,2005/04/19
3200,6200,4700,2005/04/20
3000,6000,4500,2005/04/21
2000,5000,3500,2005/04/22
2500,6000,4750,2005/04/23
2000,5000,3500,2005/04/25
3000,5000,4000,2005/04/26
3000,5000,4000,2005/04/27
2000,4000,3000,2005/04/28
3000,5000,4000,2005/04/30
3000,5000,4000,2005/05/02
3000,5000,4000,2005/05/03
3000,5000,4000,2005/05/04
2000,6000,4000,2005/05/05
3000,6000,4500,2005/05/06
3000,6000,4500,2005/05/07
3000,6000,4500,2005/05/09
3000,5000,4000,2005/05/10
3000,5000,4000,2005/05/11
2500,5000,3750,2005/05/12
3000,5000,4000,2005/05/13
3000,6000,4500,2005/05/14
3000,6000,4500,2005/05/16
3000,6000,4500,2005/05/17
3000,6000,4500,2005/05/18
3000,6000,4500,2005/05/19
3000,6000,4500,2005/05/20
3000,6000,4500,2005/05/21
3000,6000,4500,2005/05/23
3000,6000,4500,2005/05/24
3000,6000,4500,2005/05/25
3000,6000,4500,2005/05/26
3500,6000,4750,2005/05/27
3000,6000,4500,2005/05/28
3000,6000,4500,2005/05/30
3000,6000,4500,2005/05/31
2500,5500,4000,2005/06/01
3500,6500,5000,2005/06/02
3000,6000,4500,2005/06/03
3500,6500,5000,2005/06/04
3500,6500,5000,2005/06/06
3000,6000,4500,2005/06/07
3000,6500,4750,2005/06/08
3500,6500,5000,2005/06/09
3000,6500,4750,2005/06/10
3000,6000,4500,2005/06/11
3000,6000,4500,2005/06/13
3000,6000,4500,2005/06/14
3000,6000,4500,2005/06/15
3000,7000,5000,2005/06/16
3000,6000,4500,2005/06/17
3000,7000,4750,2005/06/18
3000,7000,4750,2005/06/20
3000,7000,4750,2005/06/21
3000,7000,4750,2005/06/22
3000,7000,5000,2005/06/23
3000,7000,5000,2005/06/24
3000,7000,5000,2005/06/25
3000,7000,5000,2005/06/27
4000,7000,5500,2005/06/28
4000,7000,5500,2005/06/29
4000,7000,5500,2005/06/30
3000,6000,4500,2005/07/01
3000,6000,4500,2005/07/02
3000,6000,4500,2005/07/04
3000,6000,4500,2005/07/05
3000,6000,4500,2005/07/06
3000,6000,4500,2005/07/07
3000,6000,4500,2005/07/08
3000,6000,4500,2005/07/09
3000,6000,4500,2005/07/11
3000,6000,4500,2005/07/12
3000,6000,4500,2005/07/13
3000,6000,4500,2005/07/14
2000,4200,3100,2005/07/16
