Min Price banana,Max Price banana,Modal Price banana,Price Date
210,210,210,2005/01/01
210,210,210,2005/01/03
210,210,210,2005/01/04
210,210,210,2005/01/05
210,210,210,2005/01/06
210,210,210,2005/01/07
210,210,210,2005/01/08
210,210,210,2005/01/10
210,210,210,2005/01/11
210,210,210,2005/01/12
210,210,210,2005/01/13
210,210,210,2005/01/14
210,210,210,2005/01/15
210,210,210,2005/01/17
210,210,210,2005/01/18
210,210,210,2005/01/19
210,210,210,2005/01/20
210,210,210,2005/01/21
210,210,210,2005/01/22
210,210,210,2005/01/24
210,210,210,2005/01/25
210,210,210,2005/01/27
210,210,210,2005/01/28
210,210,210,2005/01/29
210,210,210,2005/01/31
210,210,210,2005/02/01
210,210,210,2005/02/03
210,210,210,2005/02/04
210,210,210,2005/02/05
210,210,210,2005/02/07
210,210,210,2005/02/08
210,210,210,2005/02/09
210,210,210,2005/02/10
210,210,210,2005/02/11
210,210,210,2005/02/12
210,210,210,2005/02/14
210,210,210,2005/02/15
210,210,210,2005/02/16
210,210,210,2005/02/17
210,210,210,2005/02/18
210,210,210,2005/02/19
210,210,210,2005/02/21
210,210,210,2005/02/22
210,210,210,2005/02/23
210,210,210,2005/02/24
210,210,210,2005/02/25
210,210,210,2005/02/26
210,210,210,2005/02/28
210,210,210,2005/03/01
210,210,210,2005/03/02
210,210,210,2005/03/03
210,210,210,2005/03/04
210,210,210,2005/03/05
210,210,210,2005/03/07
210,210,210,2005/03/08
210,210,210,2005/03/09
210,210,210,2005/03/10
210,210,210,2005/03/11
210,210,210,2005/03/12
210,210,210,2005/03/14
210,210,210,2005/03/15
210,210,210,2005/03/16
210,210,210,2005/03/17
210,210,210,2005/03/18
210,210,210,2005/03/19
210,210,210,2005/03/21
210,210,210,2005/03/22
210,210,210,2005/03/23
210,210,210,2005/03/24
210,210,210,2005/03/25
210,210,210,2005/03/28
210,210,210,2005/03/29
210,210,210,2005/03/30
210,210,210,2005/03/31
210,210,210,2005/04/01
210,210,210,2005/04/02
210,210,210,2005/04/04
210,210,210,2005/04/05
210,210,210,2005/04/06
210,210,210,2005/04/07
210,210,210,2005/04/08
210,210,210,2005/04/09
210,210,210,2005/04/11
210,210,210,2005/04/12
210,210,210,2005/04/13
210,210,210,2005/04/15
210,210,210,2005/04/18
210,210,210,2005/04/19
210,210,210,2005/04/21
210,210,210,2005/04/22
210,210,210,2005/04/23
210,210,210,2005/04/25
210,210,210,2005/04/26
210,210,210,2005/04/27
210,210,210,2005/04/28
210,210,210,2005/04/29
210,210,210,2005/04/30
210,210,210,2005/05/02
210,210,210,2005/05/03
210,210,210,2005/05/04
210,210,210,2005/05/05
210,210,210,2005/05/06
210,210,210,2005/05/07
210,210,210,2005/05/09
210,210,210,2005/05/10
210,210,210,2005/05/11
210,210,210,2005/05/12
210,210,210,2005/05/13
210,210,210,2005/05/14
210,210,210,2005/05/16
210,210,210,2005/05/17
210,210,210,2005/05/18
210,210,210,2005/05/19
210,210,210,2005/05/20
210,210,210,2005/05/21
210,210,210,2005/05/23
210,210,210,2005/05/24
210,210,210,2005/05/25
210,210,210,2005/05/26
210,210,210,2005/05/27
210,210,210,2005/05/28
210,210,210,2005/05/30
210,210,210,2005/05/31
210,210,210,2005/06/01
210,210,210,2005/06/02
210,210,210,2005/06/03
210,210,210,2005/06/04
210,210,210,2005/06/06
210,210,210,2005/06/07
210,210,210,2005/06/08
210,210,210,2005/06/09
210,210,210,2005/06/10
210,210,210,2005/06/11
210,210,210,2005/06/13
210,210,210,2005/06/14
210,210,210,2005/06/15
210,210,210,2005/06/16
210,210,210,2005/06/17
210,210,210,2005/06/18
210,210,210,2005/06/20
210,210,210,2005/06/21
210,210,210,2005/06/22
210,210,210,2005/06/23
210,210,210,2005/06/24
210,210,210,2005/06/25
210,210,210,2005/06/27
210,210,210,2005/06/28
210,210,210,2005/06/29
210,210,210,2005/06/30
210,210,210,2005/07/01
210,210,210,2005/07/02
210,210,210,2005/07/04
1300,1800,1550,2005/07/05
210,210,210,2005/07/06
210,210,210,2005/07/07
210,210,210,2005/07/08
210,210,210,2005/07/09
210,210,210,2005/07/11
210,210,210,2005/07/12
210,210,210,2005/07/13
210,210,210,2005/07/14
210,210,210,2005/07/16
210,210,210,2005/07/18
210,210,210,2005/07/19
210,210,210,2005/07/20
210,210,210,2005/07/21
210,210,210,2005/07/22
210,210,210,2005/07/23
210,210,210,2005/07/25
210,210,210,2005/07/26
210,210,210,2005/07/27
210,210,210,2005/07/28
210,210,210,2005/07/29
210,210,210,2005/07/30
210,210,210,2005/08/01
210,210,210,2005/08/02
210,210,210,2005/08/04
210,210,210,2005/08/05
210,210,210,2005/08/06
210,210,210,2005/08/08
210,210,210,2005/08/09
210,210,210,2005/08/11
210,210,210,2005/08/12
210,210,210,2005/08/13
210,210,210,2005/08/16
210,210,210,2005/08/17
210,210,210,2005/08/18
210,210,210,2005/08/19
210,210,210,2005/08/20
210,210,210,2005/08/22
210,210,210,2005/08/23
210,210,210,2005/08/24
210,210,210,2005/08/25
210,210,210,2005/08/26
210,210,210,2005/08/27
210,210,210,2005/08/29
210,210,210,2005/08/30
210,210,210,2005/08/31
210,210,210,2005/09/01
210,210,210,2005/09/02
210,210,210,2005/09/03
210,210,210,2005/09/05
210,210,210,2005/09/06
210,210,210,2005/09/07
210,210,210,2005/09/08
210,210,210,2005/09/09
210,210,210,2005/09/10
