"","Date","PetrolPrice"
"973",2005-01-01,43.23
"974",2005-01-02,43.23
"975",2005-01-03,43.23
"976",2005-01-04,43.23
"977",2005-01-05,43.23
"978",2005-01-06,43.23
"979",2005-01-07,43.23
"980",2005-01-08,43.23
"981",2005-01-09,43.23
"982",2005-01-10,43.23
"983",2005-01-11,43.23
"984",2005-01-12,43.23
"985",2005-01-13,43.23
"986",2005-01-14,43.23
"987",2005-01-15,43.23
"988",2005-01-16,43.23
"989",2005-01-17,43.23
"990",2005-01-18,43.23
"991",2005-01-19,43.23
"992",2005-01-20,43.23
"993",2005-01-21,43.23
"994",2005-01-22,43.23
"995",2005-01-23,43.23
"996",2005-01-24,43.23
"997",2005-01-25,43.23
"998",2005-01-26,43.23
"999",2005-01-27,43.23
"1000",2005-01-28,43.23
"1001",2005-01-29,43.23
"1002",2005-01-30,43.23
"1003",2005-01-31,43.23
"1004",2005-02-01,43.23
"1005",2005-02-02,43.23
"1006",2005-02-03,43.23
"1007",2005-02-04,43.23
"1008",2005-02-05,43.23
"1009",2005-02-06,43.23
"1010",2005-02-07,43.23
"1011",2005-02-08,43.23
"1012",2005-02-09,43.23
"1013",2005-02-10,43.23
"1014",2005-02-11,43.23
"1015",2005-02-12,43.23
"1016",2005-02-13,43.23
"1017",2005-02-14,43.23
"1018",2005-02-15,43.23
"1019",2005-02-16,43.23
"1020",2005-02-17,43.23
"1021",2005-02-18,43.23
"1022",2005-02-19,43.23
"1023",2005-02-20,43.23
"1024",2005-02-21,43.23
"1025",2005-02-22,43.23
"1026",2005-02-23,43.23
"1027",2005-02-24,43.23
"1028",2005-02-25,43.23
"1029",2005-02-26,43.23
"1030",2005-02-27,43.23
"1031",2005-02-28,43.23
"1032",2005-03-01,43.23
"1033",2005-03-02,43.23
"1034",2005-03-03,43.23
"1035",2005-03-04,43.23
"1036",2005-03-05,43.23
"1037",2005-03-06,43.23
"1038",2005-03-07,43.23
"1039",2005-03-08,43.23
"1040",2005-03-09,43.23
"1041",2005-03-10,43.23
"1042",2005-03-11,43.23
"1043",2005-03-12,43.23
"1044",2005-03-13,43.23
"1045",2005-03-14,43.23
"1046",2005-03-15,43.23
"1047",2005-03-16,43.23
"1048",2005-03-17,43.23
"1049",2005-03-18,43.23
"1050",2005-03-19,43.23
"1051",2005-03-20,43.23
"1052",2005-03-21,43.23
"1053",2005-03-22,43.23
"1054",2005-03-23,43.23
"1055",2005-03-24,43.23
"1056",2005-03-25,43.23
"1057",2005-03-26,43.23
"1058",2005-03-27,43.23
"1059",2005-03-28,43.23
"1060",2005-03-29,43.23
"1061",2005-03-30,43.23
"1062",2005-03-31,43.23
"1063",2005-04-01,43.23
"1064",2005-04-01,43.23
"1065",2005-04-02,43.23
"1066",2005-04-03,43.23
"1067",2005-04-04,43.23
"1068",2005-04-05,43.23
"1069",2005-04-05,43.23
"1070",2005-04-06,43.23
"1071",2005-04-07,43.23
"1072",2005-04-08,43.23
"1073",2005-04-09,43.23
"1074",2005-04-10,43.23
"1075",2005-04-11,43.23
"1076",2005-04-12,43.23
"1077",2005-04-13,43.23
"1078",2005-04-14,43.23
"1079",2005-04-15,43.23
"1080",2005-04-16,43.23
"1081",2005-04-17,43.23
"1082",2005-04-18,43.23
"1083",2005-04-19,43.23
"1084",2005-04-20,43.23
"1085",2005-04-21,43.23
"1086",2005-04-22,43.23
"1087",2005-04-23,43.23
"1088",2005-04-24,43.23
"1089",2005-04-25,43.23
"1090",2005-04-26,43.23
"1091",2005-04-27,43.23
"1092",2005-04-28,43.23
"1093",2005-04-29,43.23
"1094",2005-04-30,43.23
"1095",2005-05-01,43.23
"1096",2005-05-02,43.23
"1097",2005-05-03,43.23
"1098",2005-05-04,43.23
"1099",2005-05-05,43.23
"1100",2005-05-06,43.23
"1101",2005-05-07,43.23
"1102",2005-05-08,43.23
"1103",2005-05-09,43.23
"1104",2005-05-10,43.23
"1105",2005-05-11,43.23
"1106",2005-05-12,43.23
"1107",2005-05-13,43.23
"1108",2005-05-14,43.23
"1109",2005-05-15,43.23
"1110",2005-05-16,43.23
"1111",2005-05-17,43.23
"1112",2005-05-18,43.23
"1113",2005-05-19,43.23
"1114",2005-05-20,43.23
"1115",2005-05-21,43.23
"1116",2005-05-22,43.23
"1117",2005-05-23,43.23
"1118",2005-05-24,43.23
"1119",2005-05-25,43.23
"1120",2005-05-26,43.23
"1121",2005-05-27,43.23
"1122",2005-05-28,43.23
"1123",2005-05-29,43.23
"1124",2005-05-30,43.23
"1125",2005-05-31,43.23
"1126",2005-06-01,43.23
"1127",2005-06-02,43.23
"1128",2005-06-03,43.23
"1129",2005-06-04,43.23
"1130",2005-06-05,43.23
"1131",2005-06-06,43.23
"1132",2005-06-07,43.23
"1133",2005-06-08,43.23
"1134",2005-06-09,43.23
"1135",2005-06-10,43.23
"1136",2005-06-11,43.23
"1137",2005-06-12,43.23
"1138",2005-06-13,43.23
"1139",2005-06-14,43.23
"1140",2005-06-15,43.23
"1141",2005-06-16,43.23
"1142",2005-06-17,43.23
"1143",2005-06-18,43.23
"1144",2005-06-19,43.23
"1145",2005-06-20,45.93
"1146",2005-06-20,45.93
"1147",2005-06-21,45.93
"1148",2005-06-22,45.93
"1149",2005-06-23,45.93
"1150",2005-06-24,45.93
"1151",2005-06-25,45.93
"1152",2005-06-26,45.93
"1153",2005-06-27,45.93
"1154",2005-06-28,45.93
"1155",2005-06-29,45.93
"1156",2005-06-30,45.93
"1157",2005-07-01,45.93
"1158",2005-07-02,45.93
"1159",2005-07-03,45.93
"1160",2005-07-04,45.93
"1161",2005-07-05,45.93
"1162",2005-07-06,45.93
"1163",2005-07-07,45.93
"1164",2005-07-08,45.93
"1165",2005-07-09,45.93
"1166",2005-07-10,45.93
"1167",2005-07-11,45.93
"1168",2005-07-12,45.93
"1169",2005-07-13,45.93
"1170",2005-07-14,45.93
"1171",2005-07-15,45.93
"1172",2005-07-16,45.93
"1173",2005-07-17,45.93
"1174",2005-07-18,45.93
