"Modal.Price.Onion.Pune" "Min.Price.Onion.Jalgaon" "Max.Price.onion.Jalgaon" "Modal.Price.onion.Jalgaon" "Min.Price.Onion.Pune" "Max.Price.Onion.Pune"
370 2005-01-01 325 239.883720930233 253.333333333333 486.666666666667
370 2005-01-02 325 239.883720930233 253.333333333333 486.666666666667
330 2005-01-03 325 240 230 430
450 2005-01-04 325 239.545454545455 300 600
300 2005-01-05 325 238.333333333333 100 500
300 2005-01-06 325 235 150 450
370 2005-01-07 318.75 228.75 200 550
365 2005-01-08 316.666666666667 225 208.333333333333 526.666666666667
410 2005-01-09 316.666666666667 225 250 575
330 2005-01-10 325 225 200 460
360 2005-01-11 300 225 200 520
370 2005-01-12 300 225 200 460
360 2005-01-13 310 210 200 520
287.5 2005-01-14 325 250 150 400
364.166666666667 2005-01-15 325 250 233.333333333333 468.333333333333
400 2005-01-16 317.5 245 300 480
450 2005-01-17 310 240 300 530
342.5 2005-01-18 325 225 150 435
311.666666666667 2005-01-19 325 240 150 483.333333333333
330 2005-01-20 300 210 225 435
342.5 2005-01-21 290 210 175 475.5
375 2005-01-22 305 220 275 447.5
295 2005-01-23 302.5 215 200 431.666666666667
355 2005-01-24 300 210 250 450
387.5 2005-01-25 275 200 225 437.5
317 2005-01-26 275 200 200 415
350 2005-01-27 275 200 250 450
260 2005-01-28 310 210 175 425
335 2005-01-29 290 200 233.333333333333 396.666666666667
300 2005-01-30 303.75 202.5 200 400
360 2005-01-31 331.25 205 300 420
350 2005-02-01 325 200 250 400
340 2005-02-02 385 220 250 400
280 2005-02-03 350 210 160 410
280 2005-02-04 300 250 100 485
287.5 2005-02-05 300 250 150 362.5
350 2005-02-06 300 250 290 410
300 2005-02-07 300 250 250 350
312.5 2005-02-08 306.25 237.5 225 450
360 2005-02-09 316.666666666667 216.666666666667 300 420
360 2005-02-10 320 202 300 420
250 2005-02-11 320 202 200 300
366.666666666667 2005-02-12 325 200 283.333333333333 450.333333333333
328.472222222222 2005-02-13 312.5 205 236.111111111111 420.944444444444
325 2005-02-14 300 210 200 450
337.5 2005-02-15 325 200 250 425
300 2005-02-16 340 200 150 416.666666666667
225 2005-02-17 330 200 150 400
250 2005-02-18 325 210 100 409
254.722222222222 2005-02-19 332.5 207.5 145.833333333333 383.111111111111
256.666666666667 2005-02-20 337.5 212.5 150 360.333333333333
290 2005-02-21 350 210 225 360
261.111111111111 2005-02-22 325 220 166.666666666667 352.555555555556
230 2005-02-23 400 210 100 342.5
270 2005-02-24 375 220 200 350
225 2005-02-25 285 200 100 350
300 2005-02-26 335 210 187.5 367.5
280 2005-02-27 317.5 205 220 350
265 2005-02-28 300 200 200 335
266.666666666667 2005-03-01 350 210 183.333333333333 340
225 2005-03-02 300 210 100 350
237.5 2005-03-03 275 200 150 325
242.5 2005-03-04 260 200 125 360
291.666666666667 2005-03-05 350 220 213.333333333333 350.333333333333
275.277777777778 2005-03-06 325 215 183.888888888889 353.555555555556
270.833333333333 2005-03-07 300 210 156.666666666667 350.166666666667
