"x" "Min.Price.orange" "Max.Price.orange" "Modal.Price.orange" "Min.Price.onion" "Max.Price.onion" "Modal.Price.onion" "Min.Price.beetroot" "Max.Price.beetroot" "Modal.Price.beetroot" "Min.Price.banana" "Max.Price.banana" "Modal.Price.banana" "Min.Price.apple" "Max.Price.apple" "Modal.Price.apple" "Min.Price.potato" "Max.Price.potato" "Modal.Price.potato" "Min.Price.redchili" "Max.Price.redchili" "Modal.Price.redchili" "Min.Price.soyabean" "Max.Price.soyabean" "Modal.Price.soyabean" "MAX" "MIN" "R.F" "EVP" "DR." "NRF" "SSH" "...SLP" "..MSLP" "..DBT" "..WBT" "..DPT" ".RH" "..VP" "DD" "FFF" "AW" "VV" "Ht" "MI" "DPT"
43.23 2005-01-01 1500 1300 412.5 450 430 366.666666666667 416.666666666667 391.666666666667 210 210 210 250 350 300 300 400 350 1100 3100 2100 1161 1303 1230 303.7 14.7 0 5400 1028.57142857143 0 0 981 1016.9 292 288 11.8 6300 13800 0 0 2 95 60 287.7 284.8
43.23 2005-01-02 1500 1300 395.454545454545 450 424.454545454545 366.666666666667 416.666666666667 391.666666666667 210 210 210 250 350 300 268.181818181818 381.818181818182 325 1100 3100 2100 1143 1306 1215 303.7 17.1 0 4900 0 0 0 980.4 1016 293.2 290.6 15.9 7600 18100 9 6000 1 94 24 290.1 288.9
43.23 2005-01-03 1500 1300 387.5 437.5 412.5 366.666666666667 416.666666666667 391.666666666667 210 210 210 250 350 300 250 350 300 1100 3100 2100 1125 1309 1200 298.5 16.7 0 3500 3600 5 28800 980.3 1015.9 293.4 291 16.4 7800 18600 9 4000 1 94 99 289.7 289.4
43.23 2005-01-04 1400 1250 400 487.5 456 366.666666666667 416.666666666667 391.666666666667 210 210 210 250 350 300 250 400 325 1200 3150 2100 1150 1306 1225 304 17.2 0 4400 0 0 30240 983.2 1019.1 293.4 290.6 15.7 7400 17800 7 14000 3 94 99 290.2 288.7
43.23 2005-01-05 1500 1300 350 425 387 366.666666666667 416.666666666667 391.666666666667 210 210 210 250 350 300 250 400 325 1300 3200 2100 1130 1282 1212.5 304.1 15.6 0 4800 0 0 29520 982.7 1008.6 291.8 289 13.9 7300 15900 0 0 2 95 99 288.6 286.9
43.23 2005-01-06 1600 1400 387.5 425 406 366.666666666667 416.666666666667 391.666666666667 210 210 210 250 350 300 250 400 325 1300 3200 2100 1110 1258 1200 304.1 15.5 0 4900 0 0 30960 981.1 1016.9 292.2 288.6 12.8 6700 14800 2 8000 2 95 99 288.5 285.8
43.23 2005-01-07 1600 1400 361.458333333333 414.583333333333 388.666666666667 366.666666666667 416.666666666667 391.666666666667 210 210 210 250 350 300 258.333333333333 412.5 339.583333333333 1300 3200 2100 1100 1270 1185 304.2 15.5 0 4500 0 0 29160 981.1 1016.9 292.4 289.2 13.8 7000 15800 5 12000 2 95 25 288.5 286.8
43.23 2005-01-08 1500 1300 337.5 387.5 362 366.666666666667 416.666666666667 391.666666666667 210 210 210 250 350 300 250 425 350 1300 3200 2250 1111 1281 1195 304.1 13.8 0 4800 0 0 33480 982 1018.1 289.8 285.8 9.1 6100 11500 2 12000 3 94 99 286.8 282.1
43.23 2005-01-09 1800 1525 341.666666666667 392.708333333333 366.708333333333 366.666666666667 416.666666666667 391.666666666667 210 210 210 250 350 300 308.333333333333 434.333333333333 375.833333333333 1300 3200 2250 1130.5 1284 1207.5 302.2 11.4 0 3900 0 0 34560 980.7 1016.7 289.6 284.8 7 5300 10000 0 0 3 95 99 284.4 280
43.23 2005-01-10 2100 1750 337.5 387.5 362 366.666666666667 416.666666666667 391.666666666667 210 210 210 250 350 300 350 450 400 1300 3200 2250 1150 1287 1220 303.2 12.1 0 4200 0 0 34920 976.5 1016.5 290.6 285.6 7.8 5300 10600 0 0 2 95 99 285.1 280.8
43.23 2005-01-11 1700 1000 337.5 387.5 362 366.666666666667 416.666666666667 391.666666666667 210 210 210 250 350 300 350 450 400 1200 2700 1950 1011 1286 1188 303.7 13.3 0 4200 0 0 34920 977.6 1013.5 290.4 285.6 8 5400 10700 32 10000 4 95 99 286.3 281
43.23 2005-01-12 1500 1350 337.5 412.5 374.5 366.666666666667 416.666666666667 391.666666666667 210 210 210 250 350 300 350 412 385 1200 2700 1950 1111 1299 1200 301.7 12.2 0 0 0 9.6 0 982.3 1018.4 289.8 285.8 9.1 6100 11500 36 12000 3 95 99 285.2 282.1
43.23 2005-01-13 1600 1000 337.5 375 356 366.666666666667 416.666666666667 391.666666666667 210 210 210 250 350 300 250 400 325 1200 2700 1950 1125 1294 1200 301.5 11.4 0 4200 0 0 34920 981.6 1018 288 284.6 7.8 6400 10600 36 6000 2 95 99 284.4 280.8
43.23 2005-01-14 1400 1200 328.125 381.25 354.375 366.666666666667 416.666666666667 391.666666666667 210 210 210 250 350 300 293.75 404.083333333333 347.5 1200 2700 1950 1050 1282 1165 303.2 10.9 0 3800 0 0 34560 980.1 1016.3 288.8 284.8 7.9 5900 10700 36 8000 2 95 99 283.9 280.9
43.23 2005-01-15 1500 1100 312.5 375 343.5 366.666666666667 416.666666666667 391.666666666667 210 210 210 250 350 300 300 400 350 1200 2700 1950 1151 1295 1223 303 12.8 0 3800 0 0 29160 979.4 1015.4 290.5 286.2 9.3 5900 11700 0 0 1 95 60 285.8 282.3
43.23 2005-01-16 1500 1050 331.25 373.958333333333 352.291666666667 366.666666666667 416.666666666667 391.666666666667 210 210 210 250 350 300 275 391.666666666667 325 1200 2700 1950 1125.75 1288.75 1206.75 303.1 12.1 0 4400 0 0 33480 979.4 1015.6 289 286 10.3 6900 12500 0 0 2 95 99 285.1 283.3
43.23 2005-01-17 1500 1000 325 362.5 343.5 366.666666666667 416.666666666667 391.666666666667 210 210 210 250 350 300 275 375 300 1200 2700 1950 1144.5 1282 1213.75 303 15.6 0 4500 0 0 31680 977.7 1013.2 293.4 289 12.6 6100 14600 16 12000 2 95 60 288.6 285.6
43.23 2005-01-18 900 700 362.5 387.5 374.5 366.666666666667 416.666666666667 391.666666666667 210 210 210 250 350 300 250 400 325 1300 3000 2150 1151 1283 1216 302.7 11 0 4200 0 0 35280 979.8 1015.9 290 283.4 2.5 3800 7300 36 6000 6 95 75 284 275.5
43.23 2005-01-19 900 700 362.5 387.5 374.5 366.666666666667 416.666666666667 391.666666666667 210 210 210 250 350 300 250 400 325 1300 3000 2150 1125 1267 1200 300.6 11 0 4000 0 0 34560 982.4 1018.8 288 284 6.8 5800 9900 36 12000 4 95 99 284 279.8
43.23 2005-01-20 1000 750 350 387.5 368.5 366.666666666667 416.666666666667 391.666666666667 210 210 210 250 350 300 275 375 325 1300 3000 2150 1050 1251 1150 298.4 9.6 0 3600 0 0 34200 983.8 1020.3 287.6 282.6 3.7 4800 8000 5 10000 3 96 99 282.6 276.7
