Min Price onion,Max Price onion,Modal Price onion,Price Date
450,500,475,2005/01/01
375,400,385,2005/01/01
400,450,425,2005/01/03
375,425,400,2005/01/03
425,525,500,2005/01/04
375,450,412,2005/01/04
350,425,387,2005/01/05
350,425,387,2005/01/05
400,450,425,2005/01/06
375,400,387,2005/01/06
350,375,362,2005/01/08
325,400,362,2005/01/08
350,375,362,2005/01/10
325,400,362,2005/01/10
350,375,362,2005/01/11
325,400,362,2005/01/11
375,450,412,2005/01/12
300,375,337,2005/01/12
375,400,387,2005/01/13
300,350,325,2005/01/13
375,400,387,2005/01/15
250,350,300,2005/01/15
300,350,325,2005/01/17
350,375,362,2005/01/17
375,400,387,2005/01/18
350,375,362,2005/01/18
375,400,387,2005/01/19
350,375,362,2005/01/19
375,425,400,2005/01/20
325,350,337,2005/01/20
375,425,400,2005/01/21
325,350,337,2005/01/21
375,400,387,2005/01/24
300,350,325,2005/01/24
300,350,325,2005/01/25
275,325,300,2005/01/25
350,400,375,2005/01/27
350,375,365,2005/01/27
400,425,412,2005/01/28
350,375,362,2005/01/28
325,350,337,2005/01/31
275,300,287,2005/01/31
300,350,325,2005/02/01
300,325,312,2005/02/01
300,350,325,2005/02/02
275,325,300,2005/02/02
300,350,325,2005/02/03
250,325,287,2005/02/03
300,350,325,2005/02/04
250,325,300,2005/02/04
350,375,362,2005/02/06
300,325,312,2005/02/06
350,375,362,2005/02/07
300,325,312,2005/02/07
350,400,375,2005/02/08
325,350,337,2005/02/08
350,400,375,2005/02/09
325,350,337,2005/02/09
350,375,362,2005/02/10
350,375,362,2005/02/10
400,450,425,2005/02/11
350,375,362,2005/02/11
400,425,412,2005/02/13
350,375,362,2005/02/13
400,425,412,2005/02/14
350,375,362,2005/02/14
400,425,412,2005/02/15
325,350,342,2005/02/15
400,425,412,2005/02/16
350,375,362,2005/02/16
375,425,400,2005/02/17
375,400,387,2005/02/17
375,400,387,2005/02/18
350,375,362,2005/02/18
375,400,387,2005/02/21
350,375,362,2005/02/21
325,350,337,2005/02/22
350,375,362,2005/02/22
325,350,332,2005/02/23
325,350,332,2005/02/23
325,350,337,2005/02/24
300,325,312,2005/02/24
325,350,335,2005/02/25
300,325,312,2005/02/25
300,350,325,2005/02/28
300,325,312,2005/02/28
300,350,325,2005/03/01
300,325,312,2005/03/01
250,300,275,2005/03/02
300,350,325,2005/03/02
250,300,275,2005/03/03
300,350,325,2005/03/03
325,375,350,2005/03/05
300,350,325,2005/03/05
350,375,362,2005/03/06
325,350,337,2005/03/06
350,375,362,2005/03/07
325,350,337,2005/03/07
350,375,362,2005/03/08
325,350,337,2005/03/08
350,375,362,2005/03/09
325,350,337,2005/03/09
350,375,362,2005/03/10
325,350,337,2005/03/10
350,375,365,2005/03/11
325,350,335,2005/03/11
300,350,325,2005/03/13
275,350,300,2005/03/13
300,350,325,2005/03/14
275,350,300,2005/03/14
300,337,318,2005/03/15
300,325,312,2005/03/15
300,325,312,2005/03/16
250,300,275,2005/03/16
250,300,275,2005/03/17
250,300,275,2005/03/17
250,300,275,2005/03/18
250,300,275,2005/03/18
250,312,281,2005/03/20
250,325,287,2005/03/20
250,312,275,2005/03/21
250,325,300,2005/03/21
300,325,312,2005/03/22
275,325,300,2005/03/22
250,312,281,2005/03/23
250,325,287,2005/03/23
300,325,312,2005/03/24
275,325,300,2005/03/24
300,325,312,2005/03/25
275,325,300,2005/03/25
300,325,312,2005/03/28
275,325,300,2005/03/28
250,325,300,2005/03/29
300,325,312,2005/03/29
300,325,312,2005/03/30
250,312,281,2005/03/30
300,350,325,2005/03/31
325,375,350,2005/03/31
300,350,325,2005/04/01
325,375,350,2005/04/01
325,350,337,2005/04/03
325,375,350,2005/04/03
325,350,336,2005/04/04
325,375,350,2005/04/04
325,350,337,2005/04/05
325,375,350,2005/04/05
325,350,337,2005/04/06
325,375,350,2005/04/06
325,350,337,2005/04/07
325,375,350,2005/04/07
325,350,335,2005/04/08
325,375,350,2005/04/08
250,300,275,2005/04/10
250,300,275,2005/04/10
250,300,275,2005/04/11
250,300,275,2005/04/11
300,325,312,2005/04/12
300,350,325,2005/04/12
300,325,312,2005/04/13
300,350,325,2005/04/13
300,325,312,2005/04/15
300,350,325,2005/04/15
250,300,275,2005/04/17
250,300,275,2005/04/17
250,300,275,2005/04/18
250,300,275,2005/04/18
200,250,225,2005/04/20
225,287,256,2005/04/20
200,250,225,2005/04/21
225,287,256,2005/04/21
200,250,225,2005/04/22
225,287,256,2005/04/22
225,250,237,2005/04/24
225,275,250,2005/04/24
225,250,237,2005/04/25
225,275,250,2005/04/25
225,250,237,2005/04/26
225,275,250,2005/04/26
225,250,237,2005/04/27
