Min Price potato,Max Price potato,Modal Price potato,Price Date
300,400,350,2005/01/01
250,350,300,2005/01/03
250,400,325,2005/01/04
250,400,325,2005/01/05
250,400,325,2005/01/06
250,425,350,2005/01/08
350,450,400,2005/01/10
350,450,400,2005/01/11
350,412,385,2005/01/12
250,400,325,2005/01/13
300,400,350,2005/01/15
275,375,300,2005/01/17
250,400,325,2005/01/18
250,400,325,2005/01/19
275,375,325,2005/01/20
275,375,325,2005/01/21
300,375,325,2005/01/24
300,375,325,2005/01/25
340,400,370,2005/01/27
350,400,375,2005/01/28
325,350,337,2005/01/31
350,375,362,2005/02/01
350,375,362,2005/02/02
300,400,350,2005/02/03
300,400,350,2005/02/04
325,350,337,2005/02/06
325,350,337,2005/02/07
325,350,337,2005/02/08
325,350,337,2005/02/09
325,350,337,2005/02/10
350,375,362,2005/02/11
300,375,335,2005/02/13
300,375,335,2005/02/14
350,375,362,2005/02/15
350,375,362,2005/02/16
300,350,325,2005/02/17
325,400,362,2005/02/18
350,400,375,2005/02/21
350,400,375,2005/02/22
350,400,375,2005/02/23
350,400,375,2005/02/24
350,400,375,2005/02/25
300,400,350,2005/02/28
300,400,350,2005/03/01
350,400,375,2005/03/02
350,400,375,2005/03/03
350,450,400,2005/03/05
350,400,375,2005/03/06
350,400,375,2005/03/07
350,400,375,2005/03/08
350,425,387,2005/03/09
350,425,387,2005/03/10
350,425,400,2005/03/11
300,400,350,2005/03/13
300,400,350,2005/03/14
300,425,365,2005/03/15
350,450,400,2005/03/16
350,425,387,2005/03/17
350,425,400,2005/03/18
325,425,400,2005/03/20
325,425,400,2005/03/21
350,425,375,2005/03/22
425,500,465,2005/03/23
350,475,400,2005/03/24
350,475,400,2005/03/25
350,475,400,2005/03/28
450,475,465,2005/03/29
450,475,462,2005/03/30
400,500,450,2005/03/31
400,500,450,2005/04/01
450,575,512,2005/04/03
450,575,512,2005/04/04
450,575,512,2005/04/05
450,500,475,2005/04/06
450,500,475,2005/04/07
450,500,475,2005/04/08
500,550,525,2005/04/10
500,550,525,2005/04/11
500,550,525,2005/04/12
500,550,525,2005/04/13
500,550,525,2005/04/15
500,600,550,2005/04/17
500,600,550,2005/04/18
500,575,537,2005/04/20
500,575,536,2005/04/21
500,575,523,2005/04/22
500,575,537,2005/04/24
500,575,537,2005/04/25
500,600,550,2005/04/26
500,600,550,2005/04/27
500,600,550,2005/04/28
500,600,550,2005/04/29
500,600,550,2005/05/02
500,600,550,2005/05/03
500,600,550,2005/05/04
500,600,550,2005/05/05
500,600,550,2005/05/06
500,600,550,2005/05/08
500,600,550,2005/05/09
500,600,550,2005/05/10
525,600,562,2005/05/11
525,600,562,2005/05/12
525,600,562,2005/05/13
525,600,562,2005/05/15
525,600,562,2005/05/16
525,600,562,2005/05/17
525,600,562,2005/05/18
550,600,575,2005/05/19
550,600,575,2005/05/20
550,600,575,2005/05/22
550,600,575,2005/05/23
550,600,575,2005/05/24
550,600,575,2005/05/25
550,600,575,2005/05/26
550,600,575,2005/05/27
525,575,550,2005/05/29
525,575,550,2005/05/30
525,575,550,2005/05/31
550,587,568,2005/06/01
550,587,568,2005/06/02
550,600,575,2005/06/03
550,600,575,2005/06/05
550,600,575,2005/06/06
575,600,587,2005/06/07
575,600,587,2005/06/08
575,600,587,2005/06/09
575,600,585,2005/06/10
562,587,575,2005/06/12
562,587,575,2005/06/13
575,600,587,2005/06/14
550,600,575,2005/06/15
550,600,575,2005/06/16
550,600,575,2005/06/17
575,625,600,2005/06/19
575,625,600,2005/06/20
575,625,600,2005/06/21
575,625,600,2005/06/22
575,625,600,2005/06/23
575,625,600,2005/06/24
550,600,575,2005/06/26
550,600,575,2005/06/27
550,600,575,2005/06/28
550,600,575,2005/06/29
550,600,575,2005/06/30
550,600,575,2005/07/01
525,600,562,2005/07/03
525,600,562,2005/07/04
525,600,562,2005/07/05
525,600,562,2005/07/06
575,625,600,2005/07/07
575,625,600,2005/07/08
575,600,587,2005/07/10
575,600,587,2005/07/11
600,650,625,2005/07/12
600,650,625,2005/07/13
600,625,612,2005/07/14
575,600,587,2005/07/17
575,600,587,2005/07/18
575,600,587,2005/07/19
600,625,612,2005/07/21
600,625,612,2005/07/22
550,600,575,2005/07/24
550,600,575,2005/07/26
550,600,575,2005/07/27
550,600,575,2005/07/28
550,600,575,2005/07/29
525,600,562,2005/07/31
525,600,562,2005/08/01
575,625,600,2005/08/02
575,625,600,2005/08/03
575,625,600,2005/08/04
575,625,600,2005/08/05
575,637,606,2005/08/07
575,637,606,2005/08/08
600,625,612,2005/08/09
600,625,612,2005/08/10
600,625,612,2005/08/11
600,625,612,2005/08/12
600,625,612,2005/08/14
600,625,612,2005/08/16
600,625,612,2005/08/17
600,625,612,2005/08/18
600,625,612,2005/08/19
625,650,637,2005/08/21
625,650,637,2005/08/22
625,650,637,2005/08/23
600,650,625,2005/08/24
600,650,625,2005/08/25
600,650,625,2005/08/26
575,625,600,2005/08/28
575,625,600,2005/08/29
575,650,612,2005/08/30
575,650,612,2005/08/31
575,650,612,2005/09/01
575,650,612,2005/09/02
600,625,612,2005/09/06
550,625,587,2005/09/07
550,625,587,2005/09/08
550,625,587,2005/09/09
575,600,587,2005/09/11
575,600,587,2005/09/12
575,600,587,2005/09/13
575,600,587,2005/09/14
575,600,587,2005/09/15
575,600,587,2005/09/16
550,575,562,2005/09/18
550,575,562,2005/09/19
600,625,612,2005/09/20
625,650,637,2005/09/21
625,650,637,2005/09/22
625,650,637,2005/09/23
575,600,587,2005/09/25
575,600,587,2005/09/26
