Min Price Onion Pune,Max Price Onion Pune,Modal Price Onion Pune,Date
230,430,330,2005/01/03
300,600,450,2005/01/04
100,500,300,2005/01/05
150,450,300,2005/01/06
200,550,370,2005/01/07
300,600,450,2005/01/09
200,550,370,2005/01/09
200,400,300,2005/01/10
200,520,360,2005/01/10
200,520,360,2005/01/11
200,460,370,2005/01/12
200,520,360,2005/01/13
200,350,300,2005/01/14
100,450,275,2005/01/14
300,480,400,2005/01/16
300,530,450,2005/01/17
200,400,300,2005/01/18
100,470,385,2005/01/18
100,540,260,2005/01/19
200,460,375,2005/01/19
150,450,300,2005/01/19
200,400,300,2005/01/20
250,470,360,2005/01/20
100,471,325,2005/01/21
250,480,360,2005/01/21
200,435,350,2005/01/22
350,460,400,2005/01/22
100,475,225,2005/01/23
250,350,300,2005/01/23
250,470,360,2005/01/23
250,450,350,2005/01/24
250,450,360,2005/01/24
100,450,375,2005/01/25
350,425,400,2005/01/25
200,415,317,2005/01/26
250,450,350,2005/01/27
100,450,200,2005/01/28
250,400,320,2005/01/28
150,350,300,2005/01/29
200,415,325,2005/01/29
350,425,380,2005/01/29
200,400,300,2005/01/30
300,420,360,2005/01/31
250,400,320,2005/02/01
250,400,380,2005/02/01
200,380,320,2005/02/02
300,420,360,2005/02/02
200,400,300,2005/02/03
120,420,260,2005/02/03
100,550,300,2005/02/04
100,420,260,2005/02/04
100,325,250,2005/02/05
200,400,325,2005/02/05
200,400,300,2005/02/06
380,420,400,2005/02/06
200,300,250,2005/02/07
300,400,350,2005/02/07
100,450,225,2005/02/08
350,450,400,2005/02/08
300,420,360,2005/02/09
300,420,360,2005/02/10
200,300,250,2005/02/11
250,450,350,2005/02/12
250,451,350,2005/02/12
350,450,400,2005/02/12
200,450,325,2005/02/14
350,450,400,2005/02/15
150,400,275,2005/02/15
100,425,300,2005/02/16
200,425,325,2005/02/16
150,400,275,2005/02/16
150,400,225,2005/02/17
100,409,250,2005/02/18
100,381,250,2005/02/20
200,300,250,2005/02/20
150,400,270,2005/02/20
250,350,300,2005/02/21
200,370,280,2005/02/21
100,335,235,2005/02/23
100,350,225,2005/02/23
200,350,270,2005/02/24
100,350,225,2005/02/25
100,400,310,2005/02/26
250,350,300,2005/02/26
150,370,300,2005/02/26
250,350,290,2005/02/26
220,350,280,2005/02/27
200,300,250,2005/02/28
200,370,280,2005/02/28
100,300,200,2005/03/01
200,370,280,2005/03/01
250,350,320,2005/03/01
100,350,225,2005/03/02
200,300,250,2005/03/03
100,350,225,2005/03/03
150,350,250,2005/03/04
100,370,235,2005/03/04
200,350,300,2005/03/05
150,351,250,2005/03/05
290,350,325,2005/03/05
100,350,250,2005/03/09
250,350,300,2005/03/10
200,380,290,2005/03/10
200,330,300,2005/03/11
200,370,285,2005/03/11
100,355,245,2005/03/12
200,330,300,2005/03/12
150,370,260,2005/03/12
200,320,275,2005/03/12
100,325,211,2005/03/13
200,320,250,2005/03/13
150,250,200,2005/03/14
200,330,260,2005/03/15
100,330,210,2005/03/16
200,350,270,2005/03/17
200,350,275,2005/03/18
100,275,211,2005/03/19
150,320,250,2005/03/19
200,340,290,2005/03/19
200,320,250,2005/03/20
200,350,270,2005/03/20
250,350,300,2005/03/21
110,270,190,2005/03/21
200,340,270,2005/03/21
200,300,250,2005/03/22
220,350,285,2005/03/22
150,330,250,2005/03/23
125,350,225,2005/03/23
200,350,275,2005/03/23
150,340,245,2005/03/24
150,320,250,2005/03/25
150,320,230,2005/03/25
100,260,200,2005/03/26
150,311,250,2005/03/26
150,340,240,2005/03/26
250,340,290,2005/03/26
200,320,260,2005/03/27
200,300,250,2005/03/28
200,350,270,2005/03/28
150,320,250,2005/03/29
150,350,250,2005/03/29
250,340,290,2005/03/29
200,340,270,2005/03/30
100,375,238,2005/03/31
200,350,275,2005/03/31
200,350,300,2005/04/01
200,380,240,2005/04/01
151,425,250,2005/04/02
150,350,250,2005/04/03
100,553,327,2005/04/03
200,400,300,2005/04/03
220,305,225,2005/04/04
200,400,300,2005/04/04
200,400,300,2005/04/05
150,400,250,2005/04/06
250,380,320,2005/04/06
150,350,250,2005/04/07
200,380,290,2005/04/07
100,374,237,2005/04/08
150,255,250,2005/04/09
240,325,300,2005/04/09
150,350,250,2005/04/10
100,500,300,2005/04/10
200,400,300,2005/04/10
200,400,300,2005/04/11
200,400,300,2005/04/12
100,308,225,2005/04/13
150,370,250,2005/04/13
150,350,250,2005/04/15
200,380,290,2005/04/15
150,355,260,2005/04/16
220,300,265,2005/04/16
100,311,206,2005/04/17
150,380,260,2005/04/17
150,380,260,2005/04/18
150,370,260,2005/04/19
150,350,250,2005/04/20
150,350,270,2005/04/20
150,370,260,2005/04/20
200,380,270,2005/04/21
150,300,250,2005/04/22
150,370,260,2005/04/22
150,365,260,2005/04/23
150,285,220,2005/04/23
150,350,250,2005/04/24
150,370,260,2005/04/24
180,370,270,2005/04/25
150,350,250,2005/04/26
200,360,265,2005/04/26
200,320,275,2005/04/26
150,350,250,2005/04/27
200,335,250,2005/04/27
100,240,170,2005/04/27
200,370,285,2005/04/27
200,380,290,2005/04/28
150,380,265,2005/04/29
150,350,250,2005/05/01
200,380,290,2005/05/02
150,325,250,2005/05/03
300,380,350,2005/05/03
150,350,250,2005/05/04
200,420,310,2005/05/04
150,350,250,2005/05/05
200,400,300,2005/05/05
200,350,300,2005/05/06
200,400,300,2005/05/06
125,400,230,2005/05/07
220,300,280,2005/05/07
100,360,230,2005/05/08
200,380,270,2005/05/08
320,380,350,2005/05/09
200,320,260,2005/05/10
200,360,265,2005/05/11
150,400,275,2005/05/12
180,370,275,2005/05/13
150,385,250,2005/05/14
200,300,280,2005/05/14
200,370,285,2005/05/15
180,370,275,2005/05/16
180,370,275,2005/05/17
200,370,285,2005/05/18
180,380,280,2005/05/19
180,380,280,2005/05/20
100,370,300,2005/05/21
180,380,280,2005/05/22
180,300,240,2005/05/23
180,380,280,2005/05/24
260,300,270,2005/05/24
100,351,200,2005/05/25
100,330,250,2005/05/25
180,390,285,2005/05/25
180,380,280,2005/05/26
