Date,Min.Price.Onion.Jalgaon,Max.Price.onion.Jalgaon,Modal.Price.onion.Jalgaon,Min.Price.Onion.Pune,Max.Price.Onion.Pune,Modal.Price.Onion.Pune
2005-01-01,150,325,239.8837209302,253.3333333333,486.6666666667,370
2005-01-02,150,325,239.8837209302,253.3333333333,486.6666666667,370
2005-01-03,150,325,240,230,430,330
2005-01-04,150,325,239.5454545455,300,600,450
2005-01-05,150,325,238.3333333333,100,500,300
2005-01-06,150,325,235,150,450,300
2005-01-07,150,318.75,228.75,200,550,370
2005-01-08,150,316.6666666667,225,208.3333333333,526.6666666667,365
2005-01-09,150,316.6666666667,225,250,575,410
2005-01-10,150,325,225,200,460,330
2005-01-11,150,300,225,200,520,360
2005-01-12,150,300,225,200,460,370
2005-01-13,150,310,210,200,520,360
2005-01-14,150,325,250,150,400,287.5
2005-01-15,175,325,250,233.3333333333,468.3333333333,364.1666666667
2005-01-16,175,317.5,245,300,480,400
2005-01-17,175,310,240,300,530,450
2005-01-18,150,325,225,150,435,342.5
2005-01-19,150,325,240,150,483.3333333333,311.6666666667
2005-01-20,170,300,210,225,435,330
2005-01-21,160,290,210,175,475.5,342.5
2005-01-22,150,305,220,275,447.5,375
2005-01-23,150,302.5,215,200,431.6666666667,295
2005-01-24,150,300,210,250,450,355
2005-01-25,150,275,200,225,437.5,387.5
2005-01-26,137.5,275,200,200,415,317
2005-01-27,125,275,200,250,450,350
2005-01-28,105,310,210,175,425,260
2005-01-29,150,290,200,233.3333333333,396.6666666667,335
2005-01-30,126.25,303.75,202.5,200,400,300
2005-01-31,125,331.25,205,300,420,360
2005-02-01,100,325,200,250,400,350
2005-02-02,150,385,220,250,400,340
2005-02-03,100,350,210,160,410,280
2005-02-04,100,300,250,100,485,280
2005-02-05,100,300,250,150,362.5,287.5
2005-02-06,100,300,250,290,410,350
2005-02-07,100,300,250,250,350,300
2005-02-08,112.5,306.25,237.5,225,450,312.5
2005-02-09,133.3333333333,316.6666666667,216.6666666667,300,420,360
2005-02-10,150,320,202,300,420,360
2005-02-11,150,320,202,200,300,250
2005-02-12,150,325,200,283.3333333333,450.3333333333,366.6666666667
2005-02-13,150,312.5,205,236.1111111111,420.9444444444,328.4722222222
2005-02-14,150,300,210,200,450,325
2005-02-15,150,325,200,250,425,337.5
2005-02-16,150,340,200,150,416.6666666667,300
2005-02-17,125,330,200,150,400,225
2005-02-18,150,325,210,100,409,250
2005-02-19,143.75,332.5,207.5,145.8333333333,383.1111111111,254.7222222222
2005-02-20,150,337.5,212.5,150,360.3333333333,256.6666666667
2005-02-21,150,350,210,225,360,290
2005-02-22,150,325,220,166.6666666667,352.5555555556,261.1111111111
2005-02-23,150,400,210,100,342.5,230
2005-02-24,150,375,220,200,350,270
2005-02-25,150,285,200,100,350,225
2005-02-26,150,335,210,187.5,367.5,300
2005-02-27,150,317.5,205,220,350,280
2005-02-28,150,300,200,200,335,265
2005-03-01,160,350,210,183.3333333333,340,266.6666666667
2005-03-02,150,300,210,100,350,225
2005-03-03,150,275,200,150,325,237.5
2005-03-04,140,260,200,125,360,242.5
2005-03-05,150,350,220,213.3333333333,350.3333333333,291.6666666667
2005-03-06,150,325,215,183.8888888889,353.5555555556,275.2777777778
2005-03-07,150,300,210,156.6666666667,350.1666666667,270.8333333333
2005-03-08,150,275,205,141.6666666667,355,265
2005-03-09,150,250,200,100,350,250
2005-03-10,150,275,200,225,365,295
2005-03-11,150,290,200,200,350,292.5
2005-03-12,150,275,200,162.5,343.75,270
2005-03-13,156.25,285,205,150,322.5,230.5
2005-03-14,162.5,293.75,216.25,150,250,200
2005-03-15,175,300,220,200,330,260
2005-03-16,150,300,225,100,330,210
2005-03-17,150,290,210,200,350,270
2005-03-18,150,310,220,200,350,275
2005-03-19,150,325,210,150,311.6666666667,250.3333333333
2005-03-20,150,325,215,200,335,260
2005-03-21,150,325,220,186.6666666667,320,253.3333333333
2005-03-22,150,300,210,210,325,267.5
2005-03-23,140,300,200,158.3333333333,343.3333333333,250
2005-03-24,125,300,200,150,340,245
2005-03-25,150,300,220,150,320,240
2005-03-26,137.5,306.25,213.75,162.5,312.75,245
2005-03-27,131.25,316.25,215,200,320,260
2005-03-28,125,325,215,200,325,260
2005-03-29,125,315,210,183.3333333333,336.6666666667,263.3333333333
2005-03-30,140,315,230,200,340,270
2005-03-31,150,325,250,150,362.5,256.5
2005-04-01,137.5,325,250,200,365,270
2005-04-02,125,325,250,151,425,250
2005-04-03,137.5,322.5,250,150,434.3333333333,292.3333333333
2005-04-04,150,320,250,210,352.5,262.5
2005-04-05,150,315,235,200,400,300
2005-04-06,150,310,220,200,390,285
2005-04-07,150,320,220,175,365,270
2005-04-08,150,300,210,100,374,237
2005-04-09,153.125,298.75,216.25,195,290,275
2005-04-10,193.75,362.5,277.5,150,416.6666666667,283.3333333333
2005-04-11,162.5,275,225,200,400,300
2005-04-12,300,600,450,200,400,300
2005-04-13,175,300,225,125,339,237.5
2005-04-14,162.5,300,237.5,164.1666666667,355.9166666667,262.9166666667
2005-04-15,150,300,250,175,365,270
2005-04-16,150,291.6666666667,237.5,185,327.5,262.5
2005-04-17,137.5,275,225,125,345.5,233
2005-04-18,126.6666666667,250,193.3333333333,150,380,260
2005-04-19,125,250,200,150,370,260
2005-04-20,130,250,180,150,356.6666666667,260
2005-04-21,120,250,190,200,380,270
2005-04-22,122.5,237.5,195,150,335,255
2005-04-23,125,225,200,150,325,240
2005-04-24,125,225,187.5,150,360,255
2005-04-25,125,225,175,180,370,270
2005-04-26,125,225,170,183.3333333333,343.3333333333,263.3333333333
2005-04-27,125,210,175,162.5,323.75,238.75
2005-04-28,125,225,170,200,380,290
2005-04-29,125,250,190,150,380,265
2005-04-30,125,260,175,166.6666666667,370,268.3333333333
2005-05-01,125,255,172.5,150,350,250
2005-05-02,125,250,170,200,380,290
2005-05-03,160,275,175,225,352.5,300
2005-05-04,140,275,190,175,385,280
2005-05-05,160,275,175,175,375,275
2005-05-06,150,250,200,200,375,300
2005-05-07,140,310,200,172.5,350,255
2005-05-08,132.5,305,200,150,370,250
2005-05-09,125,300,200,320,380,350
2005-05-10,125,300,200,200,320,260
2005-05-11,125,287.5,193.75,200,360,265
2005-05-12,125,281.25,185,150,400,275
2005-05-13,125,250,175,180,370,275
2005-05-14,125,325,190,175,342.5,265
2005-05-15,112.5,287.5,185,200,370,285
2005-05-16,100,250,180,180,370,275
2005-05-17,125,250,200,180,370,275
2005-05-18,125,250,170,200,370,285
2005-05-19,100,200,170,180,380,280
2005-05-20,125,250,170,180,380,280
2005-05-21,125,225,160,100,370,300
2005-05-22,112.5,212.5,155,180,380,280
2005-05-23,100,200,150,180,300,240
2005-05-24,108.3333333333,216.6666666667,156.6666666667,220,340,275
2005-05-25,112.5,231.25,166.25,126.6666666667,357,245
2005-05-26,125,250,170,180,380,280
2005-05-27,100,225,175,160,365.5,263
2005-05-28,100,225,150,200,260,250
2005-05-29,112.5,225,155,180,400,290
2005-05-30,125,225,160,150,380.5,265.5
2005-05-31,112.5,262.5,165,180,370,275
2005-06-01,100,300,170,165,347.5,272.5
2005-06-02,125,285,170,180,380,280
2005-06-03,100,325,170,180,380,280
2005-06-04,100,275,150,165,338.3333333333,273.3333333333
2005-06-05,100,287.5,165,180,420,300
2005-06-06,100,300,180,200,430,315
2005-06-07,100,250,175,200,430,315
2005-06-08,100,300,200,137.5,418.75,311.25
2005-06-09,125,300,175,200,450,325
2005-06-10,100,335,200,200,450,325
2005-06-11,125,400,210,210.5,345,282.5
2005-06-12,125,375,230,150,450.5,307.5
2005-06-13,125,350,250,200,450,350
2005-06-14,125,350,225,200,470,335
2005-06-15,125,400,220,175,455,327.5
2005-06-16,150,400,250,200,480,340
2005-06-17,175,400,250,200,480,340
2005-06-18,175,375,250,200,475,362.5
2005-06-19,150,375,237.5,200,478.3333333333,347.5
2005-06-20,125,375,225,200,470,335
2005-06-21,125,400,225,200,500,350
2005-06-22,140,412,230,150.5,525.5,325
2005-06-23,150,425,250,200,500,380
2005-06-24,150,425,250,200,500,350
2005-06-25,150,412,250,175,415,350
2005-06-26,137.5,413.5,250,200,500,350
2005-06-27,125,415,250,200,520,360
2005-06-28,125,400,220,250,500,375
2005-06-29,125,400,250,280,580,430
2005-06-30,125,400,200,300,525,412.5
2005-07-01,150,425,225,300,570,435
2005-07-02,125,425,230,150,480,325
2005-07-03,125,412.5,225,300,570,435
2005-07-04,125,400,220,300,570,435
2005-07-05,125,400,225,300,550,425
2005-07-06,125,425,230,233.3333333333,456.6666666667,361.6666666667
2005-07-07,125,400,225,175,512.5,368
2005-07-08,140,412,250,225.3333333333,517,393.3333333333
2005-07-09,130,400,240,150,460,350
2005-07-10,127.5,400,245,250,520,385
2005-07-11,125,400,250,250,500,375
2005-07-12,150,400,230,400,550,475
2005-07-13,150,400,235,200,440,350
2005-07-14,150,420,240,250,550,400
