date,...SLP,..MSLP,..DBT,..WBT,..DPT,.RH,..VP,DD,FFF,AW,VV,Cl,A,Cm,A.1,Ch,A.2,Dl,Dm,Dh,TC,h,c,a,Ht,..R.F,.EVP,DW
2005-01-01,981,1016.9,19,15,11.8,63,138,0,0,2,95,0,0,3,3,1,2,0,9,9,5,9,3,3,60,0,NA,NA
2005-01-02,980.4,1016,20.2,17.6,15.9,76,181,9,6,1,94,5,2,2,2,3,3,1,1,9,9,9,6,3,24,0,NA,NA
2005-01-03,980.3,1015.9,20.4,18,16.4,78,186,9,4,1,94,0,0,0,0,0,0,0,0,0,0,9,0,0,99,0,NA,NA
2005-01-04,983.2,1019.1,20.4,17.6,15.7,74,178,7,14,3,94,0,0,0,0,0,0,0,0,0,0,9,0,0,99,0,NA,NA
2005-01-05,982.7,1008.6,18.8,16,13.9,73,159,0,0,2,95,0,0,0,0,0,0,0,0,0,0,9,0,0,99,0,NA,NA
2005-01-06,981.1,1016.9,19.2,15.6,12.8,67,148,2,8,2,95,0,0,0,0,0,0,0,0,0,0,9,0,0,99,0,NA,NA
2005-01-07,981.1,1016.9,19.4,16.2,13.8,70,158,5,12,2,95,0,0,0,0,1,1,0,0,0,1,9,0,1,25,0,NA,NA
2005-01-08,982,1018.1,16.8,12.8,9.1,61,115,2,12,3,94,0,0,0,0,0,0,0,0,0,0,9,0,0,99,0,NA,NA
2005-01-09,980.7,1016.7,16.6,11.8,7,53,100,0,0,3,95,0,0,0,0,0,0,0,0,0,0,9,0,0,99,0,NA,NA
2005-01-10,976.5,1016.5,17.6,12.6,7.8,53,106,0,0,2,95,0,0,0,0,0,0,0,0,0,0,9,0,0,99,0,NA,NA
2005-01-11,977.6,1013.5,17.4,12.6,8,54,107,32,10,4,95,0,0,0,0,0,0,0,0,0,0,9,0,0,99,0,NA,NA
2005-01-12,982.3,1018.4,16.8,12.8,9.1,61,115,36,12,3,95,0,0,0,0,0,0,0,0,0,0,9,0,0,99,0,NA,NA
2005-01-13,981.6,1018,15,11.6,7.8,64,106,36,6,2,95,0,0,0,0,0,0,0,0,0,0,9,0,0,99,0,NA,NA
2005-01-14,980.1,1016.3,15.8,11.8,7.9,59,107,36,8,2,95,0,0,0,0,0,0,0,0,0,0,9,0,0,99,0,NA,NA
2005-01-15,979.4,1015.4,17.5,13.2,9.3,59,117,0,0,1,95,0,0,0,0,0,0,0,0,0,0,9,3,5,60,0,NA,NA
2005-01-16,979.4,1015.6,16,13,10.3,69,125,0,0,2,95,0,0,0,0,0,0,0,0,0,0,9,0,0,99,0,NA,NA
2005-01-17,977.7,1013.2,20.4,16,12.6,61,146,16,12,2,95,0,0,3,1,0,0,0,9,0,1,9,3,1,60,0,NA,NA
2005-01-18,979.8,1015.9,17,10.4,2.5,38,73,36,6,6,95,0,0,0,0,1,1,0,0,0,1,9,1,1,75,0,NA,NA
2005-01-19,982.4,1018.8,15,11,6.8,58,99,36,12,4,95,0,0,0,0,0,0,0,0,0,0,9,0,0,99,0,NA,NA
2005-01-20,983.8,1020.3,14.6,9.6,3.7,48,80,5,10,3,96,0,0,0,0,0,0,0,0,0,0,9,0,0,99,0,NA,NA
2005-01-21,984.5,1020.9,15.4,9.6,2.5,42,73,2,10,2,95,0,0,0,0,0,0,0,0,0,0,9,0,0,99,0,NA,NA
2005-01-22,981.8,1017.7,18.2,12.8,7.6,52,105,2,12,2,95,0,0,0,1,2,2,0,0,9,2,9,1,2,75,0,NA,NA
2005-01-23,978.1,1013.7,20,17.2,15.3,74,174,2,10,1,95,5,1,3,1,1,1,0,0,0,3,5,6,1,25,0,NA,NA
2005-01-24,982.4,1018.5,16.8,11.8,6.7,51,98,2,8,6,95,0,0,0,0,1,3,0,0,0,3,9,0,3,75,0,NA,NA
2005-01-25,981.3,1017.4,16.4,11.4,6.2,51,95,2,6,4,95,0,0,0,0,1,2,0,0,9,2,9,0,2,75,0,NA,NA
2005-01-26,978,1013.9,17.6,13,8.7,56,112,0,0,2,95,0,0,0,0,0,0,0,0,0,0,9,0,0,99,0,NA,NA
2005-01-27,976.3,1012,18.8,17.4,16.2,88,188,2,4,2,94,5,1,3,3,2,2,0,0,0,6,5,6,1,60,0,NA,NA
2005-01-29,978.1,1014.1,16.6,16,15.6,96,177,36,18,5,94,9,3,3,4,0,0,9,9,0,7,5,3,1,60,0.3,NA,NA
2005-01-30,978.1,1014.2,16,15.8,15.7,98,178,0,0,5,94,3,6,2,0,0,9,9,0,0,8,4,7,2,58,3.4,NA,NA
2005-01-31,979.8,1015.9,16.4,16.2,16.1,98,183,2,6,6,94,3,5,2,3,1,1,0,0,1,8,3,6,3,30,56.8,NA,NA
2005-01-02,976.9,1012,23.2,19.4,17.1,68,195,7,8,2,96,5,3,1,4,0,0,0,0,0,7,5,6,3,20,0,NA,NA
2005-01-03,977.2,1012,26.6,20,15.9,52,181,0,0,4,96,0,0,0,0,0,0,0,0,0,0,9,0,0,99,0,NA,NA
2005-01-04,979.1,1014,27,19,13.5,43,155,2,10,6,96,0,0,0,0,0,0,0,0,0,0,9,0,0,99,0,NA,NA
2005-01-05,978.5,1013.2,27.2,19.6,14.6,46,166,5,6,4,96,0,0,3,1,1,2,0,9,9,3,9,3,1,76,0,NA,NA
2005-01-06,981.1,1016.9,27.4,20.4,16.1,50,183,14,10,5,96,1,1,3,1,0,0,0,0,0,2,5,8,1,25,0,NA,NA
2005-01-07,976.9,1011.6,27,20.6,16.7,53,190,9,4,4,95,1,1,3,1,0,0,9,9,0,2,5,8,1,30,0,NA,NA
2005-01-08,977.6,1012.7,25.2,17.4,11.5,42,136,9,6,5,96,0,0,0,0,0,0,0,0,0,0,9,0,0,99,0,NA,NA
2005-01-09,975.7,1010.4,27,18.6,12.5,41,145,11,6,4,96,0,0,0,0,0,0,0,0,0,0,9,0,0,99,0,NA,NA
2005-01-10,976,1006.3,27.4,16.4,6.6,27,97,23,6,6,96,0,0,0,0,1,2,0,0,0,2,9,0,2,75,0,NA,NA
2005-01-11,976,1010.9,26,17,9.8,36,121,2,4,5,96,0,0,0,0,0,0,0,0,0,0,9,0,0,99,0,NA,NA
2005-01-12,971.8,1013,25.6,16,7.6,33,104,2,8,6,96,0,0,0,0,0,0,0,0,0,0,9,0,0,99,0,NA,NA
2005-01-13,976.7,1011.4,26.8,17.6,10.5,36,127,36,3,4,96,0,0,0,0,0,0,0,0,0,0,9,0,0,99,0,NA,NA
2005-01-14,980.1,1016.3,15.8,11.8,7.9,59,107,36,8,5,96,0,0,3,1,1,1,0,0,0,2,9,3,1,60,0,NA,NA
2005-01-15,975.8,1010.5,27,17.8,10.8,36,129,9,8,4,96,1,1,3,3,0,0,0,0,0,4,5,8,1,25,0,NA,NA
2005-01-16,975.2,1009.9,27,18.8,13.1,42,151,18,8,5,96,0,0,3,2,0,0,0,0,9,0,2,3,2,60,0,NA,NA
