date,MAX,MIN,R.F,EVP,DR,NRF,SSH,...SLP,..MSLP,..DBT,..WBT,..DPT,.RH,..VP,DD,FFF,AW,VV,Cl,A,Cm,A.1,Ch,A.2,Dl,Dm,Dh,TC,h,c,a,Ht
2005-01-01,30.7,14.7,0,5.4,9,0,0,981,1016.9,19,15,11.8,63,138,0,0,2,95,0,0,3,3,1,2,0,9,9,5,9,3,3,60
2005-01-02,30.7,17.1,0,4.9,0,0,0,980.4,1016,20.2,17.6,15.9,76,181,9,6,1,94,5,2,2,2,3,3,1,1,9,9,9,6,3,24
2005-01-03,25.5,16.7,0,3.5,1,5,8,980.3,1015.9,20.4,18,16.4,78,186,9,4,1,94,0,0,0,0,0,0,0,0,0,0,9,0,0,99
2005-01-04,31,17.2,0,4.4,0,0,8.4,983.2,1019.1,20.4,17.6,15.7,74,178,7,14,3,94,0,0,0,0,0,0,0,0,0,0,9,0,0,99
2005-01-05,31.1,15.6,0,4.8,0,0,8.2,982.7,1008.6,18.8,16,13.9,73,159,0,0,2,95,0,0,0,0,0,0,0,0,0,0,9,0,0,99
2005-01-06,31.1,15.5,0,4.9,0,0,8.6,981.1,1016.9,19.2,15.6,12.8,67,148,2,8,2,95,0,0,0,0,0,0,0,0,0,0,9,0,0,99
2005-01-07,31.2,15.5,0,4.5,0,0,8.1,981.1,1016.9,19.4,16.2,13.8,70,158,5,12,2,95,0,0,0,0,1,1,0,0,0,1,9,0,1,25
2005-01-08,31.1,13.8,0,4.8,0,0,9.3,982,1018.1,16.8,12.8,9.1,61,115,2,12,3,94,0,0,0,0,0,0,0,0,0,0,9,0,0,99
2005-01-09,29.2,11.4,0,3.9,0,0,9.6,980.7,1016.7,16.6,11.8,7,53,100,0,0,3,95,0,0,0,0,0,0,0,0,0,0,9,0,0,99
2005-01-10,30.2,12.1,0,4.2,0,0,9.7,976.5,1016.5,17.6,12.6,7.8,53,106,0,0,2,95,0,0,0,0,0,0,0,0,0,0,9,0,0,99
2005-01-11,30.7,13.3,0,4.2,0,0,9.7,977.6,1013.5,17.4,12.6,8,54,107,32,10,4,95,0,0,0,0,0,0,0,0,0,0,9,0,0,99
2005-01-12,28.7,12.2,0,0,0,9.6,0,982.3,1018.4,16.8,12.8,9.1,61,115,36,12,3,95,0,0,0,0,0,0,0,0,0,0,9,0,0,99
2005-01-13,28.5,11.4,0,4.2,0,0,9.7,981.6,1018,15,11.6,7.8,64,106,36,6,2,95,0,0,0,0,0,0,0,0,0,0,9,0,0,99
2005-01-14,30.2,10.9,0,3.8,0,0,9.6,980.1,1016.3,15.8,11.8,7.9,59,107,36,8,2,95,0,0,0,0,0,0,0,0,0,0,9,0,0,99
2005-01-15,30,12.8,0,3.8,0,0,8.1,979.4,1015.4,17.5,13.2,9.3,59,117,0,0,1,95,0,0,0,0,0,0,0,0,0,0,9,3,5,60
2005-01-16,30.1,12.1,0,4.4,0,0,9.3,979.4,1015.6,16,13,10.3,69,125,0,0,2,95,0,0,0,0,0,0,0,0,0,0,9,0,0,99
2005-01-17,30,15.6,0,4.5,0,0,8.8,977.7,1013.2,20.4,16,12.6,61,146,16,12,2,95,0,0,3,1,0,0,0,9,0,1,9,3,1,60
2005-01-18,29.7,11,0,4.2,0,0,9.8,979.8,1015.9,17,10.4,2.5,38,73,36,6,6,95,0,0,0,0,1,1,0,0,0,1,9,1,1,75
2005-01-19,27.6,11,0,4,0,0,9.6,982.4,1018.8,15,11,6.8,58,99,36,12,4,95,0,0,0,0,0,0,0,0,0,0,9,0,0,99
2005-01-20,25.4,9.6,0,3.6,0,0,9.5,983.8,1020.3,14.6,9.6,3.7,48,80,5,10,3,96,0,0,0,0,0,0,0,0,0,0,9,0,0,99
2005-01-21,26.9,9.5,0,3.8,0,0,9.6,984.5,1020.9,15.4,9.6,2.5,42,73,2,10,2,95,0,0,0,0,0,0,0,0,0,0,9,0,0,99
2005-01-22,29,12.5,0,4.4,0,0,7.6,981.8,1017.7,18.2,12.8,7.6,52,105,2,12,2,95,0,0,0,1,2,2,0,0,9,2,9,1,2,75
2005-01-23,29.5,17.2,0,4.2,0,39,8.8,978.1,1013.7,20,17.2,15.3,74,174,2,10,1,95,5,1,3,1,1,1,0,0,0,3,5,6,1,25
2005-01-24,30.9,12.4,0,4.3,0,0,9.3,982.4,1018.5,16.8,11.8,6.7,51,98,2,8,6,95,0,0,0,0,1,3,0,0,0,3,9,0,3,75
2005-01-25,28,11.5,0,3.8,0,0,7.5,981.3,1017.4,16.4,11.4,6.2,51,95,2,6,4,95,0,0,0,0,1,2,0,0,9,2,9,0,2,75
2005-01-26,29.1,14.2,0,4.1,0,0,8.8,978,1013.9,17.6,13,8.7,56,112,0,0,2,95,0,0,0,0,0,0,0,0,0,0,9,0,0,99
2005-01-27,31,16.2,1.4,3.2,2,0,4.8,976.3,1012,18.8,17.4,16.2,88,188,2,4,2,94,5,1,3,3,2,2,0,0,0,6,5,6,1,60
2005-01-28,28.2,16.8,0.3,3.2,1,30,3.7,978.1,1014.1,16.6,16,15.6,96,177,36,18,5,94,9,3,3,4,0,0,9,9,0,7,5,3,1,60
2005-01-29,25.2,14.3,1.3,3.2,1,15,3,978.1,1014.2,16,15.8,15.7,98,178,0,0,5,94,3,6,2,0,0,9,9,0,0,8,4,7,2,58
2005-01-30,23.2,15.4,48.5,0.1,2,12,0.5,979.8,1015.9,16.4,16.2,16.1,98,183,2,6,6,94,3,5,2,3,1,1,0,0,1,8,3,6,3,30
2005-01-31,21.6,15.5,77.8,1,16,47,0,976.9,1012,23.2,19.4,17.1,68,195,7,8,2,96,5,3,1,4,0,0,0,0,0,7,5,6,3,20
2005-02-01,19.3,11.7,2.6,1.8,9,20,0,977.2,1012,26.6,20,15.9,52,181,0,0,4,96,0,0,0,0,0,0,0,0,0,0,9,0,0,99
2005-02-02,26,10,0,3,10.4,0,0,979.1,1014,27,19,13.5,43,155,2,10,6,96,0,0,0,0,0,0,0,0,0,0,9,0,0,99
2005-02-03,25.5,11,0,3.3,10.4,0,0,978.5,1013.2,27.2,19.6,14.6,46,166,5,6,4,96,0,0,3,1,1,2,0,9,9,3,9,3,1,76
2005-02-04,27,12.5,0,3.9,10.2,0,0,981.1,1016.9,27.4,20.4,16.1,50,183,14,10,5,96,1,1,3,1,0,0,0,0,0,2,5,8,1,25
2005-02-05,28.6,15.2,0,3.8,0,0,10.3,976.9,1011.6,27,20.6,16.7,53,190,9,4,4,95,1,1,3,1,0,0,9,9,0,2,5,8,1,30
2005-02-06,31.7,14.6,0,4.3,10.2,0,0,977.6,1012.7,25.2,17.4,11.5,42,136,9,6,5,96,0,0,0,0,0,0,0,0,0,0,9,0,0,99
2005-02-07,32,18.2,0,4.5,9.7,0,0,975.7,1010.4,27,18.6,12.5,41,145,11,6,4,96,0,0,0,0,0,0,0,0,0,0,9,0,0,99
2005-02-08,31.9,18.6,0,4.9,8.9,0,0,976,1006.3,27.4,16.4,6.6,27,97,23,6,6,96,0,0,0,0,1,2,0,0,0,2,9,0,2,75
2005-02-09,32.4,16.4,0,4.7,0,0,9.6,976,1010.9,26,17,9.8,36,121,2,4,5,96,0,0,0,0,0,0,0,0,0,0,9,0,0,99
