Date,RH,VP
2005-01-01,96,180
2005-01-01,56,176
2005-01-02,75,145
2005-01-02,50,173
2005-01-03,90,163
2005-01-03,38,154
2005-01-04,88,170
2005-01-04,37,143
2005-01-05,92,160
2005-01-05,46,171
2005-01-06,81,160
2005-01-06,43,171
2005-01-07,89,153
2005-01-07,33,130
2005-01-08,83,142
2005-01-08,35,137
2005-01-09,91,146
2005-01-09,31,126
2005-01-10,93,139
2005-01-10,28,96
2005-01-11,89,126
2005-01-11,35,119
2005-01-12,95,139
2005-01-12,30,113
2005-01-13,88,123
2005-01-13,27,107
2005-01-14,78,117
2005-01-14,27,107
2005-01-15,91,137
2005-01-15,23,99
2005-01-16,87,133
2005-01-16,33,111
2005-01-17,91,129
2005-01-17,24,84
2005-01-18,82,118
2005-01-18,29,95
2005-01-19,76,96
2005-01-19,26,85
2005-01-20,93,119
2005-01-20,35,133
2005-01-21,92,136
2005-01-21,35,140
2005-01-22,86,152
2005-01-22,34,139
2005-01-23,96,151
2005-01-23,22,87
2005-01-24,83,132
2005-01-24,31,124
2005-01-25,76,142
2005-01-25,29,125
2005-01-26,85,146
2005-01-26,30,120
2005-01-27,81,168
2005-01-27,34,119
2005-01-28,65,134
2005-01-28,35,119
2005-01-29,87,158
2005-01-29,35,119
2005-01-30,85,143
2005-01-30,35,96
2005-01-31,89,138
2005-01-31,74,171
2005-02-01,87,147
2005-02-01,53,147
2005-02-02,89,133
2005-02-02,42,145
2005-02-03,93,145
2005-02-03,44,161
2005-02-04,96,161
2005-02-04,31,129
2005-02-05,94,173
2005-02-05,32,143
2005-02-06,84,157
2005-02-06,33,129
2005-02-07,88,164
2005-02-07,37,143
2005-02-08,76,156
2005-02-08,31,137
2005-02-09,80,150
2005-02-09,21,101
2005-02-10,61,123
2005-02-10,22,114
2005-02-11,80,152
2005-02-11,19,94
2005-02-12,82,147
2005-02-12,31,152
2005-02-13,76,158
2005-02-13,23,115
2005-02-14,81,156
2005-02-14,17,88
2005-02-15,55,107
2005-02-15,19,95
2005-02-16,71,154
2005-02-16,35,152
2005-02-17,88,169
2005-02-17,37,143
2005-02-18,81,174
2005-02-18,45,156
2005-02-19,84,148
2005-02-19,24,92
2005-02-20,67,121
2005-02-20,15,170
2005-02-21,57,99
2005-02-21,16,57
2005-02-22,74,110
2005-02-22,24,95
2005-02-23,81,129
2005-02-23,25,115
2005-02-24,59,126
2005-02-24,29,132
2005-02-25,75,145
2005-02-25,24,124
2005-02-26,72,165
2005-02-26,22,119
2005-02-27,74,171
2005-02-27,34,153
2005-02-28,76,191
2005-02-28,35,169
2005-03-01,80,190
2005-03-01,23,123
2005-03-02,70,185
2005-03-02,19,104
2005-03-03,80,183
2005-03-03,17,96
2005-03-04,69,173
2005-03-04,27,128
2005-03-05,73,168
2005-03-05,24,112
2005-03-06,58,151
2005-03-06,36,158
2005-03-07,51,132
2005-03-07,39,168
2005-03-08,82,191
2005-03-08,43,158
2005-03-09,89,202
2005-03-09,29,123
2005-03-10,61,134
2005-03-10,22,93
2005-03-11,57,137
2005-03-11,19,93
2005-03-12,64,147
2005-03-12,20,101
2005-03-13,54,142
2005-03-13,17,86
2005-03-14,45,116
2005-03-14,11,61
2005-03-15,56,133
2005-03-15,14,81
2005-03-16,41,119
2005-03-16,15,98
2005-03-17,46,131
2005-03-17,15,92
2005-03-18,55,154
2005-03-18,20,125
2005-03-19,52,155
2005-03-19,17,109
2005-03-20,59,185
2005-03-20,24,141
2005-03-21,59,180
2005-03-21,21,112
2005-03-22,44,142
2005-03-22,29,95
2005-03-23,43,119
2005-03-23,14,62
2005-03-24,47,116
2005-03-24,20,98
2005-03-25,63,162
2005-03-25,21,112
2005-03-26,42,128
2005-03-26,18,108
2005-03-27,56,153
2005-03-27,19,109
2005-03-28,23,81
2005-03-28,17,92
2005-03-29,38,120
2005-03-29,26,131
2005-03-30,43,119
2005-03-30,21,106
2005-03-31,59,175
2005-03-31,16,94
2005-04-01,38,123
2005-04-01,12,75
2005-04-02,59,185
2005-04-02,21,135
2005-04-03,34,126
2005-04-03,27,171
2005-04-04,49,194
2005-04-04,26,162
2005-04-05,49,132
2005-04-05,15,96
2005-04-06,43,169
2005-04-06,24,134
2005-04-07,51,183
2005-04-07,29,161
2005-04-08,63,202
2005-04-08,15,80
2005-04-09,44,139
2005-04-09,16,88
2005-04-10,35,107
2005-04-10,12,69
2005-04-11,39,133
2005-04-11,13,84
2005-04-12,32,113
2005-04-12,22,142
2005-04-13,37,141
2005-04-13,27,155
2005-04-14,56,210
2005-04-14,38,194
2005-04-15,70,235
2005-04-15,39,208
2005-04-16,51,174
2005-04-16,30,164
2005-04-17,54,200
2005-04-17,25,145
2005-04-18,61,232
2005-04-18,15,88
2005-04-19,45,170
2005-04-19,11,71
2005-04-20,46,167
2005-04-20,13,87
2005-04-21,67,240
2005-04-21,41,220
2005-04-22,61,218
2005-04-22,26,136
2005-04-23,68,249
2005-04-23,79,224
2005-04-24,74,237
2005-04-24,87,243
2005-04-25,79,229
2005-04-25,31,174
2005-04-26,57,196
2005-04-26,23,137
2005-04-27,55,201
2005-04-27,28,150
2005-04-28,42,152
2005-04-28,17,104
2005-04-29,50,171
2005-04-29,14,82
2005-04-30,32,117
2005-04-30,20,121
2005-05-01,50,175
2005-05-01,27,157
2005-05-02,61,216
2005-05-02,24,148
2005-05-03,72,263
2005-05-03,54,197
2005-05-04,74,256
