Date,MAX,MIN,R.F,EVP,DR,SSH
2005-01-01,29.3,15.3,0,3.1,0,4.8
2005-01-02,28.1,16.3,0,3.2,0,5.8
2005-01-03,27.9,13.1,0,3.3,0,8.5
2005-01-04,30.5,14.1,0,2.9,0,8.7
2005-01-05,30.1,12.7,0,3.3,0,7.9
2005-01-06,31.6,13.9,0,3.2,0,8.4
2005-01-07,31.1,12.8,0,3.2,0,9.2
2005-01-08,31.5,11.1,0,3.3,0,9
2005-01-09,30.7,11.5,0,3.8,0,9.2
2005-01-10,31.7,10.2,0,2.9,0,9.2
2005-01-11,29.7,7.7,0,4.4,0,9.1
2005-01-12,27.8,9.3,0,2.8,0,9.1
2005-01-13,30.1,8.6,0,3,0,9
2005-01-14,30.8,8.9,0,3.4,0,8.2
2005-01-15,30.7,10.1,0,4.6,0,9
2005-01-16,31.1,11.4,0,3.4,0,9.1
2005-01-17,29.7,12.8,0,3.5,0,9.3
2005-01-18,28.9,6.7,0,3.7,0,9.5
2005-01-19,27.3,5.9,0,3.4,0,9.5
2005-01-20,26.8,7.4,0,3.9,0,9.2
2005-01-21,29.5,10,0,3.9,0,8.7
2005-01-22,31,12.3,0,2.8,0,9.2
2005-01-23,31.4,11.6,0,3.4,0,9.2
2005-01-24,32.1,10.5,0,4.3,0,9.5
2005-01-25,30.2,13,0,3.9,0,9.3
2005-01-26,32.9,12.2,0,3.4,0,9
2005-01-27,32.8,14.3,0,4.3,0,6.8
2005-01-28,30,12.8,0,3.6,0,9.8
2005-01-29,29.1,13.2,0,4.1,0,9
2005-01-30,27.8,12.9,0,4,0,4.2
2005-01-31,25.2,12.6,10,3.5,2,4.6
2005-02-01,21.1,13.4,0,2.1,0,5.3
2005-02-02,23,8.7,0,1.9,0,10.1
2005-02-03,27.8,10.3,0,2.9,0,8.8
2005-02-04,30,12,0,3.6,0,9.1
2005-02-05,30.6,13.4,0,3.5,0,10.1
2005-02-06,33.1,13.8,0,3.9,0,9.7
2005-02-07,31.1,13.1,0,4.9,0,10.4
2005-02-08,31.6,13.1,0,5,0,9.9
2005-02-09,31.9,11.9,0,4.9,0,10.5
2005-02-10,33.3,11.7,0,3.7,0,10.6
2005-02-11,34.5,12.5,0,0,0,0
2005-02-12,34.3,12.9,0,4.1,0,10.2
2005-02-13,34,13.2,0,4.2,0,10.5
2005-02-14,34.8,12.7,0,5,0,10.5
2005-02-15,35.9,10,0,5.5,0,10.9
2005-02-16,35.5,10.8,0,6.6,0,10.3
2005-02-17,32.2,13.6,0,4.7,0,10.7
2005-02-18,30.8,13.9,0,6.2,0,10.4
2005-02-19,28.5,11.9,0,5.8,0,10.5
2005-02-20,31.1,9.2,0,4.8,0,10.6
2005-02-21,31.9,9.3,0,6.1,0,10.4
2005-02-22,30.4,5.7,0,6.1,0,10.5
2005-02-23,30.2,9.6,0,4,0,10.4
2005-02-24,33.3,11.8,0,4.8,0,10.4
2005-02-25,34.4,13.4,0,6.6,0,10.2
2005-02-26,34.8,15.2,0,5.4,0,10.1
2005-02-27,35.7,16.3,0,5.2,0,6.7
2005-02-28,35.9,17.6,0,5,0,8.7
2005-03-01,35.5,16.4,0,5.8,0,8.5
2005-03-02,35.1,17,0,6.6,0,9.8
2005-03-03,35.8,15.4,0,5.2,0,9.6
2005-03-04,35.1,15.8,0,7.3,0,9.3
2005-03-05,34.1,14.8,0,5.6,0,9.5
