ABBREVIATIONS,USED,FOR,DAILY,SURFACE,TAB2,DATA,:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
----------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDEX,=,INDEX,NO.,OF,THE,STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN,=,MONTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT,=,DATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAX,=,MAXIMUM,TEMPERATURE,(in,degree,C),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIN,=,MINIMUM,TEMPERATURE,(in,degree,C),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AW,=,AVERAGE,WIND,SPEED,(in,Kms.,per,Hour),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R/F,=,RAINFALL,(in,mm,),IN,24,HOURS,ENDING,O830,HOURS,IST,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVP,=,EVAPORATION,(in,mm,),IN,24,HOURS,ENDING,O830,HOURS,IST,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRNRF,=,DURATION,OF,RAINFALL,IN,24,HOURS,IN,HOURS,AND,MINUTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSH,=,DURATION,OF,SUNSHINE,IN,HOURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SQ,=,TOTAL,NNUMBER,OF,SQUALLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,=,NATURE,OF,SQUALLS,(in,Code),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FFF,=,MAXIMUM,FORCE,OF,WIND,(in,Kms.,per,Hour),IN,HIGHEST,SQUALL,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,=,DIRECTION,OF,WIND,IN,HIGHEST,SQUALL,(in,code),IN,8,POINTS,OF,COMPASS,,,,,,,,,,,,,,,,,,,,,,,,,
0,-,NORTHERLY,1,-,NORTH,EASTERLY,2,-,EASTERLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,-,SOUTH,EASTERLY,4,-,SOUTHERLY,5,-,SOUTH,WESTERLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,-,WESTERLY,7,-,NORTH,WESTERLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOCSQ,=,TIME,OF,OCCURRENCE,OF,HIGHEST,SQUALL,IN,HOURS,AND,MINUTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DU,=,DURATION,OF,HIGHEST,SQUALL,IN,MINUTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RA,=,WEATHER,DAY,WITH,RAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DZ,=,WEATHER,DAY,WITH,DRIZZLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN,=,WEATHER,DAY,WITH,SNOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SL,=,WEATHER,DAY,WITH,SLEET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HA,=,WEATHER,DAY,WITH,HAIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TH,=,WEATHER,DAY,WITH,THUNDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
