Min Price,Max Price ,Modal Price ,Price Date
300,650,600,2017/04/10
300,650,600,2017/04/10
300,650,600,2017/04/10
300,600,500,2017/04/11
300,600,500,2017/04/11
1000,1000,1000,2017/04/11
1000,1000,1000,2017/04/12
1000,1000,1000,2017/04/12
1000,1000,1000,2017/04/12
1000,1000,1000,2017/04/13
1000,1000,1000,2017/04/13
1000,1000,1000,2017/04/13
1000,1000,1000,2017/04/14
1000,1000,1000,2017/04/14
600,650,630,2017/04/14
650,650,650,2017/04/15
550,650,600,2017/04/15
400,600,500,2017/04/16
300,600,450,2017/04/16
600,600,600,2017/04/16
