"Index" "Modal.PriceBrinjal" "Modal.PricePotato" "Modal.PriceLadiesfing" "Modal.PriceCarrot" "Modal.PriceTomato" "Modal.Price.bitter.groud" "Modal.Price.beetroot" "Modal.Price.ginger" "Modal.Price.garlic" "PetrolPrice" "Modal.Price.cauliflower" "Modal.Price.cabbage" "Modal.PriceOnion"
"2012-01-08" 2012-01-08 900 487.5 2025 1000 437.5 1516.66666666667 1350 1833.33333333333 1500 78.57 666.666666666667 916.666666666667 750
"2012-01-15" 2012-01-15 1626.19047619048 557.738095238095 2815.47619047619 1191.07142857143 532.738095238095 1516.66666666667 1350 1833.33333333333 1500 78.57 666.666666666667 916.666666666667 779.761904761905
"2012-01-22" 2012-01-22 2040.47619047619 558.571428571429 3203.65646258503 1126.78571428571 692.261904761905 1516.66666666667 1350 1833.33333333333 1500 78.57 666.666666666667 916.666666666667 911.904761904762
"2012-01-29" 2012-01-29 1920.2380952381 563.571428571429 2937.00396825397 1105.35714285714 549.149659863946 1516.66666666667 1350 1833.33333333333 1500 78.57 666.666666666667 916.666666666667 953.571428571429
"2012-02-05" 2012-02-05 1575 538.095238095238 3413.01020408163 1216.07142857143 567.559523809524 1516.66666666667 1350 1833.33333333333 1500 78.57 666.666666666667 916.666666666667 990.47619047619
"2012-02-12" 2012-02-12 1345.2380952381 580.357142857143 3448.4693877551 1153.57142857143 628.571428571429 1516.66666666667 1350 1833.33333333333 1500 78.57 666.666666666667 916.666666666667 810.714285714286
"2012-02-19" 2012-02-19 1502.38095238095 547.321428571429 3232.73809523809 1115.47619047619 757.993197278912 1516.66666666667 1350 1833.33333333333 1500 78.57 666.666666666667 916.666666666667 808.163265306122
"2012-02-26" 2012-02-26 1226.19047619048 625 3478.82653061224 1085.71428571429 730.952380952381 1516.66666666667 1350 1833.33333333333 1500 78.57 666.666666666667 916.666666666667 783.333333333333
"2012-03-04" 2012-03-04 1121.42857142857 560.714285714286 3207.14285714286 1097.61904761905 744.047619047619 1516.66666666667 1350 1833.33333333333 1500 78.57 666.666666666667 916.666666666667 682.142857142857
"2012-03-11" 2012-03-11 1266.66666666667 739.642857142857 3226.19047619048 1089.28571428571 851.488095238095 1516.66666666667 1350 1833.33333333333 1500 78.57 666.666666666667 916.666666666667 602.480158730159
"2012-03-18" 2012-03-18 1380.61224489796 845.714285714286 3390.30612244898 1021.42857142857 883.163265306122 1516.66666666667 1350 1833.33333333333 1500 78.57 666.666666666667 916.666666666667 609.69387755102
"2012-03-25" 2012-03-25 1447.44897959184 900 2958.33333333333 1114.28571428571 1248.80952380952 1516.66666666667 1350 1833.33333333333 1500 78.57 666.666666666667 916.666666666667 707.142857142857
"2012-04-01" 2012-04-01 1269.89795918367 979.761904761905 3558.03571428571 1333.92857142857 1191.32653061224 1516.66666666667 1350 1833.33333333333 1500 78.57 666.666666666667 916.666666666667 830.442176870748
"2012-04-08" 2012-04-08 1304.08163265306 1015 3152.67857142857 1471.42857142857 1360.03401360544 1516.66666666667 1350 1833.33333333333 1500 78.57 666.666666666667 916.666666666667 988.43537414966
"2012-04-15" 2012-04-15 1185.71428571429 1137.85714285714 2925 1422.61904761905 1369.04761904762 1516.66666666667 1350 1833.33333333333 1500 78.57 666.666666666667 916.666666666667 952.380952380952
"2012-04-22" 2012-04-22 1122.61904761905 1162.14285714286 2525 1392.85714285714 1325 1516.66666666667 1350 1833.33333333333 1500 78.57 666.666666666667 916.666666666667 964.285714285714
"2012-04-29" 2012-04-29 1172.61904761905 1296.78571428571 2303.57142857143 1575 1465.47619047619 1516.66666666667 1350 1833.33333333333 1500 78.57 666.666666666667 916.666666666667 723.809523809524
"2012-05-06" 2012-05-06 1018.97959183673 1336.42857142857 2065.51020408163 1710.71428571429 1486.17346938776 1516.66666666667 1350 1833.33333333333 1500 78.57 666.666666666667 916.666666666667 609.897959183673
"2012-05-13" 2012-05-13 988.265306122449 1268.57142857143 1722.95918367347 1403.57142857143 1257.65306122449 1516.66666666667 1350 1833.33333333333 1500 78.57 666.666666666667 916.666666666667 637.755102040816
"2012-05-20" 2012-05-20 935.714285714286 1433.57142857143 1403.57142857143 1619.64285714286 1122.85714285714 1516.66666666667 1350 1833.33333333333 1500 78.57 666.666666666667 916.666666666667 592.857142857143
"2012-05-27" 2012-05-27 829.336734693878 1490.35714285714 1278.60544217687 1362.5 1261.90476190476 1516.66666666667 1350 1833.33333333333 1500 78.57 666.666666666667 916.666666666667 608.673469387755
"2012-06-03" 2012-06-03 889.285714285714 1332.85714285714 1396.42857142857 1535.71428571429 978.571428571429 1516.66666666667 1350 1833.33333333333 1500 78.2671428571429 666.666666666667 916.666666666667 557.142857142857
"2012-06-10" 2012-06-10 1172.85714285714 1339.28571428571 1535.71428571429 1564.28571428571 929.081632653061 1516.66666666667 1350 1833.33333333333 1500 76.45 666.666666666667 916.666666666667 526.530612244898
"2012-06-17" 2012-06-17 1466.32653061224 1302.85714285714 1773.97959183673 1650 927.040816326531 1516.66666666667 1350 1833.33333333333 1500 76.45 666.666666666667 916.666666666667 565.30612244898
"2012-06-24" 2012-06-24 1336.30952380952 970 1725.59523809524 1243.57142857143 997.619047619048 1516.66666666667 1350 1833.33333333333 1500 76.45 666.666666666667 916.666666666667 589.880952380952
"2012-07-01" 2012-07-01 1535.71428571429 1326.42857142857 1842.85714285714 1746.42857142857 935.714285714286 1516.66666666667 1350 1833.33333333333 1500 75.1214285714286 666.666666666667 916.666666666667 803.571428571429
"2012-07-08" 2012-07-08 1182.65306122449 1425.71428571429 1561.22448979592 1800 1164.54081632653 1503.23129251701 1355.10204081633 1828.57142857143 1500 73.35 665.986394557823 921.08843537415 1254.28571428571
"2012-07-15" 2012-07-15 1005.10204081633 1487.85714285714 1488.26530612245 1750 1234.18367346939 1760.20408163265 1256.63265306122 1932.14285714286 1500 73.35 715.30612244898 867.857142857143 1472.95918367347
"2012-07-22" 2012-07-22 861.813186813187 1551.42857142857 1467.03296703297 1782.14285714286 1334.34065934066 1733.79120879121 1198.35164835165 2010.71428571429 1500 73.35 712.912087912088 807.692307692308 1614.56043956044
"2012-07-29" 2012-07-29 883.571428571429 1565 1811.73469387755 1857.14285714286 1127.55102040816 1648.97959183673 1166.83673469388 2071.42857142857 1500 74.7542857142857 761.734693877551 709.69387755102 1615.30612244898
"2012-08-05" 2012-08-05 1057.14285714286 1618.57142857143 1707.14285714286 1900 982.142857142857 1604.59183673469 1096.42857142857 2035.71428571429 1500 75.14 653.571428571429 552.857142857143 1778.57142857143
"2012-08-12" 2012-08-12 1130.10204081633 1540 1671.42857142857 1785.71428571429 882.65306122449 1588.77551020408 947.959183673469 2203.57142857143 1585.71428571429 75.14 624.183673469388 476.020408163265 2021.42857142857
"2012-08-19" 2012-08-19 1102.74725274725 1482.14285714286 1858.79120879121 1867.85714285714 1043.95604395604 1575.82417582418 883.516483516484 2175 1676.42857142857 75.14 639.010989010989 458.791208791209 2127.47252747253
"2012-08-26" 2012-08-26 1128.57142857143 1508.92857142857 1747.14285714286 1846.42857142857 986.428571428571 1456.42857142857 676.190476190476 2087.5 1617.5 75.14 609.285714285714 407.428571428571 2628.57142857143
"2012-09-02" 2012-09-02 1080 1431.07142857143 1582.85714285714 1862.5 761.428571428571 1381.42857142857 538.571428571429 2030.35714285714 1621.07142857143 75.14 522.285714285714 380.714285714286 3482.85714285714
"2012-09-09" 2012-09-09 985.853174603175 1442.85714285714 1513.69047619048 1905.95238095238 711.72619047619 1291.07142857143 451.468253968254 2099.40476190476 1600 75.14 466.051587301587 364.801587301587 3707.30158730159
"2012-09-16" 2012-09-16 1149.41130298273 1371.42857142857 1825.19623233909 1803.57142857143 572.174254317111 1407.81004709576 538.540031397174 2135.71428571429 1600 75.14 671.978021978022 362.990580847724 3681.16169544741
