Modal Price beetroot,Price Date
1400,2012/07/08
1250,2012/07/09
1250,2012/07/10
1300,2012/07/11
1300,2012/07/12
1200,2012/07/13
1250,2012/07/15
1250,2012/07/16
1250,2012/07/17
1100,2012/07/19
1250,2012/07/20
1150,2012/07/22
1250,2012/07/23
1100,2012/07/24
1100,2012/07/25
1150,2012/07/26
1250,2012/07/27
1150,2012/07/29
1150,2012/07/30
1050,2012/07/31
1400,2012/08/01
800,2012/08/01
1150,2012/08/02
700,2012/08/02
1250,2012/08/03
1000,2012/08/04
1200,2012/08/05
1100,2012/08/06
900,2012/08/07
1100,2012/08/08
950,2012/08/09
850,2012/08/10
850,2012/08/12
850,2012/08/13
900,2012/08/14
1000,2012/08/16
800,2012/08/17
900,2012/08/19
600,2012/08/20
800,2012/08/21
550,2012/08/22
750,2012/08/26
700,2012/08/27
700,2012/08/28
650,2012/08/29
450,2012/08/30
350,2012/09/02
450,2012/09/03
400,2012/09/04
500,2012/09/07
450,2012/09/09
450,2012/09/10
500,2012/09/12
500,2012/09/13
500,2012/09/14
750,2012/09/16
650,2012/09/17
500,2012/09/18
450,2012/09/19
450,2012/09/20
450,2012/09/21
450,2012/09/23
400,2012/09/24
450,2012/09/25
400,2012/09/26
550,2012/09/27
500,2012/09/28
450,2012/10/01
450,2012/10/03
450,2012/10/04
400,2012/10/05
500,2012/10/07
400,2012/10/08
400,2012/10/09
450,2012/10/11
400,2012/10/12
450,2012/10/14
450,2012/10/15
450,2012/10/16
450,2012/10/17
500,2012/10/18
500,2012/10/21
500,2012/10/22
450,2012/10/23
450,2012/10/26
450,2012/10/28
450,2012/10/29
450,2012/10/30
400,2012/10/31
450,2012/11/01
450,2012/11/02
450,2012/11/04
450,2012/11/06
550,2012/11/08
500,2012/11/09
500,2012/11/11
450,2012/11/12
450,2012/11/13
500,2012/11/16
350,2012/11/18
650,2012/11/19
1000,2012/11/20
750,2012/11/21
750,2012/11/22
850,2012/11/23
650,2012/11/25
650,2012/11/26
700,2012/11/27
650,2012/11/28
700,2012/11/29
700,2012/11/30
700,2012/12/10
600,2012/12/11
700,2012/12/12
550,2012/12/16
550,2012/12/17
900,2012/12/17
600,2012/12/18
600,2012/12/19
550,2012/12/20
550,2012/12/21
550,2012/12/27
550,2012/12/28
600,2012/12/30
550,2012/12/31
550,2013/01/01
400,2013/01/01
550,2013/01/02
600,2013/01/02
500,2013/01/03
800,2013/01/03
550,2013/01/04
500,2013/01/04
500,2013/01/05
500,2013/01/06
500,2013/01/06
650,2013/01/07
450,2013/01/07
500,2013/01/08
550,2013/01/09
500,2013/01/10
550,2013/01/10
500,2013/01/11
1000,2013/01/11
500,2013/01/13
500,2013/01/14
