Modal Price bitter groud,Price Date
1400,2012/07/08
1750,2012/07/09
1600,2012/07/10
1750,2012/07/10
1600,2012/07/11
1850,2012/07/12
1950,2012/07/13
1700,2012/07/15
1750,2012/07/16
1750,2012/07/17
1600,2012/07/19
1850,2012/07/20
1900,2012/07/20
1700,2012/07/22
1700,2012/07/23
1750,2012/07/24
1600,2012/07/25
1600,2012/07/26
2000,2012/07/26
1500,2012/07/27
1600,2012/07/29
1600,2012/07/30
1500,2012/07/31
1500,2012/08/01
1800,2012/08/01
1300,2012/08/02
1900,2012/08/02
1600,2012/08/03
2100,2012/08/03
1400,2012/08/05
1500,2012/08/06
2000,2012/08/07
1600,2012/08/08
1400,2012/08/09
1600,2012/08/10
1500,2012/08/12
1500,2012/08/13
1500,2012/08/14
1700,2012/08/16
1600,2012/08/17
1600,2012/08/19
1300,2012/08/20
1400,2012/08/21
1400,2012/08/22
1600,2012/08/23
1500,2012/08/26
1500,2012/08/27
1250,2012/08/28
1250,2012/08/29
1500,2012/08/30
1400,2012/09/02
1350,2012/09/03
1250,2012/09/04
1300,2012/09/07
1250,2012/09/09
1400,2012/09/10
1300,2012/09/12
1500,2012/09/13
1450,2012/09/14
1450,2012/09/16
1400,2012/09/17
750,2012/09/18
1500,2012/09/19
1600,2012/09/20
1600,2012/09/21
1300,2012/09/24
1400,2012/09/25
1400,2012/09/26
1500,2012/09/27
1600,2012/09/28
1600,2012/10/01
1500,2012/10/03
1400,2012/10/04
1350,2012/10/05
1400,2012/10/07
1400,2012/10/08
1250,2012/10/09
1600,2012/10/11
1600,2012/10/12
1700,2012/10/14
1500,2012/10/15
1600,2012/10/16
1850,2012/10/18
1500,2012/10/21
1600,2012/10/22
1400,2012/10/23
1400,2012/10/26
1400,2012/10/28
1300,2012/10/29
1400,2012/10/30
1500,2012/10/31
1600,2012/11/01
1850,2012/11/02
1600,2012/11/04
1600,2012/11/06
1850,2012/11/07
1600,2012/11/08
1400,2012/11/09
1600,2012/11/11
1400,2012/11/12
1300,2012/11/13
1600,2012/11/16
1250,2012/11/18
1400,2012/11/19
1650,2012/11/20
1500,2012/11/21
1700,2012/11/22
1700,2012/11/23
1700,2012/11/25
1500,2012/11/26
1500,2012/11/27
1600,2012/11/28
1600,2012/11/29
1700,2012/11/30
1700,2012/12/09
1300,2012/12/10
1500,2012/12/11
1500,2012/12/12
1700,2012/12/16
1950,2012/12/17
2000,2012/12/18
1950,2012/12/19
2000,2012/12/20
1800,2012/12/21
1900,2012/12/27
1800,2012/12/28
1850,2012/12/30
1800,2012/12/31
1800,2013/01/01
1700,2013/01/02
1750,2013/01/02
1950,2013/01/03
2500,2013/01/03
1950,2013/01/04
2000,2013/01/04
1700,2013/01/06
1850,2013/01/07
1500,2013/01/07
2200,2013/01/08
2400,2013/01/08
1800,2013/01/09
2100,2013/01/10
1500,2013/01/10
2100,2013/01/11
1950,2013/01/13
1900,2013/01/13
1850,2013/01/14
2100,2013/01/15
1950,2013/01/17
1950,2013/01/18
2250,2013/01/20
1750,2013/01/20
2050,2013/01/21
2150,2013/01/22
2150,2013/01/23
2000,2013/01/24
2150,2013/01/25
2050,2013/01/27
2150,2013/01/28
2450,2013/01/29
2250,2013/01/30
2150,2013/02/01
1350,2013/02/03
2150,2013/02/04
2150,2013/02/05
2050,2013/02/06
2000,2013/02/06
2000,2013/02/10
2500,2013/02/10
2400,2013/02/11
2050,2013/02/12
2400,2013/02/13
2400,2013/02/14
2400,2013/02/15
2500,2013/02/16
2250,2013/02/17
2000,2013/02/17
2000,2013/02/18
2150,2013/02/19
2150,2013/02/20
2300,2013/02/21
2000,2013/02/21
1750,2013/02/24
2400,2013/02/25
2250,2013/02/26
1250,2013/03/01
2000,2013/03/03
2500,2013/03/05
2000,2013/03/05
2500,2013/03/07
2500,2013/03/08
2500,2013/03/08
2750,2013/03/10
2500,2013/03/10
2600,2013/03/11
2400,2013/03/12
2400,2013/03/13
2850,2013/03/14
2500,2013/03/15
2000,2013/03/15
2750,2013/03/17
2500,2013/03/18
2850,2013/03/19
2600,2013/03/20
2500,2013/03/20
2500,2013/03/21
2500,2013/03/22
2750,2013/03/25
2500,2013/03/26
2700,2013/03/28
3000,2013/03/28
2600,2013/03/29
3000,2013/03/29
2500,2013/03/30
2850,2013/03/31
2500,2013/03/31
2600,2013/04/01
3000,2013/04/02
2850,2013/04/03
2500,2013/04/03
3500,2013/04/05
3000,2013/04/07
2850,2013/04/08
2000,2013/04/08
3500,2013/04/08
2600,2013/04/09
2500,2013/04/11
2750,2013/04/12
3500,2013/04/12
2750,2013/04/14
3250,2013/04/14
2500,2013/04/15
2900,2013/04/15
2500,2013/04/16
3500,2013/04/16
2500,2013/04/17
3000,2013/04/17
2750,2013/04/18
3200,2013/04/18
2750,2013/04/19
2200,2013/04/19
2000,2013/04/20
2750,2013/04/21
3200,2013/04/21
2500,2013/04/22
2750,2013/04/22
3000,2013/04/22
2750,2013/04/23
2500,2013/04/23
2500,2013/04/24
3000,2013/04/24
2250,2013/04/25
2500,2013/04/26
2100,2013/04/27
2500,2013/04/28
2400,2013/04/28
2750,2013/04/28
2500,2013/04/29
2500,2013/04/29
2750,2013/04/30
2000,2013/05/02
3200,2013/05/02
2500,2013/05/03
2700,2013/05/03
3500,2013/05/04
2750,2013/05/05
250,2013/05/05
2500,2013/05/06
2250,2013/05/06
3050,2013/05/06
2500,2013/05/07
2500,2013/05/07
3300,2013/05/07
2600,2013/05/08
3200,2013/05/08
2500,2013/05/09
1500,2013/05/09
3100,2013/05/09
2850,2013/05/10
2250,2013/05/10
3000,2013/05/10
2850,2013/05/12
3200,2013/05/12
2750,2013/05/13
3500,2013/05/13
2850,2013/05/14
2250,2013/05/14
3000,2013/05/15
1500,2013/05/15
3000,2013/05/15
2750,2013/05/16
2500,2013/05/16
3000,2013/05/16
2000,2013/05/17
3400,2013/05/17
2750,2013/05/19
2000,2013/05/19
3250,2013/05/20
3000,2013/05/21
3000,2013/05/21
2750,2013/05/23
2750,2013/05/24
3000,2013/05/24
3250,2013/05/24
3250,2013/05/25
2750,2013/05/26
2500,2013/05/27
3250,2013/05/28
2750,2013/05/29
2500,2013/05/29
3100,2013/05/29
3000,2013/05/30
2500,2013/05/30
3250,2013/05/30
2600,2013/05/31
2200,2013/05/31
2900,2013/06/02
3250,2013/06/09
3500,2013/06/11
2500,2013/06/12
3000,2013/06/13
3500,2013/06/14
3000,2013/06/16
3000,2013/06/17
2750,2013/06/18
3000,2013/06/19
3000,2013/06/20
2600,2013/06/21
4000,2013/06/21
2750,2013/06/23
3000,2013/06/23
2750,2013/06/24
5500,2013/06/24
4000,2013/06/25
3500,2013/06/26
3250,2013/06/27
3000,2013/06/28
3000,2013/06/30
3000,2013/07/01
3500,2013/07/02
3000,2013/07/03
2750,2013/07/04
3000,2013/07/05
4500,2013/07/06
