Modal PriceBrinjal,Price Date
850,2012/01/07
900,2012/01/08
1000,2012/01/08
600,2012/01/09
2000,2012/01/09
800,2012/01/09
600,2012/01/10
2200,2012/01/10
500,2012/01/10
1150,2012/01/11
2600,2012/01/11
1350,2012/01/11
1550,2012/01/11
1350,2012/01/12
3000,2012/01/12
1900,2012/01/12
1900,2012/01/12
1200,2012/01/13
1900,2012/01/13
1600,2012/01/14
1600,2012/01/14
1850,2012/01/15
2750,2012/01/15
1850,2012/01/16
1750,2012/01/16
2500,2012/01/17
1600,2012/01/17
2150,2012/01/17
2000,2012/01/18
2900,2012/01/18
2400,2012/01/19
1750,2012/01/19
1800,2012/01/20
2000,2012/01/20
2500,2012/01/21
1750,2012/01/21
2050,2012/01/22
1650,2012/01/22
2050,2012/01/23
2750,2012/01/23
2000,2012/01/24
2000,2012/01/24
1500,2012/01/24
2050,2012/01/25
2050,2012/01/25
2100,2012/01/25
2500,2012/01/25
1500,2012/01/27
2750,2012/01/27
1200,2012/01/28
1750,2012/01/29
1250,2012/01/30
1400,2012/01/30
2750,2012/01/30
1300,2012/01/31
1650,2012/01/31
1750,2012/01/31
2500,2012/01/31
1300,2012/02/01
1650,2012/02/01
1500,2012/02/01
2250,2012/02/01
1250,2012/02/02
1600,2012/02/02
1600,2012/02/02
2100,2012/02/02
1150,2012/02/03
2000,2012/02/03
1150,2012/02/03
2150,2012/02/03
1350,2012/02/04
1250,2012/02/05
1050,2012/02/05
1250,2012/02/06
1250,2012/02/06
1050,2012/02/07
2000,2012/02/07
1350,2012/02/07
1150,2012/02/08
1750,2012/02/08
1300,2012/02/09
2050,2012/02/09
1500,2012/02/10
350,2012/02/11
2250,2012/02/12
1200,2012/02/12
2400,2012/02/13
2000,2012/02/13
1200,2012/02/13
1300,2012/02/14
1750,2012/02/14
2000,2012/02/14
1300,2012/02/15
1550,2012/02/15
1500,2012/02/17
1600,2012/02/17
1400,2012/02/17
1400,2012/02/18
1150,2012/02/19
1100,2012/02/20
1400,2012/02/20
1100,2012/02/21
1050,2012/02/21
1000,2012/02/22
1150,2012/02/23
1900,2012/02/23
1100,2012/02/23
1000,2012/02/24
1050,2012/02/24
1400,2012/02/25
1600,2012/02/26
1300,2012/02/26
1150,2012/02/27
1050,2012/02/27
850,2012/02/28
1050,2012/02/29
1150,2012/02/29
900,2012/03/01
1700,2012/03/01
1150,2012/03/01
750,2012/03/02
1250,2012/03/02
1300,2012/03/03
1250,2012/03/04
1250,2012/03/04
1250,2012/03/05
1400,2012/03/06
1300,2012/03/06
1500,2012/03/07
1200,2012/03/09
1050,2012/03/11
1050,2012/03/12
1500,2012/03/12
1300,2012/03/13
1400,2012/03/13
1400,2012/03/14
1500,2012/03/15
1350,2012/03/16
1400,2012/03/18
1350,2012/03/19
1350,2012/03/20
1500,2012/03/21
1300,2012/03/23
1600,2012/03/24
1500,2012/03/25
1700,2012/03/25
1600,2012/03/25
1500,2012/03/26
2000,2012/03/26
1300,2012/03/26
1300,2012/03/27
