Modal Price cauliflower,Price Date
650,2012/07/08
700,2012/07/09
650,2012/07/10
850,2012/07/10
750,2012/07/11
750,2012/07/12
650,2012/07/13
700,2012/07/15
750,2012/07/16
750,2012/07/17
650,2012/07/19
700,2012/07/20
750,2012/07/20
700,2012/07/22
650,2012/07/23
850,2012/07/24
800,2012/07/25
800,2012/07/25
750,2012/07/26
800,2012/07/26
800,2012/07/27
700,2012/07/29
750,2012/07/30
750,2012/07/31
750,2012/08/01
450,2012/08/01
650,2012/08/02
500,2012/08/02
650,2012/08/03
450,2012/08/03
550,2012/08/04
800,2012/08/05
750,2012/08/06
750,2012/08/07
600,2012/08/07
650,2012/08/08
670,2012/08/09
500,2012/08/10
550,2012/08/12
600,2012/08/13
650,2012/08/14
650,2012/08/16
650,2012/08/17
650,2012/08/19
600,2012/08/20
600,2012/08/21
650,2012/08/22
550,2012/08/23
650,2012/08/26
600,2012/08/27
600,2012/08/28
520,2012/08/29
500,2012/08/30
450,2012/09/02
500,2012/09/03
500,2012/09/04
350,2012/09/07
550,2012/09/09
550,2012/09/10
650,2012/09/12
600,2012/09/13
750,2012/09/14
800,2012/09/16
850,2012/09/17
1100,2012/09/19
900,2012/09/20
1100,2012/09/21
950,2012/09/23
850,2012/09/24
1050,2012/09/25
1100,2012/09/26
1150,2012/09/27
1300,2012/09/28
1100,2012/10/01
800,2012/10/03
800,2012/10/04
700,2012/10/05
700,2012/10/07
700,2012/10/08
750,2012/10/09
750,2012/10/11
850,2012/10/12
900,2012/10/14
800,2012/10/15
900,2012/10/16
900,2012/10/17
900,2012/10/18
950,2012/10/21
1000,2012/10/22
900,2012/10/23
850,2012/10/26
950,2012/10/28
750,2012/10/29
700,2012/10/30
750,2012/10/31
850,2012/11/01
850,2012/11/02
700,2012/11/04
850,2012/11/06
650,2012/11/07
700,2012/11/08
700,2012/11/09
700,2012/11/11
500,2012/11/12
550,2012/11/13
600,2012/11/16
400,2012/11/18
500,2012/11/19
450,2012/11/20
350,2012/11/21
400,2012/11/22
300,2012/11/23
400,2012/11/25
400,2012/11/26
300,2012/11/27
300,2012/11/28
350,2012/11/29
400,2012/11/30
300,2012/12/09
350,2012/12/10
350,2012/12/11
300,2012/12/12
450,2012/12/14
350,2012/12/16
350,2012/12/17
350,2012/12/17
650,2012/12/18
400,2012/12/19
400,2012/12/20
350,2012/12/21
450,2012/12/27
450,2012/12/28
450,2012/12/30
500,2012/12/31
1000,2013/01/01
400,2013/01/01
500,2013/01/02
350,2013/01/02
500,2013/01/03
350,2013/01/03
550,2013/01/04
350,2013/01/04
350,2013/01/05
500,2013/01/06
500,2013/01/06
500,2013/01/07
450,2013/01/07
450,2013/01/08
450,2013/01/08
550,2013/01/09
450,2013/01/10
600,2013/01/10
450,2013/01/11
550,2013/01/11
500,2013/01/13
500,2013/01/13
700,2013/01/14
600,2013/01/14
550,2013/01/15
600,2013/01/16
550,2013/01/17
550,2013/01/17
600,2013/01/18
600,2013/01/18
400,2013/01/19
550,2013/01/20
500,2013/01/20
600,2013/01/21
900,2013/01/21
450,2013/01/22
550,2013/01/22
450,2013/01/23
450,2013/01/24
450,2013/01/25
600,2013/01/25
500,2013/01/28
400,2013/01/28
450,2013/01/29
350,2013/01/29
400,2013/01/30
450,2013/02/01
350,2013/02/01
300,2013/02/02
250,2013/02/03
360,2013/02/04
300,2013/02/05
300,2013/02/05
350,2013/02/06
250,2013/02/06
350,2013/02/10
250,2013/02/10
450,2013/02/11
350,2013/02/11
350,2013/02/12
350,2013/02/13
350,2013/02/14
500,2013/02/14
350,2013/02/15
300,2013/02/15
350,2013/02/16
450,2013/02/17
300,2013/02/17
600,2013/02/18
450,2013/02/19
400,2013/02/20
500,2013/02/20
450,2013/02/21
400,2013/02/21
400,2013/02/24
500,2013/02/25
400,2013/02/25
450,2013/02/26
550,2013/02/26
400,2013/02/27
650,2013/03/01
650,2013/03/02
450,2013/03/03
500,2013/03/04
550,2013/03/05
550,2013/03/05
650,2013/03/07
650,2013/03/07
650,2013/03/08
600,2013/03/08
550,2013/03/09
700,2013/03/10
500,2013/03/10
700,2013/03/11
650,2013/03/11
650,2013/03/12
700,2013/03/12
650,2013/03/13
700,2013/03/13
650,2013/03/14
750,2013/03/15
600,2013/03/15
600,2013/03/16
750,2013/03/17
750,2013/03/18
550,2013/03/18
750,2013/03/19
650,2013/03/19
750,2013/03/20
650,2013/03/20
950,2013/03/21
900,2013/03/22
850,2013/03/22
850,2013/03/23
1050,2013/03/24
850,2013/03/25
1000,2013/03/25
950,2013/03/26
750,2013/03/26
600,2013/03/27
900,2013/03/28
550,2013/03/28
750,2013/03/29
750,2013/03/29
750,2013/03/30
650,2013/03/31
600,2013/03/31
750,2013/04/01
1100,2013/04/01
1100,2013/04/01
550,2013/04/02
1050,2013/04/02
850,2013/04/03
600,2013/04/03
750,2013/04/04
1200,2013/04/05
650,2013/04/06
1000,2013/04/06
900,2013/04/07
800,2013/04/07
950,2013/04/07
900,2013/04/08
600,2013/04/08
1150,2013/04/08
850,2013/04/09
650,2013/04/09
1100,2013/04/09
800,2013/04/10
750,2013/04/10
1050,2013/04/10
800,2013/04/11
650,2013/04/11
1050,2013/04/11
750,2013/04/12
650,2013/04/12
1150,2013/04/12
1100,2013/04/13
750,2013/04/14
550,2013/04/14
1200,2013/04/14
650,2013/04/15
500,2013/04/15
1150,2013/04/15
750,2013/04/16
550,2013/04/16
1100,2013/04/16
900,2013/04/17
700,2013/04/17
1100,2013/04/17
800,2013/04/18
750,2013/04/18
750,2013/04/18
