Modal Price garlic,Price Date
1500,2012/08/08
1500,2012/08/09
1650,2012/08/10
1750,2012/08/12
1700,2012/08/13
1820,2012/08/14
1620,2012/08/16
1650,2012/08/17
1600,2012/08/19
1600,2012/08/20
1600,2012/08/21
1600,2012/08/22
1650,2012/08/23
1620,2012/08/26
1600,2012/08/27
1650,2012/08/28
1650,2012/08/29
1620,2012/08/30
1600,2012/09/02
1600,2012/09/03
1600,2012/09/04
1600,2012/09/07
1500,2012/10/26
1500,2012/11/04
1500,2012/11/06
1500,2012/11/07
1500,2012/11/08
2850,2012/11/28
1400,2013/01/23
1500,2013/02/04
1600,2013/02/05
1600,2013/02/06
1550,2013/02/15
1600,2013/02/19
1600,2013/02/20
1600,2013/02/21
1600,2013/02/26
1600,2013/03/05
1500,2013/03/10
1500,2013/03/11
1500,2013/03/12
1500,2013/03/14
1500,2013/03/15
1500,2013/03/17
1950,2013/03/22
2100,2013/03/25
1950,2013/03/26
4350,2013/03/28
1870,2013/03/29
2150,2013/03/31
2150,2013/04/01
2150,2013/04/03
2200,2013/04/07
2200,2013/04/08
2200,2013/04/09
2250,2013/04/10
2250,2013/04/11
2750,2013/04/12
2650,2013/04/14
2650,2013/04/15
2550,2013/04/16
2500,2013/04/17
2550,2013/04/18
2500,2013/04/19
2500,2013/04/21
3000,2013/04/22
2750,2013/04/23
2850,2013/04/24
2730,2013/04/25
2650,2013/04/28
2650,2013/04/29
2750,2013/04/30
2750,2013/05/03
2750,2013/05/06
2750,2013/05/07
2750,2013/05/08
3000,2013/05/09
2750,2013/05/10
2650,2013/05/12
3000,2013/05/13
3000,2013/05/14
3000,2013/05/15
2750,2013/05/16
3000,2013/05/19
3100,2013/05/21
3000,2013/05/23
3000,2013/05/24
2750,2013/05/26
2750,2013/05/27
2750,2013/05/29
2800,2013/05/30
2750,2013/05/31
2850,2013/06/17
2800,2013/06/18
2750,2013/06/19
2750,2013/06/20
2750,2013/06/21
2750,2013/06/23
2750,2013/06/24
2750,2013/06/26
2750,2013/06/27
2750,2013/06/28
2750,2013/06/30
2750,2013/07/01
2500,2013/07/03
2750,2013/07/04
2750,2013/07/05
2750,2013/07/07
2750,2013/07/08
2750,2013/07/09
2650,2013/07/10
2750,2013/07/11
2750,2013/07/12
2750,2013/07/14
2750,2013/07/15
2750,2013/07/16
2750,2013/07/19
2750,2013/07/21
2750,2013/07/22
2750,2013/07/23
2750,2013/07/24
2250,2013/07/25
2750,2013/07/26
9500,2013/07/28
2750,2013/07/29
2750,2013/07/30
2750,2013/07/31
2750,2013/08/01
2750,2013/08/02
2750,2013/08/08
2750,2013/08/11
2750,2013/08/12
3100,2013/09/26
3150,2013/09/27
3120,2013/09/30
3100,2013/10/01
3000,2013/10/03
3130,2013/10/04
3120,2013/10/07
3100,2013/10/08
3000,2013/10/09
3000,2013/10/10
2800,2013/10/11
2850,2013/10/15
2850,2013/10/16
2800,2013/10/17
2800,2013/10/18
2870,2013/10/21
3000,2013/10/22
3000,2013/10/23
3650,2013/10/29
3750,2013/10/30
3630,2013/10/31
3750,2013/11/06
4750,2013/11/08
4750,2013/11/10
4750,2013/11/11
5500,2013/11/13
7250,2013/11/18
6750,2013/11/19
6500,2013/11/20
6500,2013/11/21
6000,2013/11/22
6130,2013/11/24
6000,2013/11/25
6000,2013/11/26
5750,2013/11/27
6250,2013/11/28
6250,2013/11/29
5500,2013/12/01
5500,2013/12/02
5500,2013/12/03
5250,2013/12/04
5250,2013/12/05
5000,2013/12/06
5000,2013/12/09
5000,2013/12/10
5000,2013/12/11
5000,2013/12/12
5000,2013/12/13
4750,2013/12/15
4750,2013/12/16
4750,2013/12/17
4500,2013/12/18
4000,2013/12/19
3500,2013/12/20
4500,2013/12/23
4500,2013/12/24
4500,2013/12/26
4500,2013/12/27
4500,2013/12/29
4500,2013/12/30
4750,2013/12/31
4750,2014/01/01
4650,2014/01/03
4500,2014/01/06
4000,2014/01/07
4000,2014/01/08
4000,2014/01/09
4000,2014/01/16
5250,2014/01/20
4000,2014/01/21
4000,2014/01/22
4000,2014/01/23
4000,2014/01/27
4000,2014/01/28
4000,2014/01/30
4000,2014/02/03
3750,2014/02/04
4000,2014/02/05
3500,2014/02/06
3500,2014/02/07
3000,2014/02/10
3000,2014/02/11
3000,2014/02/12
3250,2014/02/13
