Modal Price ginger,Price Date
1800,2012/07/08
1900,2012/07/09
1900,2012/07/10
1900,2012/07/11
1900,2012/07/12
2000,2012/07/13
1950,2012/07/15
2000,2012/07/16
2000,2012/07/17
2000,2012/07/19
2000,2012/07/20
2050,2012/07/22
2050,2012/07/23
2050,2012/07/24
2050,2012/07/25
2050,2012/07/26
2100,2012/07/27
2100,2012/07/29
1850,2012/07/30
2100,2012/08/01
2100,2012/08/02
2100,2012/08/03
2050,2012/08/05
2200,2012/08/06
2250,2012/08/07
2250,2012/08/08
2200,2012/08/09
2200,2012/08/10
2150,2012/08/12
2250,2012/08/13
2250,2012/08/14
2150,2012/08/16
2150,2012/08/17
2100,2012/08/19
2100,2012/08/20
2100,2012/08/21
2100,2012/08/22
2100,2012/08/23
2050,2012/08/26
2100,2012/08/27
2100,2012/08/28
2000,2012/08/29
2000,2012/08/30
2000,2012/09/02
2050,2012/09/03
2050,2012/09/04
2100,2012/09/07
2200,2012/09/09
2150,2012/09/10
2150,2012/09/12
2150,2012/09/13
2100,2012/09/16
2100,2012/09/17
2100,2012/09/18
2100,2012/09/19
2100,2012/09/20
2100,2012/09/21
2100,2012/09/23
2100,2012/09/24
2100,2012/09/25
2100,2012/09/26
2150,2012/09/27
2100,2012/09/28
2150,2012/10/01
2200,2012/10/03
2100,2012/10/04
2150,2012/10/05
2200,2012/10/07
2200,2012/10/08
2150,2012/10/09
2200,2012/10/11
2200,2012/10/12
2200,2012/10/14
2250,2012/10/15
2250,2012/10/16
2350,2012/10/17
2400,2012/10/21
2600,2012/10/22
2650,2012/10/23
2850,2012/10/26
2850,2012/10/28
3250,2012/10/29
3250,2012/10/30
3400,2012/10/31
3400,2012/11/02
3200,2012/11/04
3100,2012/11/06
2850,2012/11/07
2750,2012/11/08
2750,2012/11/09
2750,2012/11/11
2650,2012/11/12
1400,2012/11/13
3900,2012/11/16
4000,2012/11/18
3750,2012/11/19
3600,2012/11/20
3750,2012/11/21
3750,2012/11/22
3150,2012/11/25
3000,2012/11/26
2750,2012/11/27
2850,2012/11/28
2850,2012/11/30
3450,2012/12/09
3400,2012/12/10
3350,2012/12/11
3400,2012/12/12
3100,2012/12/16
3150,2012/12/17
3200,2012/12/18
3200,2012/12/19
3250,2012/12/20
3100,2012/12/21
2900,2012/12/27
3150,2012/12/28
3150,2012/12/30
3150,2012/12/31
3150,2013/01/01
3250,2013/01/02
3150,2013/01/03
3250,2013/01/04
3250,2013/01/06
3250,2013/01/07
3250,2013/01/08
3250,2013/01/10
3250,2013/01/11
3250,2013/01/13
3250,2013/01/14
3250,2013/01/15
3300,2013/01/17
3300,2013/01/18
3300,2013/01/20
3300,2013/01/21
3300,2013/01/22
3450,2013/01/23
3450,2013/01/24
3450,2013/01/25
3450,2013/01/27
3450,2013/01/28
3450,2013/01/29
3900,2013/01/29
3450,2013/02/01
3500,2013/02/04
3750,2013/02/05
3650,2013/02/06
3750,2013/02/10
3750,2013/02/12
3800,2013/02/13
3750,2013/02/14
3750,2013/02/15
3750,2013/02/17
3800,2013/02/19
3750,2013/02/20
3800,2013/02/21
3950,2013/02/25
3500,2013/02/27
4200,2013/03/05
4250,2013/03/07
4150,2013/03/08
4350,2013/03/10
4050,2013/03/11
4100,2013/03/12
4300,2013/03/13
4250,2013/03/14
4100,2013/03/15
4300,2013/03/17
4400,2013/03/18
4350,2013/03/19
4150,2013/03/20
4200,2013/03/21
4500,2013/03/22
4500,2013/03/25
4450,2013/03/26
1250,2013/03/28
4500,2013/03/29
4500,2013/03/31
4300,2013/04/01
4700,2013/04/03
4650,2013/04/04
4950,2013/04/07
5000,2013/04/08
5000,2013/04/09
5000,2013/04/10
5100,2013/04/11
5100,2013/04/12
5500,2013/04/14
5500,2013/04/15
5500,2013/04/16
5000,2013/04/17
5500,2013/04/18
5500,2013/04/19
5500,2013/04/21
5500,2013/04/22
2500,2013/04/23
5500,2013/04/24
5600,2013/04/25
7150,2013/04/28
7150,2013/04/29
7000,2013/04/30
8750,2013/05/05
8750,2013/05/06
8900,2013/05/07
8900,2013/05/08
8900,2013/05/09
8900,2013/05/10
8900,2013/05/12
8900,2013/05/13
8900,2013/05/14
8900,2013/05/15
9000,2013/05/16
9150,2013/05/19
9150,2013/05/21
9150,2013/05/23
9150,2013/05/24
3250,2013/05/25
9200,2013/05/26
9350,2013/05/27
9200,2013/05/29
9200,2013/05/30
9200,2013/05/31
11750,2013/06/17
11500,2013/06/18
11250,2013/06/19
11000,2013/06/20
11250,2013/06/21
11000,2013/06/23
11000,2013/06/24
11000,2013/06/26
9550,2013/06/27
9750,2013/06/28
9000,2013/06/30
9000,2013/07/01
8000,2013/07/03
9000,2013/07/04
9000,2013/07/05
9000,2013/07/08
9000,2013/07/10
9000,2013/07/12
9000,2013/07/14
9000,2013/07/15
9000,2013/07/16
9000,2013/07/19
9000,2013/07/21
9000,2013/07/22
9000,2013/07/23
9500,2013/07/24
9000,2013/07/25
9500,2013/07/26
8500,2013/07/28
9000,2013/07/29
9500,2013/07/30
9000,2013/07/31
9250,2013/08/01
9000,2013/08/02
8500,2013/08/08
7500,2013/08/11
7500,2013/08/12
6500,2013/09/26
6500,2013/09/27
6500,2013/09/30
6500,2013/10/01
4500,2013/10/03
3500,2013/10/04
4250,2013/10/07
3500,2013/10/08
3500,2013/10/09
3750,2013/10/10
3750,2013/10/11
4750,2013/10/15
5750,2013/10/16
6000,2013/10/17
6250,2013/10/18
3150,2013/10/21
4750,2013/10/22
4900,2013/10/29
5650,2013/10/30
5250,2013/10/31
5650,2013/11/06
6100,2013/11/08
5950,2013/11/10
5750,2013/11/11
5950,2013/11/13
5950,2013/11/14
5950,2013/11/18
5750,2013/11/19
6050,2013/11/20
6050,2013/11/21
5950,2013/11/22
6000,2013/11/24
6000,2013/11/25
5750,2013/11/27
5000,2013/11/28
4950,2013/11/29
4800,2013/12/01
5850,2013/12/02
5850,2013/12/03
5850,2013/12/04
5950,2013/12/05
6000,2013/12/06
6000,2013/12/09
5750,2013/12/10
5500,2013/12/11
5700,2013/12/12
5750,2013/12/13
5750,2013/12/15
5750,2013/12/16
5700,2013/12/17
5750,2013/12/18
6000,2013/12/18
5750,2013/12/19
5700,2013/12/20
4000,2013/12/21
5850,2013/12/23
5750,2013/12/24
5950,2013/12/26
5400,2013/12/27
5950,2013/12/29
6000,2013/12/30
6000,2013/12/31
5450,2014/01/01
5950,2014/01/02
5950,2014/01/03
5950,2014/01/05
5950,2014/01/06
5950,2014/01/07
5750,2014/01/08
5750,2014/01/09
5900,2014/01/10
5400,2014/01/13
5250,2014/01/13
5450,2014/01/15
5750,2014/01/16
5400,2014/01/17
5250,2014/01/20
5450,2014/01/21
5500,2014/01/22
5400,2014/01/23
5250,2014/01/24
5500,2014/01/27
5500,2014/01/28
5500,2014/01/29
5400,2014/01/30
5250,2014/01/31
5250,2014/02/03
5250,2014/02/04
5250,2014/02/05
5700,2014/02/06
5600,2014/02/07
5500,2014/02/10
5750,2014/02/11
4900,2014/02/12
5700,2014/02/13
5650,2014/02/14
5650,2014/02/17
5600,2014/02/18
5500,2014/02/20
5650,2014/02/21
5750,2014/02/24
5500,2014/02/25
5600,2014/02/26
5600,2014/02/28
6300,2014/03/03
5350,2014/03/04
5400,2014/03/05
5650,2014/03/06
5850,2014/03/07
5850,2014/03/09
5600,2014/03/10
5600,2014/03/11
5850,2014/03/12
5600,2014/03/13
5600,2014/03/14
5650,2014/03/16
5670,2014/03/18
5950,2014/03/19
5900,2014/03/20
6250,2014/03/21
6000,2014/03/23
7350,2014/03/24
6750,2014/03/25
6750,2014/03/26
6250,2014/03/27
5750,2014/03/28
6750,2014/04/01
5750,2014/04/02
6800,2014/04/03
6500,2014/04/04
6250,2014/04/07
