Modal PriceLadiesfing,Price Date
2000,2012/01/08
2000,2012/01/09
2000,2012/01/10
2250,2012/01/11
2150,2012/01/12
2150,2012/01/13
2250,2012/01/15
2250,2012/01/16
2250,2012/01/17
2400,2012/01/19
2000,2012/01/20
2400,2012/01/23
2750,2012/01/24
2650,2012/01/25
2750,2012/01/27
2500,2012/01/29
2500,2012/01/30
2750,2012/01/31
3000,2012/02/01
3000,2012/02/02
2750,2012/02/03
2750,2012/02/05
2750,2012/02/06
2900,2012/02/07
2750,2012/02/08
2750,2012/02/09
2750,2012/02/10
3000,2012/02/13
3250,2012/02/14
3000,2012/02/15
2750,2012/02/17
2750,2012/02/19
3000,2012/02/20
3000,2012/02/21
3000,2012/02/22
3250,2012/02/23
2900,2012/02/26
3250,2012/02/27
3000,2012/02/28
2750,2012/02/29
3000,2012/03/01
3000,2012/03/02
3000,2012/03/04
3000,2012/03/05
3250,2012/03/06
3000,2012/03/07
3500,2012/03/09
3250,2012/03/11
3250,2012/03/12
3750,2012/03/13
3250,2012/03/14
4000,2012/03/15
3250,2012/03/16
3250,2012/03/18
375,2012/03/19
3750,2012/03/20
3250,2012/03/21
3250,2012/03/22
3000,2012/03/23
3500,2012/03/25
3500,2012/03/26
3500,2012/03/27
3250,2012/03/28
3500,2012/03/29
3500,2012/03/30
3250,2012/04/03
3250,2012/04/04
3000,2012/04/05
3250,2012/04/06
3000,2012/04/08
3000,2012/04/09
3250,2012/04/10
3000,2012/04/12
3000,2012/04/13
2500,2012/04/15
3000,2012/04/16
3000,2012/04/18
2500,2012/04/19
2500,2012/04/20
2500,2012/04/22
2500,2012/04/23
2250,2012/04/24
2000,2012/04/26
2250,2012/04/27
2500,2012/04/29
2350,2012/05/02
1750,2012/05/03
2250,2012/05/04
1750,2012/05/07
1900,2012/05/08
1750,2012/05/09
1950,2012/05/10
1750,2012/05/11
1600,2012/05/13
1500,2012/05/14
1500,2012/05/16
1500,2012/05/17
1750,2012/05/18
1350,2012/05/20
1500,2012/05/21
1500,2012/05/22
1600,2012/05/23
160,2012/05/24
1500,2012/05/25
160,2012/05/27
1400,2012/05/28
1300,2012/05/29
1400,2012/05/30
1500,2012/05/31
1500,2012/06/01
1500,2012/06/03
1500,2012/06/04
1500,2012/06/05
1600,2012/06/06
1600,2012/06/07
1500,2012/06/08
1500,2012/06/10
1600,2012/06/11
1700,2012/06/12
1750,2012/06/13
1850,2012/06/14
2050,2012/06/15
1600,2012/06/17
2000,2012/06/18
2100,2012/06/19
1650,2012/06/20
175,2012/06/22
2000,2012/06/24
1750,2012/06/25
1750,2012/06/26
1750,2012/06/27
1750,2012/06/28
1750,2012/06/29
1600,2012/07/01
1750,2012/07/02
1750,2012/07/04
1250,2012/07/05
1300,2012/07/06
1500,2012/07/08
1200,2012/07/09
1500,2012/07/10
1500,2012/07/11
1500,2012/07/12
1500,2012/07/13
1750,2012/07/15
1250,2012/07/16
1250,2012/07/17
1500,2012/07/19
1500,2012/07/20
1600,2012/07/22
1600,2012/07/23
1950,2012/07/24
1750,2012/07/26
1900,2012/07/27
1750,2012/07/29
1500,2012/07/30
1500,2012/07/31
1750,2012/08/01
1400,2012/08/02
1750,2012/08/03
1500,2012/08/05
1700,2012/08/06
1700,2012/08/07
1750,2012/08/08
1600,2012/08/09
1500,2012/08/10
1750,2012/08/12
1750,2012/08/13
2000,2012/08/14
1850,2012/08/16
1850,2012/08/17
1850,2012/08/19
1850,2012/08/20
1700,2012/08/21
1600,2012/08/22
1600,2012/08/23
2000,2012/08/26
1700,2012/08/27
1600,2012/08/28
1600,2012/08/29
1600,2012/08/30
1500,2012/09/02
1500,2012/09/03
1300,2012/09/04
1600,2012/09/07
1600,2012/09/09
1850,2012/09/10
1750,2012/09/12
1750,2012/09/13
1900,2012/09/14
1850,2012/09/16
2100,2012/09/17
2250,2012/09/18
2100,2012/09/19
2100,2012/09/20
1950,2012/09/21
1850,2012/09/23
1850,2012/09/24
1850,2012/09/25
1600,2012/09/26
2250,2012/09/27
1800,2012/09/28
1750,2012/10/01
1650,2012/10/03
1500,2012/10/04
1400,2012/10/05
1200,2012/10/07
1500,2012/10/08
1650,2012/10/09
1750,2012/10/11
1750,2012/10/12
1750,2012/10/14
1750,2012/10/15
1750,2012/10/16
2000,2012/10/17
2100,2012/10/18
2200,2012/10/21
1850,2012/10/22
1850,2012/10/23
1500,2012/10/26
1350,2012/10/28
1500,2012/10/29
1600,2012/10/30
1850,2012/10/31
2000,2012/11/01
2250,2012/11/02
2350,2012/11/04
2250,2012/11/06
2250,2012/11/07
2300,2012/11/08
2250,2012/11/09
2200,2012/11/11
1800,2012/11/12
1750,2012/11/13
2200,2012/11/16
1350,2012/11/18
2000,2012/11/19
2250,2012/11/20
2500,2012/11/21
2450,2012/11/22
2500,2012/11/23
2250,2012/11/25
2100,2012/11/26
2250,2012/11/27
2250,2012/11/28
2500,2012/11/29
2500,2012/11/30
2250,2012/12/09
2500,2012/12/10
2350,2012/12/11
2650,2012/12/12
2750,2012/12/16
3250,2012/12/17
3000,2012/12/18
3000,2012/12/19
2750,2012/12/20
3000,2012/12/21
3250,2012/12/27
3000,2012/12/28
3000,2012/12/30
3250,2012/12/31
3250,2013/01/01
3000,2013/01/02
2500,2013/01/03
2350,2013/01/04
2650,2013/01/06
2750,2013/01/07
2750,2013/01/08
3250,2013/01/10
3750,2013/01/11
3250,2013/01/13
3250,2013/01/14
300,2013/01/15
3750,2013/01/17
3250,2013/01/18
3250,2013/01/20
3000,2013/01/21
3000,2013/01/22
3250,2013/01/24
3000,2013/01/25
3000,2013/01/27
2500,2013/01/28
2750,2013/01/29
2750,2013/02/01
2500,2013/02/03
2500,2013/02/04
2350,2013/02/05
2350,2013/02/06
2250,2013/02/10
2500,2013/02/11
2500,2013/02/12
2350,2013/02/13
2350,2013/02/14
2350,2013/02/15
2250,2013/02/17
2350,2013/02/19
2350,2013/02/20
2250,2013/02/21
2350,2013/02/25
2500,2013/02/26
2250,2013/03/07
2350,2013/03/08
2250,2013/03/10
2250,2013/03/11
2250,2013/03/12
2000,2013/03/14
2250,2013/03/15
2250,2013/03/17
2250,2013/03/18
2250,2013/03/19
2250,2013/03/20
2000,2013/03/21
2250,2013/03/25
2350,2013/03/26
2000,2013/03/28
2250,2013/03/29
2000,2013/03/31
2000,2013/04/01
2250,2013/04/03
2250,2013/04/04
2350,2013/04/07
2500,2013/04/09
2500,2013/04/10
2350,2013/04/11
2250,2013/04/12
1900,2013/04/14
2250,2013/04/15
1900,2013/04/16
2150,2013/04/17
2250,2013/04/18
2000,2013/04/19
2250,2013/04/21
2250,2013/04/22
2250,2013/04/23
2250,2013/04/24
2250,2013/04/25
2250,2013/04/28
1900,2013/04/29
2250,2013/04/30
2000,2013/05/03
2050,2013/05/05
2250,2013/05/06
2250,2013/05/07
2250,2013/05/08
2250,2013/05/09
2250,2013/05/10
2320,2013/05/12
2300,2013/05/13
2250,2013/05/14
2000,2013/05/15
2550,2013/05/16
2250,2013/05/19
2350,2013/05/21
2400,2013/05/23
2500,2013/05/24
2250,2013/05/26
2500,2013/05/27
2750,2013/05/30
2500,2013/05/31
3000,2013/06/17
3250,2013/06/19
3500,2013/06/20
5000,2013/06/21
3500,2013/06/23
3250,2013/06/24
3500,2013/06/26
3500,2013/06/27
3500,2013/06/28
3500,2013/06/30
3500,2013/07/01
3500,2013/07/03
3500,2013/07/04
3000,2013/07/05
3250,2013/07/07
2900,2013/07/08
2750,2013/07/09
2750,2013/07/10
2500,2013/07/11
2750,2013/07/12
2500,2013/07/14
2750,2013/07/15
3000,2013/07/16
3000,2013/07/19
2750,2013/07/21
2900,2013/07/22
2750,2013/07/23
2750,2013/07/24
3000,2013/07/25
3000,2013/07/26
3000,2013/07/28
3150,2013/07/29
3250,2013/07/30
3000,2013/07/31
3150,2013/08/01
2900,2013/08/02
3250,2013/08/08
3250,2013/08/12
1850,2013/09/26
2000,2013/09/27
1850,2013/09/30
1750,2013/10/03
1750,2013/10/04
1750,2013/10/07
2250,2013/10/08
2250,2013/10/09
2250,2013/10/10
2250,2013/10/11
1850,2013/10/15
2000,2013/10/16
1850,2013/10/17
1500,2013/10/18
1950,2013/10/21
2100,2013/10/22
2000,2013/10/23
2100,2013/10/29
2250,2013/10/30
2100,2013/10/31
2250,2013/11/06
1850,2013/11/08
1850,2013/11/10
2250,2013/11/11
2350,2013/11/13
2750,2013/11/14
2750,2013/11/18
2750,2013/11/19
3000,2013/11/20
2750,2013/11/21
2750,2013/11/22
2750,2013/11/24
3000,2013/11/25
2750,2013/11/26
2500,2013/11/27
2750,2013/11/28
2500,2013/11/29
2000,2013/12/01
2350,2013/12/02
2250,2013/12/03
2000,2013/12/04
2250,2013/12/05
2500,2013/12/06
2750,2013/12/09
3000,2013/12/10
3500,2013/12/11
3250,2013/12/12
3250,2013/12/13
3250,2013/12/15
2750,2013/12/16
2750,2013/12/17
2700,2013/12/18
3150,2013/12/19
2750,2013/12/20
2750,2013/12/23
2750,2013/12/24
2250,2013/12/26
2500,2013/12/27
2250,2013/12/29
2500,2013/12/30
2500,2013/12/31
2000,2014/01/02
2250,2014/01/05
2350,2014/01/06
2350,2014/01/07
2900,2014/01/08
2750,2014/01/09
2750,2014/01/10
2750,2014/01/13
250,2014/01/15
2250,2014/01/16
2250,2014/01/17
2250,2014/01/20
2250,2014/01/21
2100,2014/01/22
2100,2014/01/23
2200,2014/01/24
1850,2014/01/27
1850,2014/01/28
2250,2014/01/29
2000,2014/01/30
2100,2014/01/31
2250,2014/02/03
2200,2014/02/04
2250,2014/02/05
2500,2014/02/06
2250,2014/02/07
2250,2014/02/10
2250,2014/02/11
2250,2014/02/12
2250,2014/02/13
2250,2014/02/14
2250,2014/02/17
2250,2014/02/18
2500,2014/02/20
2500,2014/02/21
2500,2014/02/24
2250,2014/02/25
2200,2014/02/26
2250,2014/02/28
2000,2014/03/03
2100,2014/03/04
2350,2014/03/05
2250,2014/03/07
2250,2014/03/09
2250,2014/03/10
2250,2014/03/11
2250,2014/03/12
2250,2014/03/13
1850,2014/03/14
2250,2014/03/16
2100,2014/03/18
1750,2014/03/19
1750,2014/03/20
2100,2014/03/21
2100,2014/03/23
1850,2014/03/24
2200,2014/03/25
1850,2014/03/26
1850,2014/03/27
2100,2014/03/28
1350,2014/04/01
1750,2014/04/02
1750,2014/04/03
1500,2014/04/04
1500,2014/04/07
1750,2014/04/09
2000,2014/04/20
1500,2014/04/21
1400,2014/04/22
1400,2014/04/23
1350,2014/04/24
1400,2014/04/25
1400,2014/04/27
1250,2014/04/28
1200,2014/04/29
1350,2014/04/30
1400,2014/05/02
1150,2014/05/04
1250,2014/05/05
1150,2014/05/06
1400,2014/05/07
1150,2014/05/08
1350,2014/05/09
1400,2014/05/12
1500,2014/05/13
1500,2014/05/14
1600,2014/05/15
1400,2014/05/16
2100,2014/06/10
2250,2014/06/11
2450,2014/06/12
2500,2014/06/15
2750,2014/06/16
1750,2014/06/17
2250,2014/06/22
2750,2014/06/23
2750,2014/06/24
2250,2014/06/25
2500,2014/06/26
2300,2014/06/27
2250,2014/06/29
2250,2014/06/30
2350,2014/07/01
2250,2014/07/02
2250,2014/07/03
2250,2014/07/04
2250,2014/07/06
2250,2014/07/07
2250,2014/07/08
2250,2014/07/09
2000,2014/07/10
2000,2014/07/11
2100,2014/07/13
2250,2014/07/14
2100,2014/07/15
2250,2014/07/17
2250,2014/07/18
2500,2014/07/21
2250,2014/07/22
2500,2014/07/23
2500,2014/07/24
2750,2014/07/25
2500,2014/07/27
2750,2014/07/28
2500,2014/07/30
2250,2014/07/31
2800,2014/08/01
3750,2014/08/03
2750,2014/08/04
3250,2014/08/05
3000,2014/08/06
3000,2014/08/07
3000,2014/08/08
3250,2014/08/10
3000,2014/08/11
3250,2014/08/12
3000,2014/08/13
3000,2014/08/14
2750,2014/08/17
2500,2014/08/18
2750,2014/08/19
2750,2014/08/20
2500,2014/08/21
2500,2014/08/22
2250,2014/08/24
2250,2014/08/25
2150,2014/08/26
2500,2014/08/27
2250,2014/08/28
2500,2014/08/29
2250,2014/08/31
2250,2014/09/01
2000,2014/09/02
2100,2014/09/03
2100,2014/09/04
3350,2014/09/05
2500,2014/09/07
2750,2014/09/08
2500,2014/09/10
2900,2014/09/12
3000,2014/09/14
2900,2014/09/15
2500,2014/09/16
2750,2014/09/17
2500,2014/09/18
2250,2014/09/19
2500,2014/09/21
2250,2014/09/22
2000,2014/09/23
2000,2014/09/24
1750,2014/09/25
1350,2014/09/26
1600,2014/09/28
1600,2014/09/29
1850,2014/09/30
1500,2014/10/01
1650,2014/10/05
1350,2014/10/07
1350,2014/10/08
1350,2014/10/09
1350,2014/10/10
1350,2014/10/12
1600,2014/10/13
1400,2014/10/14
1600,2014/10/16
1750,2014/10/17
1650,2014/10/19
1400,2014/10/20
1150,2014/10/21
1500,2014/10/26
1750,2014/10/27
1600,2014/10/28
2000,2014/10/29
2250,2014/10/30
2250,2014/10/31
3000,2014/11/02
3000,2014/11/03
2750,2014/11/05
2750,2014/11/07
2750,2014/11/09
2750,2014/11/10
2750,2014/11/11
2750,2014/11/12
2750,2014/11/13
2500,2014/11/14
2250,2014/11/17
2500,2014/11/19
2750,2014/11/20
2750,2014/11/21
2750,2014/11/23
2750,2014/11/24
3000,2014/11/25
3250,2014/11/26
3250,2014/11/27
3050,2014/11/28
3000,2014/11/30
2750,2014/12/01
2750,2014/12/02
2750,2014/12/04
2750,2014/12/05
2750,2014/12/07
3000,2014/12/08
2750,2014/12/09
2500,2014/12/10
2650,2014/12/11
2250,2014/12/12
2250,2014/12/14
2000,2014/12/15
2500,2014/12/16
2750,2014/12/17
2500,2014/12/18
2750,2014/12/19
2500,2014/12/21
2750,2014/12/22
2750,2014/12/23
3000,2014/12/24
2750,2014/12/26
3000,2014/12/28
3000,2014/12/29
2750,2014/12/30
3250,2014/12/31
2750,2015/01/01
3000,2015/01/02
3500,2015/01/05
3750,2015/01/06
3750,2015/01/07
3000,2015/01/08
3500,2015/01/09
