Min Price Redchilli,Max PriceRedchilli,Modal PriceRedchilli,Price Date
6000,15000,10500,2012/01/07
6500,13500,10000,2012/01/09
4500,13500,9000,2012/01/10
7000,13000,10000,2012/01/11
4000,7500,5750,2012/01/12
6000,13500,9750,2012/01/13
3500,13500,8500,2012/01/14
4500,13500,9000,2012/01/16
6000,14000,10000,2012/01/17
7000,13500,10250,2012/01/19
6500,11000,8750,2012/01/20
4000,15000,9500,2012/01/21
6000,13000,9500,2012/01/23
7000,13500,10250,2012/01/24
5500,13000,9250,2012/01/25
5000,13000,9000,2012/01/27
5000,13000,9000,2012/01/28
4500,13000,8750,2012/01/30
3500,12000,7750,2012/01/31
3500,12000,7750,2012/02/01
3500,12500,8000,2012/02/02
5000,12500,8750,2012/02/03
3500,13000,8550,2012/02/04
5000,12000,8500,2012/02/06
6500,12000,9250,2012/02/07
3000,13000,8000,2012/02/08
4100,10000,8550,2012/02/09
6500,13000,9750,2012/02/10
3000,13000,8000,2012/02/11
3000,12000,7500,2012/02/13
4000,12000,8000,2012/02/14
3000,11000,7000,2012/02/15
4000,13000,8500,2012/02/17
5000,10000,8000,2012/02/18
4000,7000,5500,2012/02/20
2500,11000,6750,2012/02/21
5000,6000,5500,2012/02/22
2500,10500,6500,2012/02/23
5500,11000,8252,2012/02/24
5500,11000,8520,2012/02/25
2000,10000,6000,2012/02/28
4000,10000,7000,2012/02/29
5000,10000,7500,2012/03/01
4500,13000,8750,2012/03/02
6500,13000,9750,2012/03/03
2500,12000,7250,2012/03/05
2000,12000,7000,2012/03/06
6000,12500,9250,2012/03/07
7000,12500,9750,2012/03/08
2500,12500,7500,2012/03/09
2500,12500,7500,2012/03/10
2500,12500,7500,2012/03/12
3000,10000,6500,2012/03/13
3000,13000,8000,2012/03/14
1300,13000,8000,2012/03/15
6000,11000,8500,2012/03/16
5000,11000,8000,2012/03/17
5500,11000,8250,2012/03/19
3000,9000,6000,2012/03/20
2500,9500,6000,2012/03/21
2500,12000,7250,2012/03/22
2500,12000,7250,2012/03/23
2500,12000,7250,2012/03/24
3000,9000,6000,2012/03/26
4000,10000,7000,2012/03/27
2000,11000,6500,2012/03/28
2500,10000,6250,2012/03/29
2500,9500,6000,2012/03/30
3000,9500,6250,2012/03/31
2000,10000,6000,2012/04/03
2000,9500,5750,2012/04/04
2000,11000,6500,2012/04/05
2000,11000,6500,2012/04/06
2500,8500,5500,2012/04/09
2500,8500,5500,2012/04/10
2500,8500,5500,2012/04/12
2500,8500,5500,2012/04/13
2000,9000,5500,2012/04/16
2000,9500,5750,2012/04/17
2000,9500,5750,2012/04/18
1500,8000,4750,2012/04/19
2500,9500,6000,2012/04/20
2500,9500,6000,2012/04/21
2500,9500,6000,2012/04/23
2500,9500,6000,2012/04/24
2000,9500,5750,2012/04/26
1500,8000,4750,2012/04/27
2500,9500,6000,2012/04/28
2000,9500,5750,2012/05/02
2000,9500,5750,2012/05/03
2000,9000,5500,2012/05/04
2000,9000,5500,2012/05/07
2000,9000,5500,2012/05/08
5000,10000,7500,2012/05/09
2000,10000,6000,2012/05/10
4000,10000,7000,2012/05/11
4500,10000,7250,2012/05/14
3000,8000,5500,2012/05/15
2000,8000,5000,2012/05/16
2000,10000,6000,2012/05/17
2000,9500,5750,2012/05/18
2000,9500,5750,2012/05/21
4000,9500,6750,2012/05/22
3000,8000,5500,2012/05/23
2400,9500,5950,2012/05/25
2400,9500,5950,2012/05/26
4900,10000,7450,2012/05/28
1500,11000,6250,2012/05/29
3000,10000,6500,2012/05/30
2100,13000,7550,2012/05/31
2500,10000,6250,2012/06/01
2200,9500,5850,2012/06/02
4500,9500,7000,2012/06/04
1500,9300,5400,2012/06/05
2000,9500,5750,2012/06/06
5500,9500,7500,2012/06/07
5500,10000,7750,2012/06/08
5500,10000,7750,2012/06/09
5500,9500,7500,2012/06/11
1500,9500,5500,2012/06/12
5000,9500,7250,2012/06/14
4500,9000,6750,2012/06/15
2000,10000,6000,2012/06/19
2500,9000,5750,2012/06/20
5500,9000,7250,2012/06/22
2000,9500,5750,2012/06/26
2200,9500,5850,2012/06/27
2200,9500,5850,2012/06/28
2200,9500,5850,2012/06/29
3000,10000,6500,2012/07/02
