Modal Price maize,Price Date
1460,2013/10/10
1612,2013/10/11
1500,2013/10/15
1850,2013/10/22
1500,2013/10/23
1350,2013/10/25
1337,2013/10/29
1337,2013/10/30
1355,2013/11/07
1362,2013/11/12
1500,2013/11/13
1500,2013/11/15
1388,2013/11/19
1388,2013/11/20
1387,2013/11/21
1352,2013/11/22
1363,2013/11/26
1350,2013/11/28
1438,2013/11/30
1336,2013/12/02
1347,2013/12/03
1347,2013/12/04
1362,2013/12/06
1362,2013/12/07
1343,2013/12/09
1343,2013/12/10
1377,2013/12/11
1370,2013/12/12
1370,2013/12/14
1356,2013/12/16
1350,2013/12/17
1350,2013/12/19
1737,2013/12/21
1337,2013/12/23
1335,2013/12/24
1362,2013/12/28
1550,2013/12/30
1762,2013/12/31
1362,2014/01/02
1357,2014/01/03
1550,2014/01/04
1350,2014/01/06
1337,2014/01/06
1357,2014/01/07
1537,2014/01/08
1561,2014/01/09
1357,2014/01/10
1357,2014/01/13
1337,2014/01/14
1357,2014/01/14
1512,2014/01/15
1387,2014/01/16
1357,2014/01/17
1357,2014/01/18
1375,2014/01/20
1562,2014/01/21
1395,2014/01/22
1362,2014/01/23
1395,2014/01/24
1395,2014/01/25
1355,2014/01/27
1317,2014/01/28
1362,2014/01/29
1362,2014/01/30
1362,2014/01/31
1335,2014/02/01
1330,2014/02/03
1338,2014/02/04
1350,2014/02/05
1337,2014/02/06
1357,2014/02/07
1375,2014/02/10
1335,2014/02/12
1387,2014/02/13
1500,2014/02/14
1331,2014/02/15
1335,2014/02/17
1510,2014/02/18
3250,2014/02/20
1333,2014/02/21
1330,2014/02/25
1340,2014/02/26
1337,2014/02/28
1337,2014/03/03
1387,2014/03/06
1332,2014/03/07
1563,2014/03/10
1425,2014/03/11
1537,2014/03/12
1388,2014/03/13
1388,2014/03/14
1388,2014/03/15
1370,2014/03/18
1375,2014/03/20
1637,2014/03/24
1338,2014/03/25
1355,2014/03/26
1437,2014/03/27
1363,2014/03/28
1385,2014/03/29
1365,2014/04/02
1450,2014/04/03
1363,2014/04/04
1350,2014/04/05
1362,2014/04/08
1612,2014/04/09
1362,2014/04/10
1342,2014/04/12
1350,2014/04/14
1342,2014/04/15
1342,2014/04/16
1342,2014/04/18
1712,2014/04/19
1322,2014/04/21
1338,2014/04/22
1400,2014/04/23
1317,2014/04/24
1337,2014/04/25
1330,2014/04/28
1437,2014/04/29
1317,2014/04/30
1322,2014/05/03
1322,2014/05/05
1360,2014/05/06
1322,2014/05/07
1322,2014/05/08
1322,2014/05/10
1760,2014/05/12
1360,2014/05/13
1322,2014/05/14
1400,2014/05/15
1335,2014/05/17
1362,2014/05/19
1338,2014/05/21
1410,2014/05/23
1450,2014/05/26
