week,price
05-01-2000,350
12-01-2000,350
19-01-2000,250
26-01-2000,260
02-02-2000,245
09-02-2000,225
16-02-2000,245
23-02-2000,235
01-03-2000,215
08-03-2000,220
15-03-2000,215
22-03-2000,180
29-03-2000,175
05-04-2000,175
12-04-2000,180
19-04-2000,250
26-04-2000,240
03-05-2000,240
10-05-2000,175
17-05-2000,215
24-05-2000,215
31-05-2000,210
07-06-2000,210
14-06-2000,250
21-06-2000,230
28-06-2000,235
05-07-2000,250
12-07-2000,230
19-07-2000,290
26-07-2000,380
02-08-2000,365
09-08-2000,350
16-08-2000,315
23-08-2000,360
30-08-2000,390
06-09-2000,375
13-09-2000,350
20-09-2000,320
27-09-2000,385
04-10-2000,405
11-10-2000,475
18-10-2000,575
25-10-2000,550
01-11-2000,800
08-11-2000,550
15-11-2000,550
22-11-2000,550
29-11-2000,550
06-12-2000,625
13-12-2000,625
20-12-2000,500
27-12-2000,500
03-01-2001,500
10-01-2001,575
17-01-2001,550
24-01-2001,500
31-01-2001,500
07-02-2001,500
14-02-2001,430
21-02-2001,430
28-02-2001,350
07-03-2001,290
14-03-2001,340
21-03-2001,380
28-03-2001,340
04-04-2001,340
11-04-2001,280
18-04-2001,280
25-04-2001,300
02-05-2001,300
09-05-2001,280
16-05-2001,300
23-05-2001,290
30-05-2001,280
06-06-2001,240
13-06-2001,350
20-06-2001,360
27-06-2001,390
04-07-2001,370
11-07-2001,375
18-07-2001,415
25-07-2001,430
01-08-2001,400
08-08-2001,675
15-08-2001,675
22-08-2001,575
29-08-2001,550
05-09-2001,575
12-09-2001,575
19-09-2001,575
26-09-2001,500
03-10-2001,525
10-10-2001,500
17-10-2001,500
24-10-2001,660
31-10-2001,750
07-11-2001,775
14-11-2001,825
21-11-2001,1325
28-11-2001,750
05-12-2001,650
12-12-2001,575
19-12-2001,475
26-12-2001,440
02-01-2002,400
09-01-2002,400
16-01-2002,310
23-01-2002,340
30-01-2002,300
06-02-2002,250
13-02-2002,260
20-02-2002,250
27-02-2002,250
06-03-2002,275
13-03-2002,220
20-03-2002,220
27-03-2002,170
03-04-2002,240
10-04-2002,240
17-04-2002,240
24-04-2002,240
01-05-2002,230
08-05-2002,240
15-05-2002,240
22-05-2002,230
29-05-2002,190
05-06-2002,275
12-06-2002,275
19-06-2002,350
26-06-2002,350
03-07-2002,350
10-07-2002,400
17-07-2002,400
24-07-2002,420
31-07-2002,440
07-08-2002,480
14-08-2002,515
21-08-2002,640
28-08-2002,510
04-09-2002,515
11-09-2002,530
18-09-2002,570
25-09-2002,535
02-10-2002,535
09-10-2002,500
16-10-2002,675
23-10-2002,900
30-10-2002,900
06-11-2002,700
13-11-2002,700
20-11-2002,475
27-11-2002,425
04-12-2002,500
11-12-2002,750
18-12-2002,500
25-12-2002,475
01-01-2003,325
08-01-2003,275
15-01-2003,475
22-01-2003,375
29-01-2003,375
05-02-2003,240
12-02-2003,225
19-02-2003,225
26-02-2003,215
05-03-2003,230
12-03-2003,230
19-03-2003,230
26-03-2003,250
02-04-2003,260
09-04-2003,340
16-04-2003,340
23-04-2003,340
30-04-2003,395
07-05-2003,395
14-05-2003,360
21-05-2003,360
28-05-2003,400
04-06-2003,400
11-06-2003,550
18-06-2003,500
25-06-2003,500
02-07-2003,550
09-07-2003,500
16-07-2003,500
23-07-2003,530
30-07-2003,500
06-08-2003,570
13-08-2003,540
20-08-2003,525
27-08-2003,570
03-09-2003,525
10-09-2003,570
17-09-2003,550
24-09-2003,605
01-10-2003,850
08-10-2003,825
15-10-2003,1050
22-10-2003,850
29-10-2003,850
05-11-2003,900
12-11-2003,925
19-11-2003,850
26-11-2003,800
03-12-2003,750
10-12-2003,750
17-12-2003,690
24-12-2003,690
31-12-2003,900
07-01-2004,900
14-01-2004,925
21-01-2004,925
28-01-2004,850
04-02-2004,825
11-02-2004,825
18-02-2004,825
25-02-2004,825
03-03-2004,825
10-03-2004,550
17-03-2004,445
24-03-2004,425
31-03-2004,425
07-04-2004,425
14-04-2004,525
21-04-2004,375
28-04-2004,375
05-05-2004,375
12-05-2004,375
19-05-2004,395
26-05-2004,395
02-06-2004,395
09-06-2004,395
16-06-2004,525
23-06-2004,525
30-06-2004,525
07-07-2004,525
14-07-2004,460
21-07-2004,460
28-07-2004,420
04-08-2004,460
11-08-2004,450
18-08-2004,425
25-08-2004,525
01-09-2004,525
08-09-2004,525
15-09-2004,485
22-09-2004,485
29-09-2004,525
06-10-2004,525
13-10-2004,530
20-10-2004,530
27-10-2004,500
03-11-2004,500
10-11-2004,575
17-11-2004,525
24-11-2004,525
01-12-2004,500
08-12-2004,500
15-12-2004,450
22-12-2004,450
29-12-2004,450
05-01-2005,435
12-01-2005,435
19-01-2005,435
26-01-2005,350
02-02-2005,350
09-02-2005,350
16-02-2005,350
23-02-2005,350
02-03-2005,310
09-03-2005,300
16-03-2005,290
23-03-2005,290
30-03-2005,310
06-04-2005,310
13-04-2005,360
20-04-2005,360
27-04-2005,360
04-05-2005,360
11-05-2005,335
18-05-2005,335
25-05-2005,325
01-06-2005,325
08-06-2005,375
15-06-2005,400
22-06-2005,400
29-06-2005,400
06-07-2005,425
09-07-2005,950
