Month,onion price in mumbai,onion rates,onion,onion price today,red onion,white onion,onion recipe
2004-01,0,0,26,0,0,0,0
2004-02,0,0,32,0,0,0,80
2004-03,0,0,39,0,0,0,0
2004-04,0,0,55,0,0,0,55
2004-05,0,0,59,0,100,0,100
2004-06,0,0,19,0,0,0,0
2004-07,0,0,57,0,0,0,48
2004-08,0,0,39,0,0,0,0
2004-09,0,0,32,0,0,0,0
2004-10,0,0,24,0,0,100,0
2004-11,0,0,38,0,0,0,47
2004-12,0,0,36,0,0,0,46
2005-01,0,0,83,0,0,0,0
2005-02,0,0,32,0,80,0,0
2005-03,0,0,28,0,0,0,0
2005-04,0,0,40,0,0,0,40
2005-05,0,0,36,0,0,61,0
2005-06,0,0,55,0,0,0,40
2005-07,0,0,63,0,0,0,40
2005-08,0,0,23,0,0,0,0
2005-09,0,0,57,0,0,0,37
2005-10,0,0,56,0,0,0,0
2005-11,0,0,54,0,0,0,0
2005-12,0,0,72,0,0,0,0
2006-01,0,0,100,0,0,0,0
2006-02,0,0,90,0,0,0,28
2006-03,0,0,75,0,0,0,0
2006-04,0,0,73,0,0,43,26
2006-05,0,0,30,0,0,42,25
2006-06,0,0,58,0,0,0,24
2006-07,0,100,70,0,0,0,0
2006-08,0,0,64,0,0,0,0
2006-09,0,0,26,0,0,0,0
2006-10,0,0,33,0,0,0,0
2006-11,0,0,71,0,36,0,18
2006-12,0,0,61,0,33,0,0
2007-01,0,0,39,0,0,0,16
2007-02,0,0,36,0,0,0,14
2007-03,0,0,53,0,0,0,0
2007-04,0,0,35,0,0,20,0
2007-05,0,0,35,0,0,19,11
2007-06,0,0,37,0,21,0,0
2007-07,0,0,53,0,0,0,10
2007-08,0,0,58,0,0,18,10
2007-09,0,0,46,0,0,16,0
2007-10,0,0,62,0,0,0,9
2007-11,0,37,43,0,0,14,17
2007-12,0,0,39,0,0,0,0
2008-01,0,0,38,0,15,0,15
2008-02,0,0,31,0,0,12,28
2008-03,0,0,47,0,14,12,14
2008-04,0,0,34,0,0,11,6
2008-05,0,0,41,0,12,0,6
2008-06,0,25,30,0,11,9,6
2008-07,0,0,42,0,0,19,6
2008-08,0,0,37,0,0,0,11
2008-09,0,0,32,0,11,10,6
2008-10,0,0,46,0,11,0,6
2008-11,0,0,38,0,11,9,8
2008-12,0,0,52,0,10,8,20
2009-01,0,0,43,0,0,9,8
2009-02,98,0,39,0,0,17,20
2009-03,0,22,33,0,0,0,7
2009-04,0,0,47,0,0,8,9
2009-05,0,20,40,0,9,0,7
2009-06,0,0,41,0,9,0,17
2009-07,0,0,42,0,0,0,14
2009-08,0,0,50,0,9,0,11
2009-09,0,0,49,0,0,0,17
2009-10,0,22,43,0,10,8,8
2009-11,0,22,43,0,0,0,14
2009-12,0,0,41,0,0,8,9
2010-01,0,0,42,0,9,8,9
2010-02,0,0,39,0,0,0,6
2010-03,0,0,49,0,0,0,12
2010-04,0,0,41,100,0,8,7
2010-05,0,0,51,0,0,8,16
2010-06,0,0,43,0,0,6,19
2010-07,0,0,47,0,7,6,16
2010-08,0,0,48,0,0,6,15
2010-09,0,0,30,0,10,0,15
2010-10,0,0,35,0,11,0,9
2010-11,0,15,75,69,0,6,12
2010-12,60,23,62,0,0,6,10
2011-01,60,0,52,0,0,4,13
2011-02,31,0,44,0,6,5,8
2011-03,27,7,41,0,3,12,16
2011-04,0,0,38,32,6,4,15
2011-05,0,0,39,0,3,2,10
2011-06,0,0,42,25,5,6,12
2011-07,22,5,42,24,3,3,15
2011-08,42,17,43,26,2,2,13
2011-09,34,6,31,0,0,0,9
2011-10,23,4,37,20,4,5,11
2011-11,0,4,37,0,4,2,10
2011-12,17,9,37,0,9,3,11
2012-01,0,12,40,0,4,2,14
2012-02,16,4,38,0,4,4,14
2012-03,0,4,31,19,9,4,13
2012-04,0,0,33,33,2,2,13
2012-05,0,10,39,0,3,4,15
2012-06,0,8,44,0,4,3,19
2012-07,13,5,40,0,4,6,17
2012-08,0,0,44,16,3,1,21
2012-09,14,9,43,14,4,1,14
2012-10,0,6,35,0,3,1,13
2012-11,25,,,,,,
2012-12,12,,,,,,
2013-01,13,,,,,,
2013-02,0,,,,,,
2013-03,12,,,,,,
2013-04,12,,,,,,
2013-05,12,,,,,,
2013-06,0,,,,,,
2013-07,28,,,,,,
2013-08,75,,,,,,
2013-09,100,,,,,,
2013-10,82,,,,,,
2013-11,42,,,,,,
2013-12,21,,,,,,
2014-01,14,,,,,,
2014-02,5,,,,,,
2014-03,4,,,,,,
2014-04,4,,,,,,
2014-05,0,,,,,,
2014-06,11,,,,,,
2014-07,42,,,,,,
2014-08,20,,,,,,
2014-09,7,,,,,,
2014-10,0,,,,,,
2014-11,7,,,,,,
2014-12,14,,,,,,
2015-01,7,,,,,,
2015-02,0,,,,,,
2015-03,0,,,,,,
2015-04,7,,,,,,
2015-05,0,,,,,,
2015-06,7,,,,,,
2015-07,9,,,,,,
2015-08,57,,,,,,
2015-09,49,,,,,,
2015-10,20,,,,,,
2015-11,31,,,,,,
2015-12,38,,,,,,
2016-01,18,,,,,,
2016-02,7,,,,,,
2016-03,25,,,,,,
2016-04,30,,,,,,
2016-05,10,,,,,,
2016-06,13,,,,,,
2016-07,23,,,,,,
2016-08,8,,,,,,
2016-09,18,,,,,,
2016-10,9,,,,,,
2016-11,30,,,,,,
2016-12,7,,,,,,
2017-01,7,,,,,,
2017-02,0,,,,,,
2017-03,27,,,,,,
